contrast,backbone_objective,seed,left_method,right_method,delta_pp
analog_w_only_minus_affine,tsce,11,analog_w_only,analog_affine,-21.73694361194361
analog_w_only_minus_affine,tsce,23,analog_w_only,analog_affine,-13.788850038850036
analog_w_only_minus_affine,tsce,37,analog_w_only,analog_affine,-15.54549617049618
analog_w_only_minus_affine,wcce,11,analog_w_only,analog_affine,-12.897380397380399
analog_w_only_minus_affine,wcce,23,analog_w_only,analog_affine,-16.924741924741927
analog_w_only_minus_affine,wcce,37,analog_w_only,analog_affine,-21.275599400599404
lif_w_only_minus_affine,tsce,11,lif_beta05_w_only,analog_affine,-53.18403818403817
lif_w_only_minus_affine,tsce,23,lif_beta05_w_only,analog_affine,-46.41767954267954
lif_w_only_minus_affine,tsce,37,lif_beta05_w_only,analog_affine,-53.04424741924743
lif_w_only_minus_affine,wcce,11,lif_beta05_w_only,analog_affine,-49.24963924963925
lif_w_only_minus_affine,wcce,23,lif_beta05_w_only,analog_affine,-50.45364357864357
lif_w_only_minus_affine,wcce,37,lif_beta05_w_only,analog_affine,-51.1787518037518
lif_start_minus_affine,tsce,11,lif_beta05_bias_start,analog_affine,-53.18403818403817
lif_start_minus_affine,tsce,23,lif_beta05_bias_start,analog_affine,-47.608155733155726
lif_start_minus_affine,tsce,37,lif_beta05_bias_start,analog_affine,-53.04424741924743
lif_start_minus_affine,wcce,11,lif_beta05_bias_start,analog_affine,-49.24963924963925
lif_start_minus_affine,wcce,23,lif_beta05_bias_start,analog_affine,-50.45364357864357
lif_start_minus_affine,wcce,37,lif_beta05_bias_start,analog_affine,-51.1787518037518
lif_end_minus_affine,tsce,11,lif_beta05_bias_end,analog_affine,-53.18403818403817
lif_end_minus_affine,tsce,23,lif_beta05_bias_end,analog_affine,-47.608155733155726
lif_end_minus_affine,tsce,37,lif_beta05_bias_end,analog_affine,-53.04424741924743
lif_end_minus_affine,wcce,11,lif_beta05_bias_end,analog_affine,-49.24963924963925
lif_end_minus_affine,wcce,23,lif_beta05_bias_end,analog_affine,-50.45364357864357
lif_end_minus_affine,wcce,37,lif_beta05_bias_end,analog_affine,-51.1787518037518
lif_start_minus_w_only,tsce,11,lif_beta05_bias_start,lif_beta05_w_only,0.0
lif_start_minus_w_only,tsce,23,lif_beta05_bias_start,lif_beta05_w_only,-1.1904761904761905
lif_start_minus_w_only,tsce,37,lif_beta05_bias_start,lif_beta05_w_only,0.0
lif_start_minus_w_only,wcce,11,lif_beta05_bias_start,lif_beta05_w_only,0.0
lif_start_minus_w_only,wcce,23,lif_beta05_bias_start,lif_beta05_w_only,0.0
lif_start_minus_w_only,wcce,37,lif_beta05_bias_start,lif_beta05_w_only,0.0
lif_end_minus_w_only,tsce,11,lif_beta05_bias_end,lif_beta05_w_only,0.0
lif_end_minus_w_only,tsce,23,lif_beta05_bias_end,lif_beta05_w_only,-1.1904761904761905
lif_end_minus_w_only,tsce,37,lif_beta05_bias_end,lif_beta05_w_only,0.0
lif_end_minus_w_only,wcce,11,lif_beta05_bias_end,lif_beta05_w_only,0.0
lif_end_minus_w_only,wcce,23,lif_beta05_bias_end,lif_beta05_w_only,0.0
lif_end_minus_w_only,wcce,37,lif_beta05_bias_end,lif_beta05_w_only,0.0
lif_end_minus_start,tsce,11,lif_beta05_bias_end,lif_beta05_bias_start,0.0
lif_end_minus_start,tsce,23,lif_beta05_bias_end,lif_beta05_bias_start,0.0
lif_end_minus_start,tsce,37,lif_beta05_bias_end,lif_beta05_bias_start,0.0
lif_end_minus_start,wcce,11,lif_beta05_bias_end,lif_beta05_bias_start,0.0
lif_end_minus_start,wcce,23,lif_beta05_bias_end,lif_beta05_bias_start,0.0
lif_end_minus_start,wcce,37,lif_beta05_bias_end,lif_beta05_bias_start,0.0
if_start_count_minus_affine,tsce,11,if_beta1_bias_start_count,analog_affine,-26.965950715950708
if_start_count_minus_affine,tsce,23,if_beta1_bias_start_count,analog_affine,-7.5223387723387605
if_start_count_minus_affine,tsce,37,if_beta1_bias_start_count,analog_affine,-7.698204573204581
if_start_count_minus_affine,wcce,11,if_beta1_bias_start_count,analog_affine,-17.48827561327561
if_start_count_minus_affine,wcce,23,if_beta1_bias_start_count,analog_affine,-12.090340215340218
if_start_count_minus_affine,wcce,37,if_beta1_bias_start_count,analog_affine,-13.751803751803765
if_end_count_minus_affine,tsce,11,if_beta1_bias_end_count,analog_affine,-17.272102897102897
if_end_count_minus_affine,tsce,23,if_beta1_bias_end_count,analog_affine,-14.97932622932623
if_end_count_minus_affine,tsce,37,if_beta1_bias_end_count,analog_affine,-12.378524253524265
if_end_count_minus_affine,wcce,11,if_beta1_bias_end_count,analog_affine,-9.839535464535466
if_end_count_minus_affine,wcce,23,if_beta1_bias_end_count,analog_affine,-14.144882894882887
if_end_count_minus_affine,wcce,37,if_beta1_bias_end_count,analog_affine,-14.487803862803867
if_start_charge_minus_affine,tsce,11,if_beta1_bias_start_charge,analog_affine,0.0
if_start_charge_minus_affine,tsce,23,if_beta1_bias_start_charge,analog_affine,0.0
if_start_charge_minus_affine,tsce,37,if_beta1_bias_start_charge,analog_affine,0.0
if_start_charge_minus_affine,wcce,11,if_beta1_bias_start_charge,analog_affine,0.0
if_start_charge_minus_affine,wcce,23,if_beta1_bias_start_charge,analog_affine,0.0
if_start_charge_minus_affine,wcce,37,if_beta1_bias_start_charge,analog_affine,0.0
