backbone_objective,method,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,source_p7_test_ba_mean,source_p7_test_ba_std,delta_vs_affine_p7_pp_mean,delta_vs_affine_p7_pp_std,selected_C_mean,selected_C_std,weight_l2_mean,weight_l2_std,effective_intercept_l2_mean,effective_intercept_l2_std
tsce,analog_affine,0.8905996326329494,0.028068775175338945,0.5324995991662659,0.025099776759038527,0.5961214711214712,0.03179651432247856,0.6095890410958904,0.035590085087031695,0.5860714309669544,0.03419167421047807,0.5961214711214712,0.03179651432247856,0.0,0.0,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,analog_w_only,0.7036765906170396,0.10007469457939194,0.3862674362674363,0.026669400812299363,0.42588383838383836,0.030492691399906163,0.4452054794520548,0.02469555668126024,0.37387693643124753,0.04823648028084914,0.5961214711214712,0.03179651432247856,-17.023763273763276,4.175165036631978,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,if_beta1_bias_end_charge,0.8905996326329494,0.028068775175338945,0.5324995991662659,0.025099776759038527,0.5961214711214712,0.03179651432247856,0.6095890410958904,0.035590085087031695,0.5860714309669544,0.03419167421047807,0.5961214711214712,0.03179651432247856,0.0,0.0,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,if_beta1_bias_end_count,0.7319208893742118,0.08770516293747384,0.4253326919993587,0.045496396744076406,0.44735495985495977,0.040408114389760864,0.4680365296803653,0.04128571077631309,0.40310990698265625,0.04245414133467778,0.5961214711214712,0.03179651432247856,-14.876651126651131,2.448404504520083,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,if_beta1_bias_start_charge,0.8905996326329494,0.028068775175338945,0.5324995991662659,0.025099776759038527,0.5961214711214712,0.03179651432247856,0.6095890410958904,0.035590085087031695,0.5860714309669544,0.03419167421047807,0.5961214711214712,0.03179651432247856,0.0,0.0,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,if_beta1_bias_start_count,0.7804446530629358,0.11120256253855276,0.3924883758217092,0.09018109571239889,0.45549982424982427,0.09881485841277211,0.46575342465753417,0.09878222672504079,0.4692425850828657,0.07782852633812058,0.5961214711214712,0.03179651432247856,-14.062164687164683,11.175352459877882,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,lif_beta05_bias_end,0.08391203703703703,0.0010023442173430978,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08904109589041094,0.0,0.013626834381551363,0.0,0.5961214711214712,0.03179651432247856,-51.27881377881378,3.179651432247852,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,lif_beta05_bias_start,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08904109589041094,0.0,0.013626834381551363,0.0,0.5961214711214712,0.03179651432247856,-51.27881377881378,3.179651432247852,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
tsce,lif_beta05_w_only,0.08542976939203355,0.0036311337684882105,0.08333333333333333,0.0,0.08730158730158728,0.006873217490352689,0.07990867579908675,0.007908907797118161,0.018671951692806426,0.012115122635527463,0.5961214711214712,0.03179651432247856,-50.88198838198838,3.8668366171883304,0.07,0.05196152422706632,0.21499104134131675,0.10126298993034262,5.391647167868229,0.4337080160950412
wcce,analog_affine,0.9146859278635003,0.01636265435201509,0.5617945326278659,0.005220577411459129,0.5862734487734488,0.00974412952227766,0.6004566210045662,0.003954453898559,0.5817243989139445,0.014810518658339806,0.5862734487734488,0.00974412952227766,0.0,0.0,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,analog_w_only,0.707144675383689,0.03139583632211507,0.4192360109026776,0.007640684818311668,0.4159477096977096,0.032328619284552045,0.4337899543378995,0.027681177289913587,0.3724714887965192,0.03313132558754903,0.5862734487734488,0.00974412952227766,-17.03257390757391,4.190150262086806,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,if_beta1_bias_end_charge,0.9146859278635003,0.01636265435201509,0.5617945326278659,0.005220577411459129,0.5862734487734488,0.00974412952227766,0.6004566210045662,0.003954453898559,0.5817243989139445,0.014810518658339806,0.5862734487734488,0.00974412952227766,0.0,0.0,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,if_beta1_bias_end_count,0.7538357555691467,0.034546694342297665,0.44229797979797986,0.018589119703041126,0.458032708032708,0.016910649818290865,0.4748858447488584,0.0104625015866572,0.42328323621001535,0.015975055172380986,0.5862734487734488,0.00974412952227766,-12.824074074074074,2.5903671036032616,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,if_beta1_bias_start_charge,0.9146859278635003,0.01636265435201509,0.5617945326278659,0.005220577411459129,0.5862734487734488,0.00974412952227766,0.6004566210045662,0.003954453898559,0.5817243989139445,0.014810518658339806,0.5862734487734488,0.00974412952227766,0.0,0.0,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,if_beta1_bias_start_count,0.812722049533746,0.02363704487114923,0.4198212281545615,0.023707164312423975,0.4418387168387168,0.03572142592277103,0.4611872146118721,0.032368600179812405,0.4602623176088773,0.031240246052941133,0.5862734487734488,0.00974412952227766,-14.443473193473197,2.7646395067848295,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
wcce,lif_beta05_bias_end,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08904109589041094,0.0,0.013626834381551363,0.0,0.5862734487734488,0.00974412952227766,-50.29401154401154,0.9744129522277677,0.01,0.0,0.07918749976208977,0.0002768491881958089,4.837156385320745,0.14520340627477904
