contrast,backbone_objective,delta_pp_count,delta_pp_mean,delta_pp_std
analog_w_only_minus_affine,tsce,3,-17.023763273763276,4.175165036631978
analog_w_only_minus_affine,wcce,3,-17.03257390757391,4.190150262086806
if_end_charge_minus_affine,tsce,3,0.0,0.0
if_end_charge_minus_affine,wcce,3,0.0,0.0
if_end_count_minus_affine,tsce,3,-14.876651126651131,2.448404504520083
if_end_count_minus_affine,wcce,3,-12.824074074074074,2.5903671036032616
if_start_charge_minus_affine,tsce,3,0.0,0.0
if_start_charge_minus_affine,wcce,3,0.0,0.0
if_start_count_minus_affine,tsce,3,-14.062164687164683,11.175352459877882
if_start_count_minus_affine,wcce,3,-14.443473193473197,2.7646395067848295
lif_end_minus_affine,tsce,3,-51.27881377881378,3.179651432247852
lif_end_minus_affine,wcce,3,-50.29401154401154,0.9744129522277677
lif_end_minus_start,tsce,3,0.0,0.0
lif_end_minus_start,wcce,3,0.0,0.0
lif_end_minus_w_only,tsce,3,-0.3968253968253968,0.6873217490352688
lif_end_minus_w_only,wcce,3,0.0,0.0
lif_start_minus_affine,tsce,3,-51.27881377881378,3.179651432247852
lif_start_minus_affine,wcce,3,-50.29401154401154,0.9744129522277677
lif_start_minus_w_only,tsce,3,-0.3968253968253968,0.6873217490352688
lif_start_minus_w_only,wcce,3,0.0,0.0
lif_w_only_minus_affine,tsce,3,-50.88198838198838,3.8668366171883304
lif_w_only_minus_affine,wcce,3,-50.29401154401154,0.9744129522277677
