seed,backbone_objective,selected_C,source_p7_test_ba,reconstructed_p7_test_ba,max_abs_ba_delta,max_prediction_mismatch_count,max_abs_score_error,if_start_charge_max_abs_error,if_end_charge_max_abs_error
11,tsce,0.01,0.6151737151737151,0.6151737151737151,0.0,0,7.105427357601002e-15,3.552713678800501e-15,4.440892098500626e-15
23,tsce,0.1,0.5594148906648906,0.5594148906648906,0.0,0,1.0658141036401503e-14,8.881784197001252e-15,9.769962616701378e-15
37,tsce,0.1,0.6137758075258076,0.6137758075258076,0.0,0,1.0658141036401503e-14,7.105427357601002e-15,7.105427357601002e-15
11,wcce,0.01,0.5758297258297258,0.5758297258297258,0.0,0,8.881784197001252e-15,4.440892098500626e-15,4.440892098500626e-15
23,wcce,0.01,0.5878697691197691,0.5878697691197691,0.0,0,8.881784197001252e-15,4.884981308350689e-15,4.440892098500626e-15
37,wcce,0.01,0.5951208513708514,0.5951208513708514,0.0,0,8.881784197001252e-15,6.217248937900877e-15,6.217248937900877e-15
