seed,backbone_objective,method,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,source_p7_test_ba,delta_vs_affine_p7_pp,selected_C,weight_l2,effective_intercept_l2
11,tsce,analog_affine,0.8775453590728582,0.5590969215969216,0.6151737151737151,0.6301369863013698,0.6101858768964553,0.6151737151737151,0.0,0.01,0.10364739494883903,5.1902737500052005
23,tsce,analog_affine,0.8714354168560069,0.5092291967291968,0.5594148906648906,0.5684931506849316,0.5469413302746635,0.5594148906648906,0.0,0.1,0.3015843366185034,5.88943487548738
37,tsce,analog_affine,0.9228181219699829,0.5291726791726792,0.6137758075258076,0.6301369863013698,0.6010870857297442,0.6137758075258076,0.0,0.1,0.2397413924566078,5.095232878112108
11,tsce,analog_w_only,0.6085500570944687,0.36924603174603177,0.397804279054279,0.4246575342465753,0.3235543226614655,0.6151737151737151,-21.73694361194361,0.01,0.10364739494883903,5.1902737500052005
23,tsce,analog_w_only,0.6944230336362063,0.3725529100529101,0.4215263902763902,0.4383561643835616,0.3783625586257165,0.5594148906648906,-13.788850038850036,0.1,0.3015843366185034,5.88943487548738
37,tsce,analog_w_only,0.8080566811204438,0.41700336700336704,0.4583208458208458,0.4726027397260274,0.41971392800656065,0.6137758075258076,-15.54549617049618,0.1,0.2397413924566078,5.095232878112108
11,tsce,if_beta1_bias_end_charge,0.8775453590728582,0.5590969215969216,0.6151737151737151,0.6301369863013698,0.6101858768964553,0.6151737151737151,0.0,0.01,0.10364739494883903,5.1902737500052005
23,tsce,if_beta1_bias_end_charge,0.8714354168560069,0.5092291967291968,0.5594148906648906,0.5684931506849316,0.5469413302746635,0.5594148906648906,0.0,0.1,0.3015843366185034,5.88943487548738
37,tsce,if_beta1_bias_end_charge,0.9228181219699829,0.5291726791726792,0.6137758075258076,0.6301369863013698,0.6010870857297442,0.6137758075258076,0.0,0.1,0.2397413924566078,5.095232878112108
11,tsce,if_beta1_bias_end_count,0.6584000398672717,0.38287037037037036,0.44245268620268613,0.4726027397260274,0.3790368914291328,0.6151737151737151,-17.272102897102897,0.01,0.10364739494883903,5.1902737500052005
23,tsce,if_beta1_bias_end_count,0.7083637451968787,0.41977513227513225,0.4096216283716283,0.4246575342465753,0.3781636950367601,0.5594148906648906,-14.97932622932623,0.1,0.3015843366185034,5.88943487548738
37,tsce,if_beta1_bias_end_count,0.8289988830584853,0.4733525733525734,0.489990564990565,0.5068493150684932,0.4521291344820757,0.6137758075258076,-12.378524253524265,0.1,0.2397413924566078,5.095232878112108
11,tsce,if_beta1_bias_start_charge,0.8775453590728582,0.5590969215969216,0.6151737151737151,0.6301369863013698,0.6101858768964553,0.6151737151737151,0.0,0.01,0.10364739494883903,5.1902737500052005
23,tsce,if_beta1_bias_start_charge,0.8714354168560069,0.5092291967291968,0.5594148906648906,0.5684931506849316,0.5469413302746635,0.5594148906648906,0.0,0.1,0.3015843366185034,5.88943487548738
37,tsce,if_beta1_bias_start_charge,0.9228181219699829,0.5291726791726792,0.6137758075258076,0.6301369863013698,0.6010870857297442,0.6137758075258076,0.0,0.1,0.2397413924566078,5.095232878112108
