experiment,split_seed,model_seed,model_cnn,representation,requested_duration_ms_cnn,samples_per_bin_cnn,actual_duration_ms_cnn,n_time_bins_cnn,best_epoch,train_balanced_accuracy,val_balanced_accuracy_cnn,val_accuracy_cnn,val_macro_f1_cnn,test_balanced_accuracy_cnn,test_accuracy_cnn,test_macro_f1_cnn,model_linear,requested_duration_ms_linear,samples_per_bin_linear,actual_duration_ms_linear,n_time_bins_linear,val_balanced_accuracy_linear,val_accuracy_linear,val_macro_f1_linear,test_balanced_accuracy_linear,test_accuracy_linear,test_macro_f1_linear,test_ba_gain_cnn_minus_linear,val_ba_gain_cnn_minus_linear
experiment_1_3_2,11,1106383512,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,27,0.28512209166278935,0.24423076923076925,0.25595238095238093,0.19268077497468575,0.2619757625272331,0.28365384615384615,0.1811743023237271,linear,15.625,1.0,15.625,256,0.26527396214896215,0.27976190476190477,0.24267875074746795,0.28724128540305016,0.2980769230769231,0.28047776863928314,-0.02526552287581707,-0.0210431929181929
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,144,0.8826509538718841,0.4294223137973138,0.44642857142857145,0.42045336554607665,0.571541394335512,0.5817307692307693,0.5683703803109981,linear,100.0,6.0,93.75,43,0.3636752136752137,0.375,0.3541439444819217,0.5195533769063182,0.5288461538461539,0.5229972557971971,0.05198801742919379,0.06574710012210011
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,79,0.7678090396840397,0.5063415750915751,0.5178571428571429,0.49199056590697454,0.5134259259259258,0.5288461538461539,0.5084454943910669,linear,250.0,16.0,250.0,16,0.4517094017094017,0.4583333333333333,0.4464819530286534,0.683183551198257,0.6875,0.6820908007191738,-0.16975762527233118,0.054632173382173355
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,96,0.8835681931248792,0.5590468559218559,0.5773809523809523,0.5606935555080552,0.6277505446623094,0.6346153846153846,0.6278536400037334,linear,500.0,32.0,500.0,8,0.45666971916971916,0.4583333333333333,0.43645126627702674,0.6476988017429194,0.6442307692307693,0.6442168933181406,-0.019948257080609988,0.10237713675213672
experiment_1_3_2,11,1106383512,small_temporal_cnn,relative_10bin,,,,10,138,0.9640722796609426,0.5593940781440782,0.5654761904761905,0.5567485955460588,0.6236723856209151,0.6346153846153846,0.62920220300083,linear,,,,10,0.5299068986568987,0.5476190476190477,0.5265747592191816,0.817824074074074,0.8173076923076923,0.8150728645096385,-0.1941516884531589,0.029487179487179493
experiment_1_3_2,23,2762020400,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,171,0.6727588339586275,0.4316993464052287,0.4419889502762431,0.40940189518181747,0.32524023498288207,0.3446327683615819,0.3170605962435276,linear,15.625,1.0,15.625,256,0.27706709820680414,0.281767955801105,0.28114368011348734,0.3284673591658886,0.3446327683615819,0.32156023486668645,-0.0032271241830065245,0.15463224819842458
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,102,0.8056872804990395,0.6001262150159209,0.6022099447513812,0.5915903438511726,0.4367734593837534,0.4463276836158192,0.43435976709765295,linear,100.0,6.0,93.75,43,0.48268392827216355,0.4861878453038674,0.4687724939119462,0.4822323373793962,0.4971751412429379,0.48930424902754616,-0.0454588779956428,0.11744228674375734
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,142,0.956034600018691,0.6178486886207475,0.6187845303867403,0.6150297643322057,0.5346609477124182,0.5480225988700564,0.5477788991719659,linear,250.0,16.0,250.0,16,0.6189380132394838,0.6187845303867403,0.6023056318028314,0.5375632197323373,0.5536723163841808,0.5468109051442385,-0.0029022720199191054,-0.0010893246187363426
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,78,0.837065024797368,0.6252969457013575,0.6298342541436464,0.6145914773290506,0.5609272875816994,0.5649717514124294,0.5713660534831116,linear,500.0,32.0,500.0,8,0.5408638134741076,0.5414364640883977,0.5230582768736273,0.5711260893246187,0.5875706214689266,0.5771919773779232,-0.010198801742919317,0.08443313222724991
experiment_1_3_2,23,2762020400,small_temporal_cnn,relative_10bin,,,,10,149,0.9805811523288881,0.6672537497905145,0.6629834254143646,0.6697183154398999,0.5486908652349829,0.559322033898305,0.553921529275678,linear,,,,10,0.6866159711747947,0.6906077348066298,0.6921542253939362,0.6836465141612201,0.6949152542372882,0.7002844000714182,-0.13495564892623724,-0.01936222138428012
experiment_1_3_2,37,3822735464,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,135,0.5508859598224232,0.3740390600684718,0.38636363636363635,0.3615628199951049,0.35507617382617385,0.3670886075949367,0.3303317753573508,linear,15.625,1.0,15.625,256,0.24770463741051976,0.2556818181818182,0.2552004463289533,0.2724393661893662,0.27848101265822783,0.25152499287768054,0.08263680763680764,0.12633442265795206
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,98,0.8243029355137338,0.5019500855897915,0.5113636363636364,0.5110260361655883,0.45374972249972245,0.4620253164556962,0.45911394563568475,linear,100.0,6.0,93.75,43,0.5221453859321507,0.5340909090909091,0.5264628097042481,0.48712259962259963,0.4810126582278481,0.4794748098669667,-0.033372877122877176,-0.020195300342359168
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,94,0.8108189775975304,0.5652748599439776,0.5681818181818182,0.5636694955660473,0.48509684759684757,0.5,0.4795653720649767,linear,250.0,16.0,250.0,16,0.646466503267974,0.6477272727272727,0.646671855108262,0.6102904040404041,0.6012658227848101,0.5961742004929611,-0.12519355644355656,-0.08119164332399631
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,81,0.8678189538249595,0.6158448101462808,0.6136363636363636,0.6149599524851748,0.575856782106782,0.5822784810126582,0.5750361930534345,linear,500.0,32.0,500.0,8,0.6121576408341115,0.6193181818181818,0.6190034204985903,0.5881042568542568,0.5759493670886076,0.5677769843530153,-0.012247474747474785,0.0036871693121692806
experiment_1_3_2,37,3822735464,small_temporal_cnn,relative_10bin,,,,10,111,0.9341443587470559,0.6208547307812012,0.625,0.6185087677849792,0.6291652791652792,0.6455696202531646,0.6252888955541885,linear,,,,10,0.74994650638033,0.7556818181818182,0.7494463765825327,0.7286220723720724,0.7215189873417721,0.7223291532756203,-0.09945679320679324,-0.12909177559912877
experiment_1_3_2,53,523164946,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,102,0.5362764999777606,0.4652864131482552,0.47738693467336685,0.4515900410012368,0.24315268065268067,0.25,0.20636480356983009,linear,15.625,1.0,15.625,256,0.3437259012916907,0.35175879396984927,0.33986984331501474,0.2948717948717949,0.30714285714285716,0.29734996278950304,-0.05171911421911421,0.12156051185656447
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,110,0.8103179324176023,0.6224356296724717,0.6331658291457286,0.619953257340639,0.3970959595959596,0.40714285714285714,0.37359776383806015,linear,100.0,6.0,93.75,43,0.5646566335711073,0.5628140703517588,0.5614044075839154,0.46532634032634035,0.4785714285714286,0.4545816728908891,-0.06823038073038074,0.05777899610136439
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,89,0.827173969598403,0.7026297715442452,0.7085427135678392,0.7038627073025728,0.511509324009324,0.5071428571428571,0.5068204563608835,linear,250.0,16.0,250.0,16,0.6466038225906646,0.6532663316582915,0.6458885029735976,0.4664432789432789,0.4785714285714286,0.461972573070774,0.04506604506604511,0.056025948953580595
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,87,0.8680024283933631,0.6709731058415268,0.6834170854271356,0.6650657760855129,0.5244269619269618,0.5357142857142857,0.5185232260504186,linear,500.0,32.0,500.0,8,0.6480343486922434,0.6532663316582915,0.6484281963093633,0.6331585081585082,0.6285714285714286,0.6149478155943673,-0.10873154623154635,0.022938757149283395
experiment_1_3_2,53,523164946,small_temporal_cnn,relative_10bin,,,,10,154,0.9772758082152492,0.7480295289505815,0.7537688442211056,0.749411366115745,0.5529331779331779,0.5642857142857143,0.5522223944857493,linear,,,,10,0.7747739407278881,0.7839195979899497,0.7850147052768022,0.6054778554778554,0.6285714285714286,0.6066854021570045,-0.05254467754467751,-0.026744411777306576
