experiment,split_seed,model_seed,model,representation,requested_duration_ms,samples_per_bin,actual_duration_ms,n_time_bins,best_epoch,train_balanced_accuracy,val_balanced_accuracy,val_accuracy,val_macro_f1,test_balanced_accuracy,test_accuracy,test_macro_f1
experiment_1_3_2,11,1106383512,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,27,0.28512209166278935,0.24423076923076925,0.25595238095238093,0.19268077497468575,0.2619757625272331,0.28365384615384615,0.1811743023237271
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,144,0.8826509538718841,0.4294223137973138,0.44642857142857145,0.42045336554607665,0.571541394335512,0.5817307692307693,0.5683703803109981
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,79,0.7678090396840397,0.5063415750915751,0.5178571428571429,0.49199056590697454,0.5134259259259258,0.5288461538461539,0.5084454943910669
experiment_1_3_2,11,1106383512,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,96,0.8835681931248792,0.5590468559218559,0.5773809523809523,0.5606935555080552,0.6277505446623094,0.6346153846153846,0.6278536400037334
experiment_1_3_2,11,1106383512,small_temporal_cnn,relative_10bin,,,,10,138,0.9640722796609426,0.5593940781440782,0.5654761904761905,0.5567485955460588,0.6236723856209151,0.6346153846153846,0.62920220300083
experiment_1_3_2,23,2762020400,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,171,0.6727588339586275,0.4316993464052287,0.4419889502762431,0.40940189518181747,0.32524023498288207,0.3446327683615819,0.3170605962435276
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,102,0.8056872804990395,0.6001262150159209,0.6022099447513812,0.5915903438511726,0.4367734593837534,0.4463276836158192,0.43435976709765295
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,142,0.956034600018691,0.6178486886207475,0.6187845303867403,0.6150297643322057,0.5346609477124182,0.5480225988700564,0.5477788991719659
experiment_1_3_2,23,2762020400,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,78,0.837065024797368,0.6252969457013575,0.6298342541436464,0.6145914773290506,0.5609272875816994,0.5649717514124294,0.5713660534831116
experiment_1_3_2,23,2762020400,small_temporal_cnn,relative_10bin,,,,10,149,0.9805811523288881,0.6672537497905145,0.6629834254143646,0.6697183154398999,0.5486908652349829,0.559322033898305,0.553921529275678
experiment_1_3_2,37,3822735464,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,135,0.5508859598224232,0.3740390600684718,0.38636363636363635,0.3615628199951049,0.35507617382617385,0.3670886075949367,0.3303317753573508
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,98,0.8243029355137338,0.5019500855897915,0.5113636363636364,0.5110260361655883,0.45374972249972245,0.4620253164556962,0.45911394563568475
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,94,0.8108189775975304,0.5652748599439776,0.5681818181818182,0.5636694955660473,0.48509684759684757,0.5,0.4795653720649767
experiment_1_3_2,37,3822735464,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,81,0.8678189538249595,0.6158448101462808,0.6136363636363636,0.6149599524851748,0.575856782106782,0.5822784810126582,0.5750361930534345
experiment_1_3_2,37,3822735464,small_temporal_cnn,relative_10bin,,,,10,111,0.9341443587470559,0.6208547307812012,0.625,0.6185087677849792,0.6291652791652792,0.6455696202531646,0.6252888955541885
experiment_1_3_2,53,523164946,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,102,0.5362764999777606,0.4652864131482552,0.47738693467336685,0.4515900410012368,0.24315268065268067,0.25,0.20636480356983009
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,110,0.8103179324176023,0.6224356296724717,0.6331658291457286,0.619953257340639,0.3970959595959596,0.40714285714285714,0.37359776383806015
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,89,0.827173969598403,0.7026297715442452,0.7085427135678392,0.7038627073025728,0.511509324009324,0.5071428571428571,0.5068204563608835
experiment_1_3_2,53,523164946,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,87,0.8680024283933631,0.6709731058415268,0.6834170854271356,0.6650657760855129,0.5244269619269618,0.5357142857142857,0.5185232260504186
experiment_1_3_2,53,523164946,small_temporal_cnn,relative_10bin,,,,10,154,0.9772758082152492,0.7480295289505815,0.7537688442211056,0.749411366115745,0.5529331779331779,0.5642857142857143,0.5522223944857493
experiment_1_3_2,71,2047431412,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,158,0.6448309241131037,0.48464590964590964,0.5,0.473781152427931,0.3720413165266106,0.3888888888888889,0.3429469381683858
