experiment,split_seed,model,representation,requested_duration_ms,samples_per_bin,actual_duration_ms,n_time_bins,val_balanced_accuracy,val_accuracy,val_macro_f1,test_balanced_accuracy,test_accuracy,test_macro_f1
experiment_1_3_2,11,linear,raw_timestep,15.625,1.0,15.625,256,0.26527396214896215,0.27976190476190477,0.24267875074746795,0.28724128540305016,0.2980769230769231,0.28047776863928314
experiment_1_3_2,11,linear,fixed_100ms,100.0,6.0,93.75,43,0.3636752136752137,0.375,0.3541439444819217,0.5195533769063182,0.5288461538461539,0.5229972557971971
experiment_1_3_2,11,linear,fixed_250ms,250.0,16.0,250.0,16,0.4517094017094017,0.4583333333333333,0.4464819530286534,0.683183551198257,0.6875,0.6820908007191738
experiment_1_3_2,11,linear,fixed_500ms,500.0,32.0,500.0,8,0.45666971916971916,0.4583333333333333,0.43645126627702674,0.6476988017429194,0.6442307692307693,0.6442168933181406
experiment_1_3_2,11,linear,relative_10bin,,,,10,0.5299068986568987,0.5476190476190477,0.5265747592191816,0.817824074074074,0.8173076923076923,0.8150728645096385
experiment_1_3_2,23,linear,raw_timestep,15.625,1.0,15.625,256,0.27706709820680414,0.281767955801105,0.28114368011348734,0.3284673591658886,0.3446327683615819,0.32156023486668645
experiment_1_3_2,23,linear,fixed_100ms,100.0,6.0,93.75,43,0.48268392827216355,0.4861878453038674,0.4687724939119462,0.4822323373793962,0.4971751412429379,0.48930424902754616
experiment_1_3_2,23,linear,fixed_250ms,250.0,16.0,250.0,16,0.6189380132394838,0.6187845303867403,0.6023056318028314,0.5375632197323373,0.5536723163841808,0.5468109051442385
experiment_1_3_2,23,linear,fixed_500ms,500.0,32.0,500.0,8,0.5408638134741076,0.5414364640883977,0.5230582768736273,0.5711260893246187,0.5875706214689266,0.5771919773779232
experiment_1_3_2,23,linear,relative_10bin,,,,10,0.6866159711747947,0.6906077348066298,0.6921542253939362,0.6836465141612201,0.6949152542372882,0.7002844000714182
experiment_1_3_2,37,linear,raw_timestep,15.625,1.0,15.625,256,0.24770463741051976,0.2556818181818182,0.2552004463289533,0.2724393661893662,0.27848101265822783,0.25152499287768054
experiment_1_3_2,37,linear,fixed_100ms,100.0,6.0,93.75,43,0.5221453859321507,0.5340909090909091,0.5264628097042481,0.48712259962259963,0.4810126582278481,0.4794748098669667
experiment_1_3_2,37,linear,fixed_250ms,250.0,16.0,250.0,16,0.646466503267974,0.6477272727272727,0.646671855108262,0.6102904040404041,0.6012658227848101,0.5961742004929611
experiment_1_3_2,37,linear,fixed_500ms,500.0,32.0,500.0,8,0.6121576408341115,0.6193181818181818,0.6190034204985903,0.5881042568542568,0.5759493670886076,0.5677769843530153
experiment_1_3_2,37,linear,relative_10bin,,,,10,0.74994650638033,0.7556818181818182,0.7494463765825327,0.7286220723720724,0.7215189873417721,0.7223291532756203
experiment_1_3_2,53,linear,raw_timestep,15.625,1.0,15.625,256,0.3437259012916907,0.35175879396984927,0.33986984331501474,0.2948717948717949,0.30714285714285716,0.29734996278950304
experiment_1_3_2,53,linear,fixed_100ms,100.0,6.0,93.75,43,0.5646566335711073,0.5628140703517588,0.5614044075839154,0.46532634032634035,0.4785714285714286,0.4545816728908891
experiment_1_3_2,53,linear,fixed_250ms,250.0,16.0,250.0,16,0.6466038225906646,0.6532663316582915,0.6458885029735976,0.4664432789432789,0.4785714285714286,0.461972573070774
experiment_1_3_2,53,linear,fixed_500ms,500.0,32.0,500.0,8,0.6480343486922434,0.6532663316582915,0.6484281963093633,0.6331585081585082,0.6285714285714286,0.6149478155943673
experiment_1_3_2,53,linear,relative_10bin,,,,10,0.7747739407278881,0.7839195979899497,0.7850147052768022,0.6054778554778554,0.6285714285714286,0.6066854021570045
experiment_1_3_2,71,linear,raw_timestep,15.625,1.0,15.625,256,0.3366376678876679,0.34705882352941175,0.32578895376974515,0.34296802054154996,0.35555555555555557,0.3399861215741434
experiment_1_3_2,71,linear,fixed_100ms,100.0,6.0,93.75,43,0.5629120879120879,0.5647058823529412,0.5554169011065563,0.5305526377217553,0.5333333333333333,0.5324733951772219
experiment_1_3_2,71,linear,fixed_250ms,250.0,16.0,250.0,16,0.6140796703296704,0.611764705882353,0.6067103510581772,0.6269286881419234,0.6333333333333333,0.6324110555949952
experiment_1_3_2,71,linear,fixed_500ms,500.0,32.0,500.0,8,0.6281898656898656,0.6235294117647059,0.6176311926525054,0.5787406629318393,0.5833333333333334,0.5802832103683497
experiment_1_3_2,71,linear,relative_10bin,,,,10,0.8394001831501833,0.8470588235294118,0.8424612621620735,0.7381273342670401,0.7444444444444445,0.7375975967647025
