split_seed,representation,requested_duration_ms,samples_per_bin,actual_duration_ms,n_time_bins,cnn_input_shape_train,valid_bins_train_mean,valid_bins_train_min,valid_bins_train_max
11,raw_timestep,15.625,1.0,15.625,256,"(477, 256, 30)",97.59538784067085,44,170
11,fixed_100ms,100.0,6.0,93.75,43,"(477, 43, 30)",16.69601677148847,8,29
11,fixed_250ms,250.0,16.0,250.0,16,"(477, 16, 30)",6.587002096436058,3,11
11,fixed_500ms,500.0,32.0,500.0,8,"(477, 8, 30)",3.530398322851153,2,6
11,relative_10bin,,,,10,"(477, 10, 30)",10.0,10,10
23,raw_timestep,15.625,1.0,15.625,256,"(495, 256, 30)",101.34747474747475,46,191
23,fixed_100ms,100.0,6.0,93.75,43,"(495, 43, 30)",17.327272727272728,8,32
23,fixed_250ms,250.0,16.0,250.0,16,"(495, 16, 30)",6.793939393939394,3,12
23,fixed_500ms,500.0,32.0,500.0,8,"(495, 8, 30)",3.6505050505050507,2,6
23,relative_10bin,,,,10,"(495, 10, 30)",10.0,10,10
37,raw_timestep,15.625,1.0,15.625,256,"(519, 256, 30)",100.6840077071291,44,247
37,fixed_100ms,100.0,6.0,93.75,43,"(519, 43, 30)",17.213872832369944,8,42
37,fixed_250ms,250.0,16.0,250.0,16,"(519, 16, 30)",6.763005780346821,3,16
37,fixed_500ms,500.0,32.0,500.0,8,"(519, 8, 30)",3.622350674373796,2,8
37,relative_10bin,,,,10,"(519, 10, 30)",10.0,10,10
53,raw_timestep,15.625,1.0,15.625,256,"(514, 256, 30)",98.84046692607004,46,191
53,fixed_100ms,100.0,6.0,93.75,43,"(514, 43, 30)",16.914396887159533,8,32
53,fixed_250ms,250.0,16.0,250.0,16,"(514, 16, 30)",6.6498054474708175,3,12
53,fixed_500ms,500.0,32.0,500.0,8,"(514, 8, 30)",3.568093385214008,2,6
53,relative_10bin,,,,10,"(514, 10, 30)",10.0,10,10
71,raw_timestep,15.625,1.0,15.625,256,"(503, 256, 30)",100.98210735586481,46,247
71,fixed_100ms,100.0,6.0,93.75,43,"(503, 43, 30)",17.256461232604373,8,42
71,fixed_250ms,250.0,16.0,250.0,16,"(503, 16, 30)",6.785288270377734,3,16
71,fixed_500ms,500.0,32.0,500.0,8,"(503, 8, 30)",3.6341948310139167,2,8
71,relative_10bin,,,,10,"(503, 10, 30)",10.0,10,10
