representation,n_splits,mean_test_ba,sd_test_ba,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1,mean_val_ba,sd_val_ba,model
fixed_100ms,5,0.4735332042684983,0.06784906621444813,0.4827786586223617,0.06786027287472896,0.4683810265238682,0.07361270328957421,0.5462920380702888,0.07952399539245525,small_temporal_cnn
fixed_250ms,5,0.5182109012991366,0.023597699743320547,0.5279134330829246,0.024392170992069695,0.5202748335615673,0.03246574800414067,0.611234913106043,0.07794913307407479,small_temporal_cnn
fixed_500ms,5,0.5631541266467737,0.04230771462289554,0.5712937583287293,0.04026858171830263,0.5635421877061176,0.044290955271718065,0.6204289247187853,0.04024478497390535,small_temporal_cnn
raw_timestep,5,0.31149723370311605,0.0567382897839952,0.32685282219985073,0.05821517476918156,0.2755756831325643,0.07576259005128719,0.3999802996997269,0.09665675873952628,small_temporal_cnn
relative_10bin,5,0.588955483514307,0.0378905897215378,0.6018696617216248,0.03942844244674528,0.5903939295520721,0.03712117899651218,0.6526290060558636,0.06935779985802286,small_temporal_cnn
fixed_100ms,5,0.4969574583912819,0.027172103680234753,0.5037877430443404,0.02597671728691187,0.49576627655196415,0.03198546565870821,0.49921464987254466,0.08293075277115142,linear
fixed_250ms,5,0.5848818284112401,0.08417764483369686,0.5908685802147506,0.0794405461813307,0.5838919070044286,0.08424267019431594,0.5955594822274388,0.08182213670365629,linear
fixed_500ms,5,0.6037656638024285,0.03439088566357605,0.603931103938613,0.030438954311711973,0.5968833762023592,0.031926809083295,0.5771830775720094,0.0785610807379194,linear
raw_timestep,5,0.30519756523432995,0.029454370335148913,0.31677782335902915,0.03236051772840563,0.2981798161494593,0.03458733449482378,0.29408185338912896,0.04343320012770241,linear
relative_10bin,5,0.7147395700704524,0.07789580661279387,0.7213515613805251,0.0690071005796019,0.7163938833556769,0.07502971496604502,0.716128700018019,0.11760987129556241,linear
