condition,seed,val_balanced_accuracy,test_balanced_accuracy,test_accuracy,test_macro_f1,source
shared,11,0.46049182299182306,0.44415237540237534,0.4452054794520548,0.4410263552166773,Exp5.5
clock,11,0.6027597402597403,0.5440150127650127,0.541095890410959,0.5303770040494326,Exp5.5
oracle_progress,11,0.6065957190957191,0.6210601898101897,0.6301369863013698,0.6044800678748721,Exp5.5
ce_reset,11,0.5581469456469456,0.5180229492729492,0.5273972602739726,0.5090513564604644,Exp5.5
ce_ordered,11,0.5508658008658008,0.46602980352980344,0.4726027397260274,0.4563355338199708,Exp5.5
fixed250,11,0.5252886002886002,0.6094488844488843,0.6232876712328768,0.6141804262766505,Exp5.5 Fixed250 reference
reg_ordered,11,0.543001443001443,0.4840354090354089,0.4931506849315068,0.46931457926614223,Exp5.5.1 selected recipe
reg_reset,11,0.5498136123136123,0.5297785547785548,0.5342465753424658,0.5174722716404807,Exp5.5.1 selected recipe
reg_ordered_shuffled_q,11,,0.49666860916860917,0.5000000000000001,0.48399648678619095,Exp5.5.1 within-gesture shuffled q
shared,23,0.4784511784511785,0.4851134976134976,0.4931506849315068,0.48455771250937557,Exp5.5
clock,23,0.532058682058682,0.5939636752136751,0.6095890410958904,0.5821490092564965,Exp5.5
oracle_progress,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5
ce_reset,23,0.5556697931697933,0.5380133755133755,0.547945205479452,0.5331639567755753,Exp5.5
ce_ordered,23,0.5519300144300144,0.527955377955378,0.5342465753424658,0.5304656960059947,Exp5.5
fixed250,23,0.6115620490620491,0.5931318681318681,0.6095890410958904,0.5918175391859603,Exp5.5 Fixed250 reference
reg_ordered,23,0.5754088504088504,0.5510073260073259,0.5616438356164384,0.5484241103848947,Exp5.5.1 selected recipe
reg_reset,23,0.5406986531986532,0.5815628815628816,0.589041095890411,0.5697614167441755,Exp5.5.1 selected recipe
reg_ordered_shuffled_q,23,,0.526007326007326,0.5342465753424659,0.5228858728933838,Exp5.5.1 within-gesture shuffled q
shared,37,0.4679653679653679,0.4669566544566544,0.4726027397260274,0.46787191606186157,Exp5.5
clock,37,0.5908429533429534,0.5580468142968144,0.5616438356164384,0.557535644570877,Exp5.5
oracle_progress,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5
ce_reset,37,0.5355519480519481,0.50505883005883,0.5068493150684932,0.5105292986528683,Exp5.5
ce_ordered,37,0.5424062049062048,0.4950931013431013,0.5,0.4818836893112255,Exp5.5
fixed250,37,0.5457431457431458,0.5873126873126873,0.5958904109589042,0.5844731019251654,Exp5.5 Fixed250 reference
reg_ordered,37,0.5501082251082251,0.5509400321900321,0.5547945205479452,0.5457212677867057,Exp5.5.1 selected recipe
reg_reset,37,0.5286435786435787,0.49494394494394495,0.5,0.4953986255066482,Exp5.5.1 selected recipe
reg_ordered_shuffled_q,37,,0.525595238095238,0.5342465753424658,0.5230325723720777,Exp5.5.1 within-gesture shuffled q
shared,53,0.48814333814333816,0.4330572205572205,0.4315068493150685,0.43252520581219134,Exp5.5
clock,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5
oracle_progress,53,0.6068963443963444,0.5617347929847929,0.5684931506849316,0.5571960822497247,Exp5.5
ce_reset,53,0.559505772005772,0.49662143412143406,0.5068493150684932,0.4875128812822312,Exp5.5
ce_ordered,53,0.5295093795093795,0.5172292984792984,0.5205479452054794,0.5071321835485922,Exp5.5
fixed250,53,0.5111652236652237,0.5857767232767231,0.5958904109589042,0.5836537024875518,Exp5.5 Fixed250 reference
reg_ordered,53,0.553517316017316,0.5112769175269175,0.5136986301369864,0.49790412657148403,Exp5.5.1 selected recipe
reg_reset,53,0.5658189033189033,0.5210241147741147,0.5273972602739726,0.5183917018191212,Exp5.5.1 selected recipe
reg_ordered_shuffled_q,53,,0.5089875402375402,0.5082191780821919,0.49416040512022397,Exp5.5.1 within-gesture shuffled q
shared,71,0.4390211640211641,0.39413017538017536,0.4041095890410959,0.3799019297824449,Exp5.5
clock,71,0.5622414622414622,0.4918914418914418,0.5,0.4706083954358347,Exp5.5
oracle_progress,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5
ce_reset,71,0.543927368927369,0.45729756354756357,0.4589041095890411,0.43672857500256873,Exp5.5
ce_ordered,71,0.517502405002405,0.44301184926184917,0.4452054794520548,0.42663597704038886,Exp5.5
fixed250,71,0.5429713804713804,0.6004821567321567,0.6164383561643836,0.6021233087899754,Exp5.5 Fixed250 reference
reg_ordered,71,0.5390031265031267,0.5023982961482961,0.5068493150684932,0.50074067362868,Exp5.5.1 selected recipe
reg_reset,71,0.547967772967773,0.4983398545898546,0.5068493150684932,0.4963651888647614,Exp5.5.1 selected recipe
reg_ordered_shuffled_q,71,,0.5023328060828061,0.5054794520547945,0.4918499021630339,Exp5.5.1 within-gesture shuffled q
