seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,q_l1_distance,evidence_l1_distance,top_support_a,top_support_b,different_top_support,high_similarity,progress_a,progress_b,progress_abs_delta
11,139,19,4,128,13,5,1.0,0.0437319241464138,0.0040480620227754,5,5,False,True,0.2111111111111111,0.1625,0.0486111111111111
11,134,16,9,49,15,1,1.0,0.007620096206665,0.000920649152249,8,8,False,True,0.1951219512195122,0.1485148514851485,0.0466070997343636
23,88,11,3,105,13,1,1.0,0.0886865183711052,0.0100802099332213,11,11,False,True,0.1341463414634146,0.1326530612244898,0.0014932802389248
23,100,12,6,84,10,0,1.0,0.0313781909644603,0.0021721995435655,5,5,False,True,0.116504854368932,0.1123595505617977,0.0041453038071342
23,105,9,1,88,11,3,1.0,0.0152814090251922,0.001466830028221,11,11,False,True,0.0918367346938775,0.1341463414634146,0.042309606769537
37,122,8,2,115,12,4,1.0,0.1037172973155975,0.0211258959025144,8,8,False,True,0.1538461538461538,0.1463414634146341,0.0075046904315197
37,132,13,6,101,12,1,1.0,0.0478030517697334,0.006370473653078,2,2,False,True,0.1529411764705882,0.1071428571428571,0.0457983193277311
53,56,5,3,31,9,5,1.0,0.023519366979599,0.0027377251535654,6,6,False,True,0.0641025641025641,0.0803571428571428,0.0162545787545787
71,76,26,1,139,19,4,1.0,0.0585689470171928,0.0083925053477287,8,8,False,True,0.2148760330578512,0.2111111111111111,0.0037649219467401
71,139,21,4,108,14,2,1.0,0.0208859220147132,0.0035147513262927,2,2,False,True,0.2333333333333333,0.2545454545454545,0.0212121212121211
71,135,13,2,139,17,4,1.0,0.019352987408638,0.0031100716441869,2,2,False,True,0.2241379310344827,0.1888888888888888,0.0352490421455938
71,139,17,4,141,13,1,1.0,0.019352987408638,0.0031100716441869,2,2,False,True,0.1888888888888888,0.1477272727272727,0.0411616161616161
71,140,14,6,139,17,4,1.0,0.0183804333209991,0.003044010605663,2,2,False,True,0.1647058823529411,0.1888888888888888,0.0241830065359477
71,76,5,1,102,8,7,1.0,0.0156843289732933,0.0017665233463048,7,7,False,True,0.0413223140495867,0.0898876404494382,0.0485653263998514
71,136,15,5,139,19,4,1.0,0.0100262090563774,0.0011859951773658,8,8,False,True,0.1612903225806451,0.2111111111111111,0.0498207885304659
71,83,18,6,139,19,4,1.0,0.0097553879022598,0.0011756396852433,8,8,False,True,0.1764705882352941,0.2111111111111111,0.0346405228758169
