condition,seed,axis,position,state,probability
reg_ordered,11,relative_progress,0.05,0,0.09008799500680895
reg_ordered,11,relative_progress,0.05,1,0.11191482002009885
reg_ordered,11,relative_progress,0.05,2,0.12033844961419324
reg_ordered,11,relative_progress,0.05,3,0.15743713315482002
reg_ordered,11,relative_progress,0.05,4,0.15065004742598231
reg_ordered,11,relative_progress,0.05,5,0.0849962328425078
reg_ordered,11,relative_progress,0.05,6,0.12228686970222412
reg_ordered,11,relative_progress,0.05,7,0.16228846575522535
reg_ordered,11,relative_progress,0.15,0,0.058704349719410624
reg_ordered,11,relative_progress,0.15,1,0.09047588645768408
reg_ordered,11,relative_progress,0.15,2,0.08419469067516164
reg_ordered,11,relative_progress,0.15,3,0.2178762345925718
reg_ordered,11,relative_progress,0.15,4,0.20989039810303406
reg_ordered,11,relative_progress,0.15,5,0.047399337366412594
reg_ordered,11,relative_progress,0.15,6,0.08633602957204174
reg_ordered,11,relative_progress,0.15,7,0.20512307426441936
reg_ordered,11,relative_progress,0.25,0,0.05675456166466243
reg_ordered,11,relative_progress,0.25,1,0.08111976252851683
reg_ordered,11,relative_progress,0.25,2,0.098773936477736
reg_ordered,11,relative_progress,0.25,3,0.24793694472815017
reg_ordered,11,relative_progress,0.25,4,0.20500094448996892
reg_ordered,11,relative_progress,0.25,5,0.06130718419777293
reg_ordered,11,relative_progress,0.25,6,0.07194995490820136
reg_ordered,11,relative_progress,0.25,7,0.1771567094483855
reg_ordered,11,relative_progress,0.35,0,0.056827353640510565
reg_ordered,11,relative_progress,0.35,1,0.0787054189162541
reg_ordered,11,relative_progress,0.35,2,0.12003567104506845
reg_ordered,11,relative_progress,0.35,3,0.26055971841771897
reg_ordered,11,relative_progress,0.35,4,0.17740735820639988
reg_ordered,11,relative_progress,0.35,5,0.08527024567190102
reg_ordered,11,relative_progress,0.35,6,0.06340164707714244
reg_ordered,11,relative_progress,0.35,7,0.15779258809857982
reg_ordered,11,relative_progress,0.45,0,0.05765404056204616
reg_ordered,11,relative_progress,0.45,1,0.08128622566817055
reg_ordered,11,relative_progress,0.45,2,0.143221611598087
reg_ordered,11,relative_progress,0.45,3,0.2577612869308009
reg_ordered,11,relative_progress,0.45,4,0.1357498671120484
reg_ordered,11,relative_progress,0.45,5,0.12533136726589078
reg_ordered,11,relative_progress,0.45,6,0.06905209400878629
reg_ordered,11,relative_progress,0.45,7,0.12994350661418747
reg_ordered,11,relative_progress,0.55,0,0.059483344510799584
reg_ordered,11,relative_progress,0.55,1,0.08537670773870917
reg_ordered,11,relative_progress,0.55,2,0.16037742990496748
reg_ordered,11,relative_progress,0.55,3,0.221515229295844
reg_ordered,11,relative_progress,0.55,4,0.10435032594168939
