condition,seed,split,coarse_10bin_accuracy,mae,n_timesteps,pearson,r2,rmse,spearman
reg_ordered,11,test,0.2938204108681246,0.1173749803208633,12072,0.8520404747445192,0.7179900963232844,0.15516677437279644,0.8477006191519416
reg_ordered,11,train,0.2839030599427203,0.12461443693349435,59707,0.8089422118081837,0.6486538992420481,0.17278529692263522,0.8024659651805149
reg_ordered,11,val,0.2693354402598543,0.13033166823009645,11391,0.7936919183069774,0.6162083462293841,0.18082760284003327,0.7869122151811208
reg_reset,11,test,0.2023691186216037,0.1481038439822686,12072,0.7879006197525926,0.6142438103873866,0.18147759012493228,0.7939531880253462
reg_reset,11,train,0.19076490193779624,0.16110203337140333,59707,0.7207982321538455,0.519423768284422,0.20207861583121384,0.7215253417149449
reg_reset,11,val,0.18584847686770256,0.16522973733133992,11391,0.7048564620282975,0.4905266820007961,0.20834241029008319,0.7152545461907632
reg_ordered,23,test,0.2972995361166335,0.11728866017576926,12072,0.8565148007547831,0.7190988122450999,0.1548614565575637,0.8479387986985789
reg_ordered,23,train,0.2882911551409382,0.1231852572650904,59707,0.8064060245867226,0.6459937092915642,0.17343817872809578,0.792604852585263
reg_ordered,23,val,0.28970239662891756,0.13232986424449697,11391,0.7886152211871487,0.5927620393228238,0.18626921703347138,0.7699838253741439
reg_reset,23,test,0.16517561298873426,0.1695684516055011,12072,0.7516763853846483,0.5123282063030239,0.20404707359739863,0.750220669078637
reg_reset,23,train,0.16003148709531545,0.1827975176484612,59707,0.6699999766986532,0.4228405425990205,0.22145583250214568,0.6715760055596081
reg_reset,23,val,0.1636379597928189,0.1796252965935246,11391,0.7031635926588374,0.4447677429224246,0.2174975186755619,0.7117840691633744
reg_ordered,37,test,0.2944002650762094,0.11703160366840415,12072,0.8705957855496839,0.723144219074993,0.15374229158101424,0.8659760328454567
reg_ordered,37,train,0.3263436447987673,0.10958665157936097,59707,0.8411571902490413,0.7038794080570927,0.15862568810107391,0.8317426320562975
reg_ordered,37,val,0.30216837854446493,0.1190669130688529,11391,0.8382032820138214,0.6867557962796398,0.16336479940831553,0.8262345329088879
reg_reset,37,test,0.15830019880715707,0.1782506132562541,12072,0.7175718144905157,0.46580129184646135,0.21355904429395647,0.7203329278725614
reg_reset,37,train,0.16073492220342672,0.1836276712413186,59707,0.6695429580312164,0.42012210030788943,0.2219767523964812,0.6744524980373007
reg_reset,37,val,0.15784391186024055,0.18548961676922185,11391,0.678902352866227,0.41244859349748186,0.22373807500582224,0.6916859699115165
reg_ordered,53,test,0.17188535453943007,0.17054180257374071,12072,0.7274578515527237,0.49322533820696557,0.20800510708163364,0.7173131149219861
reg_ordered,53,train,0.17160466946924147,0.18083382190932484,59707,0.6532251936793928,0.41404179000191155,0.2231374863431158,0.6312195886669556
reg_ordered,53,val,0.17171451145641295,0.176647647625452,11391,0.6883286301976316,0.4475450837317039,0.2169528618911327,0.6729411778675597
reg_reset,53,test,0.182571239231279,0.15297672106271262,12072,0.7829176009801869,0.6000154957613784,0.18479411450550848,0.7907277090709982
reg_reset,53,train,0.1784045421809838,0.16499117776234584,59707,0.7163279993953756,0.5091974369895205,0.2042173449507941,0.7214983545307867
reg_reset,53,val,0.18128346940567114,0.16486466663629498,11391,0.7114786041921516,0.5032778343763724,0.20571868152458417,0.7214238918263252
reg_ordered,71,test,0.2284625579854208,0.1338811223544506,12072,0.8134905191413724,0.6544358097559881,0.17176351449006502,0.804244662760635
reg_ordered,71,train,0.21737819686133955,0.14990538561283487,59707,0.7318451326362376,0.5314923064198088,0.19952511882223692,0.7120090083507284
reg_ordered,71,val,0.22113949609340708,0.15200412132490812,11391,0.7201870679477314,0.49372460928328155,0.20768750583165993,0.6937105634759559
reg_reset,71,test,0.2100728959575878,0.13465252132932135,12072,0.8176091924835583,0.665215093337844,0.1690633565135503,0.8227577831300283
reg_reset,71,train,0.19731354782521313,0.15583565617596493,59707,0.7207761950835755,0.5097637285579844,0.2040994972183073,0.7241282095477859
reg_reset,71,val,0.20059696251426565,0.1577220549334137,11391,0.7087351860076423,0.4742394607742175,0.2116464340713636,0.7206388410720798
