condition,seed,n_test_timesteps,n_train_timesteps,probe,test_q_mae,test_r2_uniform_average
reg_ordered,11,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.05862164515338654,0.0887551045075571
reg_reset,11,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.03977602542674065,0.1290104655238647
reg_ordered,23,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.04900767150526253,0.21881542003278726
reg_reset,23,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.020939537581762566,0.18961542172683266
reg_ordered,37,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.05559742204332112,0.16800426102112226
reg_reset,37,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.014331267267840384,0.13959298857012192
reg_ordered,53,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.025702936638571174,0.19074997849406877
reg_reset,53,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.033801573456047014,0.12944920601414717
reg_ordered,71,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.03561917635832319,0.19639565247385146
reg_reset,71,12072,50000,"Ridge(true_relative_progress -> q), train-fit/test-evaluated",0.04538546145612718,0.13145442837568383
