recipe,seed,val_balanced_accuracy,val_classification_loss,source
ce_only,11,0.5508658008658008,1.4296985864639282,Exp5.5 ordered_gru CE-only
ce_only,23,0.5519300144300144,1.6249892711639404,Exp5.5 ordered_gru CE-only
ce_only,37,0.5424062049062048,1.8677186965942383,Exp5.5 ordered_gru CE-only
ce_only,53,0.5295093795093795,1.8356136083602905,Exp5.5 ordered_gru CE-only
ce_only,71,0.517502405002405,1.663806438446045,Exp5.5 ordered_gru CE-only
progress,11,0.543001443001443,2.542003631591797,Exp5.5.1 screen
progress,23,0.5754088504088504,2.20097017288208,Exp5.5.1 screen
progress,37,0.5501082251082251,2.5956361293792725,Exp5.5.1 screen
progress,53,0.553517316017316,1.738715648651123,Exp5.5.1 screen
progress,71,0.5390031265031267,2.027411937713623,Exp5.5.1 screen
progress_sticky,11,0.545484607984608,2.3221566677093506,Exp5.5.1 screen
progress_sticky,23,0.5624458874458875,2.3255815505981445,Exp5.5.1 screen
progress_sticky,37,0.5419011544011544,1.7771563529968262,Exp5.5.1 screen
progress_sticky,53,0.5618506493506493,1.735947608947754,Exp5.5.1 screen
progress_sticky,71,0.5361531986531987,1.6392953395843506,Exp5.5.1 screen
progress_sticky_confidence,11,0.553517316017316,2.516195774078369,Exp5.5.1 screen
progress_sticky_confidence,23,0.5763347763347764,2.070932626724243,Exp5.5.1 screen
progress_sticky_confidence,37,0.5636724386724387,2.5239241123199463,Exp5.5.1 screen
progress_sticky_confidence,53,0.5618506493506493,1.7343553304672241,Exp5.5.1 screen
progress_sticky_confidence,71,0.5361531986531987,1.6437441110610962,Exp5.5.1 screen
