condition,seed,accuracy,balanced_accuracy,feature,loss,macro_f1,n_samples,split
reg_ordered,11,0.6953528399311532,0.6810009914584655,mean_q,0.9285141422655917,0.6805726110516344,581,train
reg_ordered,11,0.3492063492063492,0.3301647426647427,mean_q,2.0598175750668837,0.3247878869215076,126,val
reg_ordered,11,0.4246575342465753,0.41552752802752796,mean_q,1.8204610199655704,0.40128503266944127,146,test
reg_ordered,11,0.4939759036144578,0.47662362802082864,final_q,1.5240188901778877,0.46200671685572864,581,train
reg_ordered,11,0.35714285714285715,0.353517316017316,final_q,2.0493034926321823,0.3423859006067244,126,val
reg_ordered,11,0.4041095890410959,0.3894674769674769,final_q,1.9929733616492806,0.3596091761023111,146,test
reg_reset,11,0.6746987951807228,0.6612298924941986,mean_q,0.9279423130833622,0.6615105227596266,581,train
reg_reset,11,0.3492063492063492,0.33929773929773926,mean_q,1.905530698230972,0.3103659048160327,126,val
reg_reset,11,0.4383561643835616,0.4277132589632589,mean_q,1.8573337540668102,0.4028470890539857,146,test
reg_reset,11,0.3270223752151463,0.3120070680935923,final_q,1.8454461241219935,0.29621037427935015,581,train
reg_reset,11,0.2857142857142857,0.2758718133718134,final_q,2.098542770434043,0.24162920619868225,126,val
reg_reset,11,0.2465753424657534,0.23427267177267178,final_q,2.034410136970428,0.21109238084781565,146,test
reg_ordered,23,0.7762478485370051,0.7683555690783995,mean_q,0.7244062767052951,0.7689775939731708,581,train
reg_ordered,23,0.40476190476190477,0.3814273689273689,mean_q,1.794077744266327,0.38403665177566526,126,val
reg_ordered,23,0.4931506849315068,0.48121114996114994,mean_q,1.6114623730744084,0.4733763050674816,146,test
reg_ordered,23,0.5869191049913941,0.577136008163585,final_q,1.3062838023192787,0.5765817157165758,581,train
reg_ordered,23,0.373015873015873,0.3513708513708514,final_q,2.1150185037414473,0.351620822816475,126,val
reg_ordered,23,0.4589041095890411,0.43497197247197245,final_q,1.6286689695485543,0.4311795123666647,146,test
reg_reset,23,0.7125645438898451,0.6983976373715746,mean_q,0.8463913012329899,0.6989274606928458,581,train
reg_reset,23,0.4603174603174603,0.4306697931697932,mean_q,1.6431198336523756,0.43632871741373896,126,val
reg_reset,23,0.4931506849315068,0.47626123876123877,mean_q,1.6485978247331694,0.47411973984996303,146,test
reg_reset,23,0.37349397590361444,0.3677746608680876,final_q,1.879297504605882,0.36219262816021724,581,train
reg_reset,23,0.2857142857142857,0.2747715247715248,final_q,2.092309811653958,0.26894070163678,126,val
reg_reset,23,0.2808219178082192,0.2633595571095571,final_q,2.1274194228358447,0.2557543970365346,146,test
reg_ordered,37,0.6265060240963856,0.6104524953603785,mean_q,1.0769776858157392,0.5992806667498436,581,train
reg_ordered,37,0.3333333333333333,0.3299062049062049,mean_q,2.037668430602667,0.32605373747530614,126,val
reg_ordered,37,0.3561643835616438,0.3631174381174381,mean_q,2.0623984590531474,0.3505582862856209,146,test
reg_ordered,37,0.5593803786574871,0.5576060146675383,final_q,1.3498364193875148,0.5586999353550813,581,train
reg_ordered,37,0.3333333333333333,0.33843193843193836,final_q,2.046578274347297,0.3267628612594287,126,val
reg_ordered,37,0.3767123287671233,0.37513666888666886,final_q,2.069277319155297,0.3718356297959879,146,test
reg_reset,37,0.6609294320137694,0.6479607893967984,mean_q,0.999531078779965,0.6422458199471485,581,train
reg_reset,37,0.35714285714285715,0.36221139971139965,mean_q,1.7817953392882726,0.3440754449949484,126,val
reg_reset,37,0.4383561643835616,0.42929015429015416,mean_q,2.0413431549644545,0.4080407204802244,146,test
reg_reset,37,0.2943201376936317,0.2838068667928561,final_q,1.9944563690160098,0.2778600804360105,581,train
reg_reset,37,0.20634920634920634,0.20099807599807598,final_q,2.2705011500456553,0.1987419749734284,126,val
reg_reset,37,0.2191780821917808,0.21309801309801304,final_q,2.3223529910781764,0.2029836484440065,146,test
reg_ordered,53,0.6729776247848537,0.6681257939113832,mean_q,0.9296939291438641,0.6661716921786803,581,train
reg_ordered,53,0.3968253968253968,0.38247354497354497,mean_q,1.7502692941407625,0.3639487469708183,126,val
reg_ordered,53,0.4383561643835616,0.43078241203241197,mean_q,1.7057666031640797,0.42267468029718475,146,test
reg_ordered,53,0.43029259896729777,0.4186937837002207,final_q,1.5858532587216876,0.4098188166392447,581,train
reg_ordered,53,0.2777777777777778,0.2725889850889851,final_q,2.1417359961258207,0.2624350560662587,126,val
reg_ordered,53,0.3972602739726027,0.3859903984903985,final_q,1.8377888749851619,0.3867727391715397,146,test
reg_reset,53,0.6592082616179001,0.6490664172492905,mean_q,0.9864849946650954,0.6460227835692155,581,train
reg_reset,53,0.4126984126984127,0.39636243386243386,mean_q,1.8120196040588694,0.3734112263898379,126,val
reg_reset,53,0.4452054794520548,0.4425137362637362,mean_q,1.8405184293083514,0.4345212779423306,146,test
reg_reset,53,0.38209982788296043,0.3655911247405465,final_q,1.849293549878344,0.34626761615543417,581,train
