recipe,seed,delta_val_balanced_accuracy_vs_ce_only
progress,11,-0.007864357864357796
progress,23,0.023478835978835932
progress,37,0.0077020202020202655
progress,53,0.024007936507936534
progress,71,0.021500721500721687
progress_sticky,11,-0.0053811928811928755
progress_sticky,23,0.01051587301587309
progress_sticky,37,-0.0005050505050504528
progress_sticky,53,0.03234126984126984
progress_sticky,71,0.018650793650793696
progress_sticky_confidence,11,0.0026515151515151825
progress_sticky_confidence,23,0.02440476190476193
progress_sticky_confidence,37,0.021266233766233822
progress_sticky_confidence,53,0.03234126984126984
progress_sticky_confidence,71,0.018650793650793696
