condition,seed,metric,state,value
reg_reset,53,median_dwell_seconds,,0.015625
reg_reset,53,occupancy,0.0,0.07149103052054413
reg_reset,53,occupancy,1.0,0.11693763199482654
reg_reset,53,occupancy,2.0,0.14839738214942716
reg_reset,53,occupancy,3.0,0.13513837361768766
reg_reset,53,occupancy,4.0,0.21492707996269364
reg_reset,53,occupancy,5.0,0.07595125829888602
reg_reset,53,occupancy,6.0,0.11119573682205933
reg_reset,53,occupancy,7.0,0.125961510032524
reg_ordered,71,entropy_mean,,1.9560544357893674
reg_ordered,71,entropy_median,,2.0026112610792377
reg_ordered,71,total_variation_l1_mean,,0.05545821546630176
reg_ordered,71,argmax_transitions_per_second,,7.813516686231763
reg_ordered,71,mean_dwell_seconds,,0.11774344569288389
reg_ordered,71,median_dwell_seconds,,0.03125
reg_ordered,71,occupancy,0.0,0.10307071754039865
reg_ordered,71,occupancy,1.0,0.13848044356560202
reg_ordered,71,occupancy,2.0,0.12078091558754059
reg_ordered,71,occupancy,3.0,0.16860380721222326
reg_ordered,71,occupancy,4.0,0.18802137984391215
reg_ordered,71,occupancy,5.0,0.0844700283502371
reg_ordered,71,occupancy,6.0,0.10023753621076673
reg_ordered,71,occupancy,7.0,0.09633516933324002
reg_reset,71,entropy_mean,,1.8927905986032691
reg_reset,71,entropy_median,,1.9446894353375754
reg_reset,71,total_variation_l1_mean,,0.24961326994339533
reg_reset,71,argmax_transitions_per_second,,24.7821566325675
reg_reset,71,mean_dwell_seconds,,0.03959382871536524
reg_reset,71,median_dwell_seconds,,0.015625
reg_reset,71,occupancy,0.0,0.09861132404131283
reg_reset,71,occupancy,1.0,0.1441951799953222
reg_reset,71,occupancy,2.0,0.09813367840076376
reg_reset,71,occupancy,3.0,0.17703940390965317
reg_reset,71,occupancy,4.0,0.20542560807645885
reg_reset,71,occupancy,5.0,0.07899234202663266
reg_reset,71,occupancy,6.0,0.095639910335073
reg_reset,71,occupancy,7.0,0.1019625428531256
