seed,comparison,delta_test_balanced_accuracy
11,reg_ordered_minus_ce_ordered,0.018005605505605482
11,reg_ordered_minus_reg_reset,-0.04574314574314592
11,reg_ordered_minus_clock,-0.059979603729603814
11,reg_ordered_minus_oracle_progress,-0.1370247807747808
11,reg_ordered_minus_shuffled_q,-0.01263320013320024
11,reg_ordered_minus_fixed250,-0.12541347541347542
23,reg_ordered_minus_ce_ordered,0.02305194805194799
23,reg_ordered_minus_reg_reset,-0.03055555555555567
23,reg_ordered_minus_clock,-0.042956349206349165
23,reg_ordered_minus_oracle_progress,-0.033874458874458835
23,reg_ordered_minus_shuffled_q,0.02499999999999991
23,reg_ordered_minus_fixed250,-0.0421245421245422
37,reg_ordered_minus_ce_ordered,0.055846930846930765
37,reg_ordered_minus_reg_reset,0.05599608724608712
37,reg_ordered_minus_clock,-0.007106782106782283
37,reg_ordered_minus_oracle_progress,-0.019753163503163584
37,reg_ordered_minus_shuffled_q,0.025344794094794065
37,reg_ordered_minus_fixed250,-0.036372655122655195
53,reg_ordered_minus_ce_ordered,-0.005952380952380931
53,reg_ordered_minus_reg_reset,-0.009747197247197192
53,reg_ordered_minus_clock,-0.051177294927294836
53,reg_ordered_minus_oracle_progress,-0.05045787545787539
53,reg_ordered_minus_shuffled_q,0.0022893772893772812
53,reg_ordered_minus_fixed250,-0.07449980574980564
71,reg_ordered_minus_ce_ordered,0.05938644688644695
71,reg_ordered_minus_reg_reset,0.004058441558441539
71,reg_ordered_minus_clock,0.010506854256854326
71,reg_ordered_minus_oracle_progress,-0.01888736263736268
71,reg_ordered_minus_shuffled_q,6.54900654900592e-05
71,reg_ordered_minus_fixed250,-0.09808386058386054
