readout,mean_train_ba,sd_train_ba,mean_val_ba,sd_val_ba,mean_test_ba,sd_test_ba,mean_test_accuracy,mean_test_macro_f1,mean_network_firing_rate,mean_output_firing_rate,mean_silent_output_fraction,backbone_params,readout_params,total_params,mean_best_epoch
full_count,0.09091923954862552,0.001273279227658877,0.12103174603174602,0.023850823968593855,0.09658761377511377,0.009112319634484058,0.09580838323353294,0.04804510733185163,0.43202791936978685,0.8850411260426321,0.0,6924,0,6924,5.5
temporal_10bin,0.27199236005343697,0.11133894748618868,0.2623015873015873,0.07828682220279634,0.15788447663447663,0.06076514942389392,0.16167664670658682,0.1367232578526768,0.36870796372302395,0.2683947327772629,0.0,6924,1452,8376,18.5
final_membrane,0.19269631181725244,0.04624257989405729,0.19599867724867726,0.011551281412240582,0.18054445554445553,0.03130678187683448,0.17964071856287425,0.15534517407872434,0.33535656361710575,0.20642184121099783,0.0,6924,0,6924,13.5
