seed,readout,epoch,train_optimization_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_output_firing_rate,val_silent_output_fraction
11,full_count,1,107.59619554088961,70.9594214654738,0.04838709677419355,0.048611111111111105,0.029739704739704737,0.7172394301511177,0.0
11,full_count,2,50.3286696034093,16.460531942306027,0.07258064516129033,0.08049242424242425,0.03905934267582711,0.8875515575457283,0.0
11,full_count,3,14.57397799338064,4.2801943440591135,0.08064516129032258,0.07575757575757576,0.01366120218579235,0.9639273822456568,0.0
11,full_count,4,4.043353166887837,3.2722071986044607,0.08870967741935484,0.08270202020202021,0.026153846153846156,0.9700568789026964,0.0
11,full_count,5,3.237573234496578,2.931700660336402,0.08870967741935484,0.08333333333333333,0.02825670498084291,0.9719027936020067,0.0
11,full_count,6,2.962017067017094,2.8272451200792865,0.07258064516129033,0.06818181818181819,0.022910521140609635,0.9725983236621535,0.0
11,full_count,7,2.818534484986336,2.7896785966811644,0.08064516129032258,0.07796717171717173,0.034856850291280946,0.9727617180254895,0.0
11,full_count,8,2.70949831316548,2.806231998628186,0.04838709677419355,0.04482323232323232,0.019791666666666666,0.9728279589835988,0.0
11,full_count,9,2.643212945999638,2.754749867223924,0.06451612903225806,0.059343434343434344,0.025992063492063493,0.973057594305044,0.0
11,full_count,10,2.6001238346099855,2.7009445467302875,0.04838709677419355,0.04419191919191919,0.03254985754985756,0.9731768280296407,0.0
11,full_count,11,2.5985439654319515,2.6944302974208707,0.03225806451612903,0.02967171717171717,0.012666345999679333,0.9731172111673423,0.0
11,full_count,12,3.009476132546702,5.913783657935358,0.056451612903225805,0.052398989898989896,0.027447089947089946,0.9585088718723228,0.0
11,full_count,13,2.8356532158390166,2.7107861272750364,0.056451612903225805,0.04924242424242425,0.02707273973096758,0.9733777589359053,0.0
11,temporal_10bin,1,12.629442079605594,7.909947872161865,0.056451612903225805,0.0909090909090909,0.019345238095238096,0.4696130644833647,0.0
11,temporal_10bin,2,5.80384944177443,4.013109883954448,0.16129032258064516,0.13952020202020202,0.07283050058580898,0.4622205735583759,0.0
11,temporal_10bin,3,3.541049469670942,2.9689377277128157,0.024193548387096774,0.041666666666666664,0.005208333333333333,0.46737191206733614,0.0
11,temporal_10bin,4,2.875256872177124,2.669024790486982,0.08870967741935484,0.08617424242424243,0.045342771982116246,0.4684693039400122,0.0
