comparison,mean_delta_test_ba,sd_delta_test_ba,min_delta_test_ba,max_delta_test_ba,positive_seeds,n_seeds
temporal_10bin - full_count,0.025854353979353966,0.08760100555721202,-0.036088911088911095,0.08779761904761903,1,2
final_membrane - full_count,0.0700504934879935,0.06490356008075088,0.024156746031746043,0.11594424094424094,2,2
