epoch,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
1,train,0.0984375,0.09743005855562785,0.02906587687122038,0.030315512850698924,2.5159896850585937
1,val,0.07586206896551724,0.07702020202020203,0.02084144916244644,0.019886356003922464,2.525673215142612
2,train,0.1015625,0.10030362177401865,0.031172839506172837,0.03259837962962962,2.513914918899536
2,val,0.06896551724137931,0.07007575757575758,0.019259259259259257,0.018360153256704977,2.523305268123232
3,train,0.1015625,0.10030362177401865,0.030865519621141813,0.0322577550510459,2.5119118213653566
3,val,0.06896551724137931,0.07007575757575758,0.018839043918521137,0.017983166664636598,2.521086171577717
4,train,0.1,0.0987312947299935,0.030023493642896634,0.03135494402985075,2.5099920272827148
4,val,0.06896551724137931,0.07007575757575758,0.01846846846846847,0.017651444547996272,2.5189741216856856
5,train,0.1,0.09859574929516374,0.031984966557156366,0.03350119719455914,2.508086395263672
5,val,0.06896551724137931,0.07007575757575758,0.01846846846846847,0.017651444547996272,2.5170204310581603
6,train,0.1015625,0.10003253090435914,0.03284146814848569,0.03442616563504721,2.5064249992370606
6,val,0.06896551724137931,0.07007575757575758,0.01846846846846847,0.017651444547996272,2.5151687638512974
7,train,0.1015625,0.10003253090435914,0.03284146814848569,0.03442616563504721,2.5048914432525633
7,val,0.06896551724137931,0.07007575757575758,0.01846846846846847,0.017651444547996272,2.5134102722694136
8,train,0.1015625,0.10003253090435914,0.03267431392431393,0.034240030919718424,2.5033681869506834
8,val,0.07586206896551724,0.07765151515151515,0.0248375812093953,0.023466887246032155,2.5117250195864975
9,train,0.103125,0.10133376707872478,0.03398771367521367,0.03567958733974359,2.5019968032836912
9,val,0.07586206896551724,0.07765151515151515,0.0248375812093953,0.023466887246032155,2.5101250089448075
10,train,0.1046875,0.1027705486879202,0.03619773134070863,0.038071929384744775,2.5006425857543944
10,val,0.08275862068965517,0.08522727272727272,0.030489510489510485,0.02862406558958283,2.50860878845741
11,train,0.1015625,0.09949034916504013,0.03576107001293003,0.03766306939822371,2.499382972717285
11,val,0.08275862068965517,0.08522727272727272,0.030489510489510485,0.02862406558958283,2.507177637363302
12,train,0.1015625,0.09949034916504013,0.035323472823472826,0.037174197330447335,2.498140239715576
12,val,0.08275862068965517,0.08522727272727272,0.029794149512459372,0.027997160682930473,2.5058705708076214
13,train,0.1015625,0.0992192582953806,0.036948144757096485,0.038955058153269426,2.4969818115234377
13,val,0.0896551724137931,0.09280303030303032,0.03317112733171127,0.03110328047655004,2.5046335006582328
14,train,0.1,0.09764693125135547,0.035987342892547354,0.03791643985661179,2.4958853721618652
14,val,0.09655172413793103,0.10037878787878789,0.03715277777777778,0.03474137931034482,2.503448219957023
15,train,0.103125,0.10052049446974627,0.040121075130772066,0.04239579349849994,2.4948066234588624
15,val,0.09655172413793103,0.10037878787878789,0.035173160173160176,0.03296014330497089,2.5022897013302505
16,train,0.1109375,0.10770440251572326,0.04586744639376219,0.04860160818713451,2.493823289871216
16,val,0.09655172413793103,0.10037878787878789,0.03283333333333333,0.030882758620689652,2.501189003319576
17,train,0.115625,0.11201474734330948,0.04897986628755859,0.05197122588949512,2.4927703857421877
17,val,0.10344827586206896,0.10858585858585858,0.03806074469437031,0.03555286786648612,2.500122598121906
18,train,0.11875,0.11488831056170029,0.05110267982608408,0.05424840673510887,2.491850566864014
18,val,0.09655172413793103,0.10164141414141414,0.03516624040920716,0.03282476408854396,2.499075779421576
19,train,0.1203125,0.11605400130123618,0.051526640643611656,0.05472769031917455,2.490891122817993
19,val,0.09655172413793103,0.10164141414141414,0.03436302681992337,0.03211454617518827,2.498056778414496
20,train,0.1171875,0.11250271090869658,0.051163027678228244,0.05445351277360901,2.490034484863281
20,val,0.09655172413793103,0.10164141414141414,0.03356725146198831,0.031404718693284935,2.4970430653670737
21,train,0.1171875,0.11218372731873055,0.053120639992121715,0.05671179247516787,2.4890540599823
21,val,0.09655172413793103,0.10164141414141414,0.03252308912686271,0.030477061316358644,2.4960867931102886
