shift,tau_syn_ms,objective,seed,best_epoch,probe_C,probe_val_balanced_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_test_accuracy,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,train_test_ba_gap,test_l1_firing_rate,test_l2_firing_rate,test_l3_firing_rate,zero_l1_firing_rate,zero_l2_firing_rate,zero_l3_firing_rate
2,54.31342963722199,fixed250_sequence_ce,11,98,0.01,0.6476551226551227,0.36246993746993744,0.3647646781922689,0.3652173913043478,0.25853572394515345,0.9310344827586207,0.9319722780618901,0.9341586892705034,2.932556707094344,0.5736434108527132,0.578968253968254,0.5615742955874535,3.3965725898742676,0.3130434782608696,0.3152958152958153,0.3225958613110316,0.6166764627660748,0.003180112,0.019972146,0.072925106,0.0,0.0,0.0
2,54.31342963722199,fixed250_sequence_ce,23,98,0.01,0.5960618085618085,0.3661014911014911,0.37296110914932307,0.3739130434782609,0.2590731327132932,0.9293924466338259,0.9301009116692178,0.9339333636787206,3.3898369803909185,0.5581395348837209,0.5542328042328043,0.5376593830679288,3.32481050491333,0.3739130434782609,0.36857864357864356,0.34407265936677706,0.5615222680905743,0.0030170102,0.020003425,0.060609806,0.0,0.0,0.0
2,54.31342963722199,fixed250_sequence_ce,101,93,1.0,0.6393217893217894,0.27776575276575277,0.27554952357583934,0.28695652173913044,0.2579113682655523,0.9178981937602627,0.9178906579870095,0.9227995943079996,2.6685027558674186,0.6124031007751938,0.6233164983164984,0.6049376452008031,3.8583736419677734,0.23478260869565218,0.23382635882635883,0.21326646489942358,0.6840642991606507,0.0037245294,0.024436964,0.07035272,0.0,0.0,0.0
3,117.0136826471659,fixed250_sequence_ce,11,86,0.01,0.7114297739297739,0.39771524771524774,0.40358697913522484,0.4,0.07544918404968551,0.9819376026272578,0.9829951307394916,0.9833402011461873,2.123453732883168,0.7209302325581395,0.7138107263107263,0.7081029357116312,2.9054863452911377,0.3739130434782609,0.3836459836459836,0.3903355577362954,0.599349147093508,0.009284885,0.059041347,0.17605756,0.0,0.0,0.0
3,117.0136826471659,fixed250_sequence_ce,23,83,0.01,0.6771284271284271,0.411014911014911,0.4267610008666037,0.4260869565217391,0.09066335143588716,0.9720853858784894,0.9731621019558853,0.9742205035882897,2.7078346725582154,0.689922480620155,0.6927669552669552,0.6827079782962135,3.3309731483459473,0.40869565217391307,0.40527898027898024,0.40864589057313516,0.567883121676905,0.007419268,0.044909585,0.16422486,0.0,0.0,0.0
3,117.0136826471659,fixed250_sequence_ce,101,86,0.1,0.6506373256373256,0.39586339586339575,0.4023982810167021,0.391304347826087,0.0796547363074848,0.9770114942528736,0.9782467926578202,0.9790126650174108,2.87492354156435,0.6589147286821705,0.65758177008177,0.6391277622159975,3.6448910236358643,0.34782608695652173,0.3530663780663781,0.34997320330828113,0.6251804145914421,0.008113381,0.05372155,0.16705196,0.0,0.0,0.0
4,242.10347130039656,fixed250_sequence_ce,11,81,0.01,0.577459114959115,0.3943482443482444,0.40167332930490823,0.40869565217391307,0.07328723971533156,0.9819376026272578,0.9820061386514284,0.9829813760987115,2.9596177496651346,0.5581395348837209,0.5603655603655604,0.5376882910935833,3.570704936981201,0.34782608695652173,0.3279341029341029,0.3292846551166984,0.6540720357173255,0.011411166,0.07050837,0.22521003,0.0,0.0,0.0
4,242.10347130039656,fixed250_sequence_ce,23,75,0.01,0.5597943722943722,0.3566859066859067,0.36422539878422233,0.3739130434782609,0.09332055250283679,0.9720853858784894,0.9725861714933659,0.9741593250361454,2.503597527395847,0.5658914728682171,0.557473544973545,0.5340216609824454,3.5466277599334717,0.3826086956521739,0.3640933140933141,0.3645645251655481,0.6084928574000519,0.010383401,0.053634413,0.18897462,0.0,0.0,0.0
4,242.10347130039656,fixed250_sequence_ce,101,97,0.01,0.5033189033189033,0.43278018278018276,0.44830108181080713,0.45217391304347826,0.07986201546483708,0.9786535303776683,0.9787548760251658,0.9800189062554608,3.3698125181272047,0.4883720930232558,0.4708694083694083,0.44520823753021893,3.313991069793701,0.4434782608695652,0.42973785473785475,0.43916458014510984,0.549017021287311,0.0098121725,0.08302401,0.19632685,0.0,0.0,0.0
5,492.1461612435418,fixed250_sequence_ce,11,22,0.001,0.42777176527176536,0.26139971139971135,0.2549515772038992,0.2782608695652174,0.2675699590168563,0.9523809523809523,0.9518955565149332,0.9546478204793664,2.2867628215819367,0.4186046511627907,0.41433982683982684,0.4072972329702517,2.630826711654663,0.3130434782608696,0.30382395382395383,0.3011608417955167,0.6480716026909794,0.013078677,0.13020884,0.25607127,0.0,0.0,0.0
5,492.1461612435418,fixed250_sequence_ce,23,18,1.0,0.3422318422318422,0.2913179413179413,0.2994775778057512,0.2956521739130435,0.44303939754544025,0.9047619047619048,0.9034488574660404,0.9033936661744968,2.114130267801211,0.3953488372093023,0.39169071669071664,0.3769313211562426,2.2003567218780518,0.3826086956521739,0.3853415103415103,0.37031030616556926,0.5181073471245301,0.02599276,0.1978469,0.26295877,0.0,0.0,0.0
5,492.1461612435418,fixed250_sequence_ce,101,13,0.01,0.3946488696488697,0.3628306878306878,0.346076160385371,0.3826086956521739,0.6011111543487837,0.8538587848932676,0.8531004424457908,0.8539337529844314,2.0224359608435813,0.4186046511627907,0.4171055796055796,0.4053750341634377,2.360161781311035,0.24347826086956523,0.23257575757575752,0.21101552882606048,0.6205246848700332,0.015429129,0.12320364,0.23941849,0.0,0.0,0.0
6,992.1669944116244,fixed250_sequence_ce,11,20,0.01,0.3785834535834536,0.30155122655122657,0.3011187875376749,0.3217391304347826,0.3994997124660191,0.922824302134647,0.9209029523528559,0.9207911958434579,2.3524041656375854,0.3643410852713178,0.3764009139009139,0.3666845776056302,2.554901123046875,0.2782608695652174,0.258032708032708,0.2515005454903153,0.662870244320148,0.038986534,0.21966532,0.22165008,0.0,0.0,0.0
6,992.1669944116244,fixed250_sequence_ce,23,11,0.01,0.3345358345358345,0.3098725348725349,0.3017130306493897,0.3130434782608696,0.9964146690415632,0.6798029556650246,0.6795374621576044,0.6784753195016617,2.0039894017138224,0.3333333333333333,0.3374398749398749,0.32384855507945487,2.4138023853302,0.2782608695652174,0.27296777296777297,0.2695400674889839,0.4065696891898314,0.043775316,0.23426925,0.26846254,0.0,0.0,0.0
6,992.1669944116244,fixed250_sequence_ce,101,93,0.1,0.36815175565175556,0.3131192881192882,0.30768022767703074,0.3217391304347826,0.02689389202572491,0.9983579638752053,0.9983974358974358,0.998426412517443,3.3127575345741684,0.37209302325581395,0.38006253006253005,0.37169122300701246,3.144359827041626,0.3130434782608696,0.30158730158730157,0.2948408763249872,0.6968101343101343,0.038261887,0.21627294,0.26678383,0.0,0.0,0.0
7,1992.177287539818,fixed250_sequence_ce,11,91,0.01,0.3329365079365079,0.25592833092833095,0.2580010176823902,0.25217391304347825,0.014122886431811772,1.0,1.0,1.0,3.5504727400550546,0.3643410852713178,0.36121933621933616,0.3512052611766571,3.779162645339966,0.2608695652173913,0.2589105339105339,0.2600841499044668,0.741089466089466,0.054516952,0.25347802,0.2611758,0.0,0.0,0.0
7,1992.177287539818,fixed250_sequence_ce,23,29,0.01,0.31577080327080326,0.30153920153920155,0.2671359365536174,0.3130434782608696,0.2543883570309343,0.9770114942528736,0.9754665903664318,0.9762273062006771,2.6278739585432898,0.32558139534883723,0.33002645502645506,0.3233292633292633,2.467545986175537,0.30434782608695654,0.2976671476671477,0.2648177937878482,0.6777994426992842,0.053885397,0.24099886,0.2959083,0.0,0.0,0.0
7,1992.177287539818,fixed250_sequence_ce,101,26,0.001,0.414460076960077,0.22659932659932658,0.19395617282614186,0.24347826086956523,0.3064817003722261,0.9523809523809523,0.9535070296722905,0.95264750793927,2.3133950307387714,0.3875968992248062,0.4009379509379509,0.3902312559110804,2.529080867767334,0.2956521739130435,0.2773448773448774,0.2709204213590179,0.6761621523274131,0.054467052,0.27001533,0.2800256,0.0,0.0,0.0
