shift,objective,seed,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
2,fixed250_sequence_ce,11,1,2.4862413128412806,0.08333333333333333,2.4858222968818606,0.08333333333333333
2,fixed250_sequence_ce,11,2,2.4848483618844317,0.0898581449929332,2.4855818970258845,0.08333333333333333
2,fixed250_sequence_ce,11,3,2.4827901945129796,0.08994555758034577,2.4853508269139963,0.08333333333333333
2,fixed250_sequence_ce,11,4,2.4804239926862794,0.06848462616006475,2.48514594033707,0.08333333333333333
2,fixed250_sequence_ce,11,5,2.476987312971469,0.08809856601209985,2.484940709993821,0.08333333333333333
2,fixed250_sequence_ce,11,6,2.472822928467799,0.08071921696608414,2.4848424279412558,0.08333333333333333
2,fixed250_sequence_ce,11,7,2.4692105052897886,0.09108686959564154,2.4842952887217202,0.08333333333333333
2,fixed250_sequence_ce,11,8,2.4642294952630603,0.09179713964026116,2.4834921785103257,0.08333333333333333
2,fixed250_sequence_ce,11,9,2.4575526636026566,0.0964267692698908,2.48305204117945,0.08333333333333333
2,fixed250_sequence_ce,11,10,2.446329035782462,0.1007053970386463,2.4799662394117017,0.0909090909090909
2,fixed250_sequence_ce,11,11,2.4324112803673703,0.10796953918859291,2.47714808560157,0.0909090909090909
2,fixed250_sequence_ce,11,12,2.411528716925134,0.11251504647532828,2.4774225589840912,0.0909090909090909
2,fixed250_sequence_ce,11,13,2.3946078375642523,0.12629844671706184,2.4786926942278247,0.0909090909090909
2,fixed250_sequence_ce,11,14,2.3664965500385304,0.13695375261046297,2.481456520021424,0.08333333333333333
2,fixed250_sequence_ce,11,15,2.343344861454956,0.14841906375402955,2.479098399480184,0.09722222222222222
2,fixed250_sequence_ce,11,16,2.2987235473294563,0.16311583781491512,2.4682673687158627,0.11174242424242424
2,fixed250_sequence_ce,11,17,2.272985119342021,0.16766424587209514,2.4668019797450813,0.11805555555555557
2,fixed250_sequence_ce,11,18,2.246583654375499,0.1805757950696719,2.4594412293545034,0.125
2,fixed250_sequence_ce,11,19,2.2169776898495277,0.19100499677393626,2.4670122427533765,0.13396464646464648
2,fixed250_sequence_ce,11,20,2.1903744522965405,0.20317388590499183,2.4582861356957015,0.1332070707070707
2,fixed250_sequence_ce,11,21,2.1510325636965497,0.23261753039100597,2.427751056907713,0.13396464646464648
2,fixed250_sequence_ce,11,22,2.1105250000757927,0.23224558094018555,2.400039643280266,0.14911616161616162
2,fixed250_sequence_ce,11,23,2.058745576830333,0.26046505619435883,2.3829467499903005,0.1566919191919192
2,fixed250_sequence_ce,11,24,2.0164266474337023,0.2808262606731946,2.373629479445228,0.18775252525252525
2,fixed250_sequence_ce,11,25,1.9843281127744903,0.2847939136509491,2.360683328421541,0.18636363636363637
2,fixed250_sequence_ce,11,26,1.924748162526411,0.302291278991436,2.3879795203837313,0.201010101010101
2,fixed250_sequence_ce,11,27,1.8700761628659879,0.3154746886551852,2.4021465039068413,0.1977693602693603
2,fixed250_sequence_ce,11,28,1.8257338742317237,0.33335783762863613,2.396179975465287,0.19343434343434343
2,fixed250_sequence_ce,11,29,1.783574329416936,0.33486033413426547,2.373226341351058,0.19343434343434343
2,fixed250_sequence_ce,11,30,1.7158719949142882,0.3621668729888077,2.39481081519016,0.2206228956228956
2,fixed250_sequence_ce,11,31,1.6590902617412249,0.39609840070141655,2.398438390835311,0.22882996632996636
2,fixed250_sequence_ce,11,32,1.6156559857633117,0.41078265360622085,2.3255046809366506,0.2340909090909091
2,fixed250_sequence_ce,11,33,1.5541534245699302,0.42731957309081164,2.4030176613682,0.23270202020202022
2,fixed250_sequence_ce,11,34,1.4953046234566199,0.46263024577789036,2.50556242188742,0.24503367003367005
2,fixed250_sequence_ce,11,35,1.449261978146282,0.5036107484090561,2.5870709909025087,0.27175925925925926
2,fixed250_sequence_ce,11,36,1.397757127171471,0.5211053404006757,2.6715707182884216,0.2697390572390573
2,fixed250_sequence_ce,11,37,1.3724534809100022,0.5219966492438944,2.573223847289418,0.3103535353535354
2,fixed250_sequence_ce,11,38,1.301582176501332,0.570253934170563,2.582079814385998,0.30311447811447817
2,fixed250_sequence_ce,11,39,1.2597437339463258,0.5660843202880798,2.619332481724347,0.28938792688792686
2,fixed250_sequence_ce,11,40,1.2202564021832445,0.5770204825134789,2.6740263053613114,0.28244348244348244
2,fixed250_sequence_ce,11,41,1.1792150297384152,0.5993232806567367,2.665713359219159,0.3241462241462241
2,fixed250_sequence_ce,11,42,1.1233227941985984,0.6300844281850307,2.7775335108586985,0.2878667628667629
2,fixed250_sequence_ce,11,43,1.08688267209064,0.6485330258849423,2.7463819684908373,0.3233465608465608
2,fixed250_sequence_ce,11,44,1.054321099384665,0.6452337521752675,2.786793217409489,0.3525132275132275
2,fixed250_sequence_ce,11,45,1.024582476842971,0.6426101075464575,2.736519356106603,0.345568783068783
2,fixed250_sequence_ce,11,46,0.9797114094685647,0.6776018873977971,2.749074578747269,0.40545935545935546
2,fixed250_sequence_ce,11,47,0.9344840594896151,0.6818930218507332,2.6875519110250843,0.42073713323713324
2,fixed250_sequence_ce,11,48,0.8822886373217665,0.7054301980899771,2.671200899190681,0.4219997594997595
2,fixed250_sequence_ce,11,49,0.8536192534005114,0.7207957070107739,2.6705616943595945,0.4221260221260221
2,fixed250_sequence_ce,11,50,0.8227172963724935,0.7170318617290715,2.6742459600285966,0.4151815776815777
2,fixed250_sequence_ce,11,51,0.7845538886897082,0.743933622924287,2.687348407368327,0.4371512746512747
2,fixed250_sequence_ce,11,52,0.764141316190729,0.7535640191503082,2.7583429961241492,0.4283128908128908
2,fixed250_sequence_ce,11,53,0.745250018457278,0.7643193178526647,2.833386553581371,0.4088684463684464
2,fixed250_sequence_ce,11,54,0.7049324626014346,0.7759895521345753,2.9026046048763186,0.4158128908128908
2,fixed250_sequence_ce,11,55,0.6834878804061213,0.7811258171669041,2.9244590410890505,0.4261664261664262
2,fixed250_sequence_ce,11,56,0.6634328139239344,0.7851328394257296,2.8850925532422322,0.4323532948532948
2,fixed250_sequence_ce,11,57,0.6404908533362528,0.7922283838724646,2.773708088106887,0.4464045214045214
2,fixed250_sequence_ce,11,58,0.6243698238739239,0.8037620929281798,2.7785805630129436,0.4609247234247234
2,fixed250_sequence_ce,11,59,0.6076412357035137,0.8059597040996357,2.904022122538367,0.4116822991822992
2,fixed250_sequence_ce,11,60,0.5848186732023611,0.8203212572671797,2.6640387838201005,0.4504088504088504
2,fixed250_sequence_ce,11,61,0.5676988526713868,0.824683564817144,2.624059506049452,0.4920755170755171
2,fixed250_sequence_ce,11,62,0.5500099890925026,0.8232584254914787,2.7158930923703104,0.4818843193843194
2,fixed250_sequence_ce,11,63,0.523828524086863,0.8362299995904724,2.8941826747600423,0.48440957190957185
2,fixed250_sequence_ce,11,64,0.5055506394805971,0.8369970345325588,2.8046903872732507,0.4830206830206831
2,fixed250_sequence_ce,11,65,0.4903152859073946,0.8405322608741734,2.7711733176495676,0.49615199615199623
2,fixed250_sequence_ce,11,66,0.47097108154657047,0.8591630969559741,2.829701919657315,0.46215127465127465
2,fixed250_sequence_ce,11,67,0.4733701383539021,0.8570453747563377,2.774898196606673,0.49939874939874945
2,fixed250_sequence_ce,11,68,0.4610145834866416,0.8610307744080011,2.8179234334433727,0.4907227032227033
2,fixed250_sequence_ce,11,69,0.4525601137643573,0.8671330023225723,2.9447898291802224,0.4739297739297739
2,fixed250_sequence_ce,11,70,0.4536104273717783,0.8623889422907683,2.685927386431731,0.4801166426166426
2,fixed250_sequence_ce,11,71,0.4405713518362719,0.8684821587421411,2.699636466050333,0.4963203463203463
2,fixed250_sequence_ce,11,72,0.4201993893813617,0.8720317820098858,2.809662617454233,0.5265812890812891
2,fixed250_sequence_ce,11,73,0.40689018740638333,0.8772904601116857,2.7342174700064255,0.5341570466570467
2,fixed250_sequence_ce,11,74,0.40091178702016184,0.8708204121864372,2.7524775742560394,0.5079304954304954
2,fixed250_sequence_ce,11,75,0.39744196325687353,0.8700009651389963,2.7878089439730314,0.5256974506974508
2,fixed250_sequence_ce,11,76,0.3899922847552057,0.8775164970701786,2.8550426255362904,0.5022126022126022
2,fixed250_sequence_ce,11,77,0.3718663742781077,0.8853063750522493,2.9336779593497284,0.5191738816738817
2,fixed250_sequence_ce,11,78,0.36599160904563316,0.8873388953774527,2.885333891524825,0.49202140452140447
2,fixed250_sequence_ce,11,79,0.37008919925329525,0.8810553255522162,2.9415469947018367,0.5046476671476671
2,fixed250_sequence_ce,11,80,0.3630561449355484,0.884691800953413,3.0106680693552477,0.5074254449254448
2,fixed250_sequence_ce,11,81,0.35175143380470464,0.8927650641614647,2.9315905386163283,0.5187049062049062
2,fixed250_sequence_ce,11,82,0.34228939693941074,0.8911824544402336,2.9890862560087395,0.485455747955748
2,fixed250_sequence_ce,11,83,0.3472891141628397,0.8954861870586552,2.81214125743208,0.5054052429052428
2,fixed250_sequence_ce,11,84,0.3396671950719235,0.9023485881168557,2.8907187437826347,0.48520322270322264
2,fixed250_sequence_ce,11,85,0.3208399196270064,0.9088182851380076,3.176619207674219,0.49341029341029335
2,fixed250_sequence_ce,11,86,0.3251803880450369,0.910807803932114,3.0882399017496627,0.5033008658008657
2,fixed250_sequence_ce,11,87,0.3231610153206855,0.904031795302498,3.0454424222310386,0.50254329004329
2,fixed250_sequence_ce,11,88,0.30878514234949217,0.9155397893188614,3.1084864620090453,0.4926527176527176
2,fixed250_sequence_ce,11,89,0.3068243191257878,0.9174102852134799,3.104322373867035,0.49139009139009143
