profile,is_heterogeneous,tau_profile_ms,group_widths,seed,split,output_whole_count_ba,hidden_whole_count_linear_ba,uend_linear_ba,uend_minus_hidden_count_ba,uend_minus_output_count_ba,state_events_per_neuron_second,output_events_per_neuron_second,state_tail_event_fraction,output_tail_event_fraction,artifact_source
single250,False,250,128,11,test,0.5244110056610056,0.530545843045843,0.5338848651348651,0.0033390220890221,0.0094738594738594,50.93532860115783,245.6073620939908,0.2871169260103408,0.2917262340245181,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,11,train,0.8688657479020935,0.9834645760013406,0.8872622405410048,-0.0962023354603358,0.0183964926389113,52.14912628594036,250.4431401842022,0.2554235310131834,0.2604989137840353,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,11,val,0.6351310726310726,0.5894300144300144,0.5421356421356421,-0.0472943722943722,-0.0929954304954304,43.04477310180664,202.24388122558597,0.2638179659843445,0.2721057832241058,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,23,test,0.4380862193362192,0.5222104284604284,0.5495892995892996,0.0273788711288711,0.1115030802530803,24.808080986754536,120.54950525989273,0.1278638858092974,0.1262663728366159,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,23,train,0.7213056659381382,0.9742806787801224,0.893343434091908,-0.0809372446882145,0.1720377681537698,24.560640427003424,119.78527829404952,0.1282797396029129,0.1266443858150771,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,23,val,0.550607263107263,0.4074555074555073,0.5060666185666185,0.0986111111111111,-0.0445406445406445,21.076683044433597,101.10437774658205,0.1090459376573562,0.1081724017858505,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,37,test,0.4837384837384837,0.4720071595071595,0.5623889998889999,0.0903818403818404,0.0786505161505162,37.4836641076493,165.74009850906998,0.2151546982461459,0.1984909301343029,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,37,train,0.8801612680097608,0.9919848079531765,0.8887559254987099,-0.1032288824544664,0.008594657488949,35.563115394053895,155.4864932403302,0.2177674789847277,0.2002420585967997,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,37,val,0.5118085618085618,0.5082431457431458,0.5366522366522366,0.0284090909090908,0.0248436748436747,29.73369407653809,128.2973175048828,0.1926407217979431,0.1799472123384475,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,53,test,0.4806943056943056,0.4834589022089022,0.5502740315240315,0.0668151293151293,0.0695797258297258,33.832429938120384,171.05504785825127,0.2471766316727416,0.2377923608642735,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,53,train,0.78603113614193,0.9852286185129322,0.8459900020546495,-0.1392386164582827,0.0599588659127194,34.21932244752237,171.17255954446972,0.2258496856166245,0.2186249378113246,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,53,val,0.579479316979317,0.4793710918710918,0.6055435305435305,0.1261724386724386,0.0260642135642135,29.718944549560547,148.4629364013672,0.2244869619607925,0.2174969911575317,experiment_4_4_1_stage2_memory_sweep
single250,False,250,128,71,test,0.5630182317682316,0.502278971028971,0.5263361638361638,0.0240571928071927,-0.0366820679320678,39.53141434551918,199.40491663266533,0.2840666962813025,0.2678296069984566,experiment_4_4_1_stage2_memory_sweep
