effect,profile,baseline,readout,mean,std,count
tau125_250_500_minus_single250,tau125_250_500,single250,hidden_whole_count_linear,0.015192307692307672,0.023243782158901462,5
tau125_250_500_minus_single250,tau125_250_500,single250,output_whole_count,-0.014839466089466046,0.07864380628386752,5
tau125_250_500_minus_single250,tau125_250_500,single250,uend_linear,-0.026771561771561803,0.034282300429504746,5
tau125_250_500_minus_single500,tau125_250_500,single500,hidden_whole_count_linear,0.033392995892995915,0.04414610428432277,5
tau125_250_500_minus_single500,tau125_250_500,single500,output_whole_count,0.01651085026085025,0.03139401410133667,5
tau125_250_500_minus_single500,tau125_250_500,single500,uend_linear,-0.010794483294483282,0.04805432267163002,5
tau250_500_minus_single250,tau250_500,single250,hidden_whole_count_linear,-0.021814296814296797,0.058470502244597114,5
tau250_500_minus_single250,tau250_500,single250,output_whole_count,-0.023245781995781967,0.02621429299540694,5
tau250_500_minus_single250,tau250_500,single250,uend_linear,-0.03590492840492845,0.09837833361005381,5
tau250_500_minus_single500,tau250_500,single500,hidden_whole_count_linear,-0.0036136086136085545,0.076789662362274,5
tau250_500_minus_single500,tau250_500,single500,output_whole_count,0.008104534354534332,0.08051294890355809,5
tau250_500_minus_single500,tau250_500,single500,uend_linear,-0.019927849927849926,0.05244053908916883,5
