profile,is_heterogeneous,tau_profile_ms,group_widths,output_whole_count_ba_mean,output_whole_count_ba_std,output_whole_count_ba_count,hidden_whole_count_linear_ba_mean,hidden_whole_count_linear_ba_std,hidden_whole_count_linear_ba_count,uend_linear_ba_mean,uend_linear_ba_std,uend_linear_ba_count,uend_minus_hidden_count_ba_mean,uend_minus_hidden_count_ba_std,uend_minus_hidden_count_ba_count,uend_minus_output_count_ba_mean,uend_minus_output_count_ba_std,uend_minus_output_count_ba_count,state_events_per_neuron_second_mean,state_events_per_neuron_second_std,state_events_per_neuron_second_count,output_events_per_neuron_second_mean,output_events_per_neuron_second_std,output_events_per_neuron_second_count,state_tail_event_fraction_mean,state_tail_event_fraction_std,state_tail_event_fraction_count,output_tail_event_fraction_mean,output_tail_event_fraction_std,output_tail_event_fraction_count
single250,False,250,128,0.49798964923964917,0.04748012784710363,5,0.5021002608502607,0.024832926355569447,5,0.5444946719946719,0.014334073198434188,5,0.04239441114441112,0.03530654427072916,5,0.04650502275502278,0.05933363560638398,5,37.31818359584024,9.473720996777336,5,180.47138607077403,46.09089934712394,5,0.23227576760396565,0.06539659925116388,5,0.2244211009716334,0.06499960449259697,5
single500,False,500,128,0.4666393328893329,0.0391823316123585,5,0.48389957264957256,0.02444667867214838,5,0.5285175935175934,0.042687927836862774,5,0.04461802086802088,0.054834589397342176,5,0.06187826062826057,0.06923695774886188,5,31.24139298739499,13.11161937476469,5,143.4367169837429,76.65746475546636,5,0.2718816120738852,0.13910191826802668,5,0.23923271070808574,0.13210029162579615,5
tau125_250_500,True,125/250/500,43/43/42,0.4831501831501831,0.0475422758343499,5,0.5172925685425686,0.03842180283691626,5,0.5177231102231101,0.02787155607969001,5,0.0004305416805416962,0.021794023253196165,5,0.03457292707292707,0.06176463293046834,5,35.089938819571714,3.03791666220081,5,177.16496824499677,12.951725917894846,5,0.2826959558137475,0.10609667828851574,5,0.2718182031626571,0.10774047480694572,5
tau250_500,True,250/500,64/64,0.4747438672438672,0.06595343780347367,5,0.4802859640359641,0.05649230593858033,5,0.5085897435897435,0.09076177921524713,5,0.028303779553779516,0.04882128599649744,5,0.033845876345876345,0.03126142745290765,5,32.490677951133414,5.518928611091023,5,148.75089372608758,46.344531890176135,5,0.41950461227599883,0.300786433637339,5,0.40427622595061996,0.30651063069293444,5
