effect,profile,baseline,seed,readout,delta_ba
tau250_500_minus_single250,tau250_500,single250,11,output_whole_count,0.011253330003329953
tau250_500_minus_single250,tau250_500,single250,11,hidden_whole_count_linear,-0.0029401154401154095
tau250_500_minus_single250,tau250_500,single250,11,uend_linear,0.06839410589410588
tau250_500_minus_single250,tau250_500,single250,23,output_whole_count,-0.05970695970695955
tau250_500_minus_single250,tau250_500,single250,23,hidden_whole_count_linear,-0.11744505494505492
tau250_500_minus_single250,tau250_500,single250,23,uend_linear,-0.17420426795426802
tau250_500_minus_single250,tau250_500,single250,37,output_whole_count,-0.010474941724941733
tau250_500_minus_single250,tau250_500,single250,37,hidden_whole_count_linear,-0.01526875901875896
tau250_500_minus_single250,tau250_500,single250,37,uend_linear,-0.024540043290043445
tau250_500_minus_single250,tau250_500,single250,53,output_whole_count,-0.030604811854811842
tau250_500_minus_single250,tau250_500,single250,53,hidden_whole_count_linear,-0.015571234321234362
tau250_500_minus_single250,tau250_500,single250,53,uend_linear,-0.08909632034632042
tau250_500_minus_single250,tau250_500,single250,71,output_whole_count,-0.02669552669552666
tau250_500_minus_single250,tau250_500,single250,71,hidden_whole_count_linear,0.042153679653679665
tau250_500_minus_single250,tau250_500,single250,71,uend_linear,0.03992188367188376
tau250_500_minus_single500,tau250_500,single500,11,output_whole_count,0.043915112665112555
tau250_500_minus_single500,tau250_500,single500,11,hidden_whole_count_linear,0.07049686424686424
tau250_500_minus_single500,tau250_500,single500,11,uend_linear,0.04733946608946615
tau250_500_minus_single500,tau250_500,single500,23,output_whole_count,-0.07913059163059155
tau250_500_minus_single500,tau250_500,single500,23,hidden_whole_count_linear,-0.10558053058053057
tau250_500_minus_single500,tau250_500,single500,23,uend_linear,-0.09482739482739494
tau250_500_minus_single500,tau250_500,single500,37,output_whole_count,0.03931068931068926
tau250_500_minus_single500,tau250_500,single500,37,hidden_whole_count_linear,-0.05237887112887096
tau250_500_minus_single500,tau250_500,single500,37,uend_linear,-0.023275335775335915
tau250_500_minus_single500,tau250_500,single500,53,output_whole_count,-0.07083333333333336
tau250_500_minus_single500,tau250_500,single500,53,hidden_whole_count_linear,0.0001755189255189249
tau250_500_minus_single500,tau250_500,single500,53,uend_linear,-0.03435939060939058
tau250_500_minus_single500,tau250_500,single500,71,output_whole_count,0.10726079476079475
tau250_500_minus_single500,tau250_500,single500,71,hidden_whole_count_linear,0.0692189754689756
tau250_500_minus_single500,tau250_500,single500,71,uend_linear,0.005483405483405646
tau125_250_500_minus_single250,tau125_250_500,single250,11,output_whole_count,0.001600482850482865
tau125_250_500_minus_single250,tau125_250_500,single250,11,hidden_whole_count_linear,0.009760378510378476
tau125_250_500_minus_single250,tau125_250_500,single250,11,uend_linear,-0.022745310245310235
tau125_250_500_minus_single250,tau125_250_500,single250,23,output_whole_count,0.08037240537240548
tau125_250_500_minus_single250,tau125_250_500,single250,23,hidden_whole_count_linear,0.02718462093462093
tau125_250_500_minus_single250,tau125_250_500,single250,23,uend_linear,-0.006189643689643809
tau125_250_500_minus_single250,tau125_250_500,single250,37,output_whole_count,-0.06005452880452883
tau125_250_500_minus_single250,tau125_250_500,single250,37,hidden_whole_count_linear,0.019516594516594543
tau125_250_500_minus_single250,tau125_250_500,single250,37,uend_linear,-0.041389860139860235
tau125_250_500_minus_single250,tau125_250_500,single250,53,output_whole_count,0.026616439116439183
tau125_250_500_minus_single250,tau125_250_500,single250,53,hidden_whole_count_linear,-0.021151764901764958
tau125_250_500_minus_single250,tau125_250_500,single250,53,uend_linear,-0.07647491397491407
tau125_250_500_minus_single250,tau125_250_500,single250,71,output_whole_count,-0.12273212898212893
tau125_250_500_minus_single250,tau125_250_500,single250,71,hidden_whole_count_linear,0.04065170940170937
tau125_250_500_minus_single250,tau125_250_500,single250,71,uend_linear,0.012941919191919338
tau125_250_500_minus_single500,tau125_250_500,single500,11,output_whole_count,0.034262265512265466
tau125_250_500_minus_single500,tau125_250_500,single500,11,hidden_whole_count_linear,0.08319735819735813
tau125_250_500_minus_single500,tau125_250_500,single500,11,uend_linear,-0.043799950049949965
tau125_250_500_minus_single500,tau125_250_500,single500,23,output_whole_count,0.060948773448773474
tau125_250_500_minus_single500,tau125_250_500,single500,23,hidden_whole_count_linear,0.03904914529914527
tau125_250_500_minus_single500,tau125_250_500,single500,23,uend_linear,0.07318722943722927
tau125_250_500_minus_single500,tau125_250_500,single500,37,output_whole_count,-0.010268897768897833
tau125_250_500_minus_single500,tau125_250_500,single500,37,hidden_whole_count_linear,-0.01759351759351746
tau125_250_500_minus_single500,tau125_250_500,single500,37,uend_linear,-0.040125152625152705
tau125_250_500_minus_single500,tau125_250_500,single500,53,output_whole_count,-0.013612082362082334
tau125_250_500_minus_single500,tau125_250_500,single500,53,hidden_whole_count_linear,-0.005405011655011671
tau125_250_500_minus_single500,tau125_250_500,single500,53,uend_linear,-0.02173798423798423
tau125_250_500_minus_single500,tau125_250_500,single500,71,output_whole_count,0.011224192474192485
tau125_250_500_minus_single500,tau125_250_500,single500,71,hidden_whole_count_linear,0.0677170052170053
tau125_250_500_minus_single500,tau125_250_500,single500,71,uend_linear,-0.02149655899655878
