epoch,warmup_scale,lambda_rate,lambda_persist,train_task_loss,train_rate_loss,train_p32_loss,train_p84_loss,train_persist_loss,train_weighted_rate_loss,train_weighted_persist_loss,train_total_loss,train_accuracy,val_accuracy,train_ba,val_ba,val_task_loss,best_so_far,patience_counter,long_weight_fro,long_weight_mean_abs,long_weight_positive_mean,long_weight_negative_abs_mean
1,0.1,0.03967963951907926,0.009075798625370647,2.738711156040789,0.2854930998023324,0.2712111811629671,4.333448822855334,2.4379355509391956,0.0011328263687155821,0.002212621190259794,2.7420566324112543,0.12220309810671257,0.0873015873015873,0.11991339030319016,0.09775132275132276,2.493527412414551,True,0,6.515267848968506,0.04391011223196983,0.04402005672454834,0.04380328953266144
2,0.2,0.03967963951907926,0.009075798625370647,2.4497437809502607,0.2799370625343257,0.2672532637845629,4.271986042160585,2.4032463116407805,0.0022215604066380687,0.0043622758864663965,2.456327641482197,0.1549053356282272,0.16666666666666666,0.1491888122254397,0.16488095238095238,2.4296696186065674,True,0,6.5300374031066895,0.04397950693964958,0.04393767565488815,0.04402005299925804
3,0.3,0.03967963951907926,0.009075798625370647,2.395662316356797,0.2725831144545452,0.26075826680188335,4.168454452554043,2.3449855105191624,0.003244800052305815,0.006384784641087363,2.40529182486608,0.17555938037865748,0.15079365079365079,0.16895436509393671,0.14742063492063492,2.4078099727630615,False,0,6.543088912963867,0.04403591901063919,0.04386341571807861,0.04420289769768715
4,0.4,0.03967963951907926,0.009075798625370647,2.363855780915016,0.2686738165130714,0.25712857409516626,4.110396017511207,2.3123265732586282,0.0042643521979720475,0.008394483988222998,2.3765145767986673,0.20137693631669534,0.14285714285714285,0.19046865863962759,0.13412698412698412,2.378282308578491,False,0,6.554365158081055,0.04408380389213562,0.04385785385966301,0.044301941990852356
5,0.5,0.03967963951907926,0.009075798625370647,2.310640655983746,0.26554101218249837,0.2542811158191727,4.064887353762497,2.2867248091147814,0.005268285853272102,0.01037692731621446,2.3262858948896348,0.23924268502581755,0.15873015873015872,0.22733784051870734,0.15079365079365079,2.34270977973938,False,0,6.564576148986816,0.04412546381354332,0.043751318007707596,0.04448739439249039
6,0.6,0.03967963951907926,0.009075798625370647,2.247240047651806,0.2606288368289524,0.24953031898981118,3.9879089649285793,2.2434847789869456,0.006204995158386518,0.012216849039387271,2.2656619035848857,0.24096385542168675,0.16666666666666666,0.2315016066675364,0.15773809523809526,2.311516284942627,False,0,6.574228763580322,0.04416140913963318,0.04379642754793167,0.04451301321387291
7,0.7,0.03967963951907926,0.009075798625370647,2.1959757792559835,0.2575701973216669,0.2465373302542199,3.9392434450927576,2.2161590482610025,0.00715420477688569,0.014079388941152474,2.2172093727912836,0.27538726333907054,0.16666666666666666,0.26447131932227647,0.16130952380952382,2.3602025508880615,False,0,6.583707809448242,0.04420245811343193,0.04387582466006279,0.044515885412693024
8,0.8,0.03967963951907926,0.009075798625370647,2.1301326805055654,0.25310302319296873,0.24202576700258174,3.8666703385042855,2.175360943076943,0.008034429679626339,0.01579450992562787,2.153961629342294,0.29259896729776247,0.15079365079365079,0.28318203029270034,0.14742063492063492,2.3374853134155273,False,0,6.593247413635254,0.04424403980374336,0.04387201741337776,0.04460041597485542
9,0.9,0.03967963951907926,0.009075798625370647,2.090043500860874,0.25019313707922086,0.23900122948234545,3.818541750850448,2.1482721076774927,0.008934816303895386,0.01754755650850561,2.1165258656680686,0.3253012048192771,0.16666666666666666,0.3151695115767069,0.1626984126984127,2.3359858989715576,False,0,6.6035566329956055,0.04429410770535469,0.04391820728778839,0.044653575867414474
10,1.0,0.03967963951907926,0.009075798625370647,2.0397051899035086,0.24757750329790756,0.23641735492290195,3.7771996413573956,2.1250172104564675,0.009823785955326795,0.019286229219063217,2.068815177976572,0.3528399311531842,0.16666666666666666,0.34052578445244747,0.1626984126984127,2.295607089996338,False,0,6.614060878753662,0.04434535279870033,0.04406558722257614,0.04461120069026947
11,1.0,0.03967963951907926,0.009075798625370647,2.0067069665905533,0.2432898093726672,0.23191479004906707,3.704397019749049,2.084113314311804,0.009653651886483375,0.018914993275309593,2.035275606608432,0.3614457831325301,0.20634920634920634,0.3486239228348056,0.20158730158730157,2.2745373249053955,True,0,6.6232991218566895,0.04438808560371399,0.04399619251489639,0.044761478900909424
12,1.0,0.03967963951907926,0.009075798625370647,1.964266308408596,0.23782737399235035,0.22633120743317367,3.614128357777292,2.0333953812692744,0.009436904270003155,0.01845468733004469,1.9921579266579343,0.39070567986230637,0.19047619047619047,0.3773260330419117,0.18492063492063493,2.278904676437378,False,0,6.631567001342773,0.04442118853330612,0.04398864135146141,0.044833630323410034
13,1.0,0.03967963951907926,0.009075798625370647,1.9255946560693895,0.2398139036768685,0.2282125762376851,3.643794101610036,2.050109651536006,0.009515729283981294,0.018606383481708944,1.9537167770727162,0.3993115318416523,0.16666666666666666,0.38664685271257415,0.1626984126984127,2.2639896869659424,False,0,6.6403608322143555,0.044460102915763855,0.0439411997795105,0.04495669901371002
14,1.0,0.03967963951907926,0.009075798625370647,1.8815431371202977,0.2416773149663528,0.22995603230754602,3.671839919640152,2.065875950450536,0.009589668600571545,0.018749474991824663,1.9098822643752762,0.4268502581755594,0.1349206349206349,0.41453139765242947,0.1349206349206349,2.3372952938079834,False,0,6.648929119110107,0.044501833617687225,0.04391423240303993,0.045065686106681824
15,1.0,0.03967963951907926,0.009075798625370647,1.842014125415257,0.2396747125713427,0.22782230177147253,3.637655382927847,2.046650003853435,0.009510206138769649,0.018574984404362622,1.870099327240056,0.45438898450946646,0.15873015873015872,0.44187712809051255,0.15436507936507934,2.309802770614624,False,0,6.658618927001953,0.044548921287059784,0.043870728462934494,0.0452001690864563
16,1.0,0.03967963951907926,0.009075798625370647,1.8157982610794434,0.23747691994279674,0.22566967363919735,3.6025795998138324,2.0269594422305923,0.009422998485859105,0.01839627692934363,1.8436175556067962,0.46987951807228917,0.23015873015873015,0.45502171498509947,0.21964285714285714,2.294604778289795,True,0,6.6691999435424805,0.04460062086582184,0.04391515254974365,0.04525645822286606
17,1.0,0.03967963951907926,0.009075798625370647,1.7649552430220192,0.23395557973450515,0.22244068223617575,3.549990156226232,1.997435791151864,0.00928327288292669,0.018128326015223118,1.7923668506018267,0.47676419965576594,0.15873015873015872,0.46143685280284547,0.15575396825396826,2.307645797729492,False,0,6.679222106933594,0.04464992508292198,0.04384826496243477,0.045417290180921555
18,1.0,0.03967963951907926,0.009075798625370647,1.7292638729853802,0.22820519703390676,0.2166729158819645,3.457536664558975,1.9454412587538439,0.009055099668055004,0.017656434061271802,1.7559754212423775,0.4991394148020654,0.16666666666666666,0.4847327785235785,0.16269841269841268,2.2780697345733643,False,0,6.689629554748535,0.04469728097319603,0.043884970247745514,0.045471809804439545
19,1.0,0.03967963951907926,0.009075798625370647,1.6819485674216292,0.22271654976727426,0.21118726936552076,3.3689852749829448,1.895679945994983,0.008837312158588288,0.017204810232052295,1.7079906832946148,0.5197934595524957,0.21428571428571427,0.5072969482811444,0.20575396825396827,2.2408287525177,False,0,6.699624538421631,0.04474153369665146,0.04381778836250305,0.04562577232718468
20,1.0,0.03967963951907926,0.009075798625370647,1.6515458731971386,0.22163556505911527,0.21020275123558438,3.3529818082635456,1.8866936682423707,0.008794419045869434,0.017123253099145863,1.6774635438049106,0.5232358003442341,0.2222222222222222,0.5120577698968047,0.2140873015873016,2.2415411472320557,False,0,6.70875883102417,0.044791530817747116,0.043856024742126465,0.04568680375814438
21,1.0,0.03967963951907926,0.009075798625370647,1.6212523837097745,0.22273845319185734,0.21134915714522443,3.3712681940213334,1.8969832586954876,0.008838181061711862,0.017216638814202684,1.647307174136019,0.5232358003442341,0.18253968253968253,0.5102419356751237,0.1765873015873016,2.2532691955566406,False,1,6.718944549560547,0.044849395751953125,0.04391101002693176,0.04574458673596382
