source,variant,seed,native_or_output_ba,full_count_ba,fixed250_ordered_ba,relative10_ordered_ba
exp5_0_1_control,exp3_exact_analog,11,0.47474123099123094,0.5139554889554888,0.642110667110667,0.7153339715839716
exp5_0_1_control,exp3_exact_analog,23,0.487338356088356,0.5378399378399378,0.5990842490842491,0.6447621822621822
exp5_0_1_control,exp3_exact_analog,101,0.515783522033522,0.6259150571650571,0.6366404428904429,0.6859036796536796
exp5_0_1_control,exp3_synaptic_exp5stream_analog,11,0.5055271117771117,0.5800858863358863,0.5966040903540903,0.6888437950937951
exp5_0_1_control,exp3_synaptic_exp5stream_analog,23,0.4254127816627817,0.5215770340770339,0.5996253746253747,0.6386516261516261
exp5_0_1_control,exp3_synaptic_exp5stream_analog,101,0.5024156399156399,0.5988296425796426,0.6127455877455877,0.6879530192030191
exp5_0_1_control,exp5_macro_exp5stream_analog,11,0.5042644855144854,0.5502497502497502,0.6210810023310023,0.6873466810966811
exp5_0_1_control,exp5_macro_exp5stream_analog,23,0.4925081862581862,0.5322170884670884,0.5977675102675102,0.629610667110667
exp5_0_1_control,exp5_macro_exp5stream_analog,101,0.4898032523032523,0.5041187978687978,0.6099587912087913,0.6590499777999779
exp3_0_5_reference,historical_exp3_analog,11,0.4747412309912309,0.5139554889554888,0.642110667110667,0.7153339715839716
exp3_0_5_reference,historical_exp3_analog,23,0.487338356088356,0.5378399378399378,0.5990842490842491,0.6447621822621822
exp3_0_5_reference,historical_exp3_analog,101,0.515783522033522,0.6259150571650571,0.6366404428904429,0.6859036796536796
exp5_0_spiking_output_reference,binary,11,0.3142024642024641,0.4381368631368631,0.434811716061716,0.5344329281829281
exp5_0_spiking_output_reference,binary,23,0.3825917138417138,0.4084269896769896,0.3704267954267954,0.4891719391719391
exp5_0_spiking_output_reference,binary,37,0.2807359307359308,0.3430382117882117,0.3562597125097125,0.4395958208458208
exp5_0_spiking_output_reference,binary,53,0.3264679764679765,0.4248772061272061,0.3800782550782551,0.4097659285159285
exp5_0_spiking_output_reference,binary,71,0.3393398268398268,0.4152132589632589,0.4259976134976135,0.5148233710733711
exp5_0_spiking_output_reference,multi_ho,11,0.4870997058497058,0.5509573759573759,0.5392288267288267,0.6700979575979575
exp5_0_spiking_output_reference,multi_ho,23,0.5007312132312131,0.5406877844377843,0.5436278998778998,0.6527368464868465
exp5_0_spiking_output_reference,multi_ho,37,0.4629925629925629,0.56746447996448,0.6085088522588522,0.6592615717615717
exp5_0_spiking_output_reference,multi_ho,53,0.4878343878343877,0.6128961316461317,0.5618208180708181,0.6763451825951826
exp5_0_spiking_output_reference,multi_ho,71,0.4720203407703407,0.6171106671106671,0.5558323620823621,0.6899732212232212
