representation,supervision,causal,n_splits,mean_test_ba,sd_test_ba,mean_val_ba,mean_test_accuracy,mean_test_macro_f1
relative10,whole,No,5,0.7147395700704524,0.07789580661279387,0.716128700018019,0.7213515613805251,0.7163938833556769
fixed250,whole,final-only,5,0.5848818284112401,0.08417764483369686,0.5955594822274388,0.5908685802147506,0.5838919070044285
fixed500,whole,final-only,5,0.6037656638024285,0.03439088566357605,0.5771830775720095,0.603931103938613,0.5968833762023593
fixed250,prefix,Yes,5,0.5138309348603467,0.03418192113370047,0.5481406515597691,0.5186908036419944,0.5148826801269716
fixed500,prefix,Yes,5,0.5319820783791372,0.05075797888305305,0.53884204367757,0.5383027539458562,0.5304582336950867
