representation,supervision,split_seed,train_balanced_accuracy,train_accuracy,train_macro_f1,val_balanced_accuracy,val_accuracy,val_macro_f1,test_balanced_accuracy,test_accuracy,test_macro_f1
relative10,whole,11,1.0,1.0,1.0,0.5299068986568987,0.5476190476190477,0.5265747592191816,0.817824074074074,0.8173076923076923,0.8150728645096385
relative10,whole,23,1.0,1.0,1.0,0.6866159711747947,0.6906077348066298,0.6921542253939362,0.6836465141612201,0.6949152542372882,0.7002844000714182
relative10,whole,37,1.0,1.0,1.0,0.74994650638033,0.7556818181818182,0.7494463765825327,0.7286220723720724,0.7215189873417721,0.7223291532756203
relative10,whole,53,1.0,1.0,1.0,0.7747739407278881,0.7839195979899497,0.7850147052768022,0.6054778554778554,0.6285714285714286,0.6066854021570045
relative10,whole,71,1.0,1.0,1.0,0.8394001831501833,0.8470588235294118,0.8424612621620735,0.7381273342670401,0.7444444444444445,0.7375975967647025
fixed250,whole,11,1.0,1.0,1.0,0.4517094017094017,0.4583333333333333,0.4464819530286534,0.683183551198257,0.6875,0.6820908007191738
fixed250,whole,23,1.0,1.0,1.0,0.6189380132394838,0.6187845303867403,0.6023056318028314,0.5375632197323373,0.5536723163841808,0.5468109051442385
fixed250,whole,37,1.0,1.0,1.0,0.646466503267974,0.6477272727272727,0.646671855108262,0.6102904040404041,0.6012658227848101,0.5961742004929611
fixed250,whole,53,1.0,1.0,1.0,0.6466038225906646,0.6532663316582915,0.6458885029735976,0.4664432789432789,0.4785714285714286,0.461972573070774
fixed250,whole,71,1.0,1.0,1.0,0.6140796703296704,0.611764705882353,0.6067103510581772,0.6269286881419234,0.6333333333333333,0.6324110555949952
fixed500,whole,11,1.0,1.0,1.0,0.45666971916971916,0.4583333333333333,0.43645126627702674,0.6476988017429194,0.6442307692307693,0.6442168933181406
fixed500,whole,23,1.0,1.0,1.0,0.5408638134741076,0.5414364640883977,0.5230582768736273,0.5711260893246187,0.5875706214689266,0.5771919773779232
fixed500,whole,37,1.0,1.0,1.0,0.6121576408341115,0.6193181818181818,0.6190034204985903,0.5881042568542568,0.5759493670886076,0.5677769843530153
fixed500,whole,53,1.0,1.0,1.0,0.6480343486922434,0.6532663316582915,0.6484281963093633,0.6331585081585082,0.6285714285714286,0.6149478155943673
fixed500,whole,71,1.0,1.0,1.0,0.6281898656898656,0.6235294117647059,0.6176311926525054,0.5787406629318393,0.5833333333333334,0.5802832103683497
fixed250,prefix,11,0.998062015503876,0.9979035639412998,0.998061753437007,0.4756524725274725,0.47619047619047616,0.46945853486617733,0.5729915577342047,0.5817307692307693,0.5678408249402164
fixed250,prefix,23,1.0,1.0,1.0,0.5921610524551701,0.6022099447513812,0.587889645642043,0.5008072673513849,0.5141242937853108,0.5003964323792885
fixed250,prefix,37,0.9981481481481481,0.9980732177263969,0.9981864774295289,0.5418203392468097,0.5454545454545454,0.5472330278194616,0.508008658008658,0.5063291139240507,0.5175710214789756
fixed250,prefix,53,1.0,1.0,1.0,0.5818325193325192,0.5829145728643216,0.5838448855527459,0.48479992229992236,0.4857142857142857,0.48443244360910526
fixed250,prefix,71,1.0,1.0,1.0,0.5492368742368742,0.5529411764705883,0.5438769848269143,0.5025472689075631,0.5055555555555555,0.5041726782272721
fixed500,prefix,11,0.9883767516398331,0.989517819706499,0.9884755795606676,0.5022283272283272,0.5059523809523809,0.49455192819163396,0.5720383986928105,0.5721153846153846,0.5654684095860566
fixed500,prefix,23,0.9873603944299144,0.9878787878787879,0.9878459471754292,0.5530914823194235,0.5580110497237569,0.5464104346328288,0.542953431372549,0.559322033898305,0.5538667875000435
fixed500,prefix,37,0.9757755746004136,0.976878612716763,0.9759940341892325,0.509084189231248,0.5227272727272727,0.5010473139303784,0.5837010212010213,0.5759493670886076,0.5789623691156797
fixed500,prefix,53,0.9862249005882546,0.9863813229571985,0.9859479238216814,0.5607204442730759,0.5678391959798995,0.5589056983365926,0.4628982128982129,0.4785714285714286,0.45917387363039536
fixed500,prefix,71,0.9944388270980787,0.9940357852882704,0.9938238783327925,0.5690857753357753,0.5705882352941176,0.5663602553372934,0.49831932773109244,0.5055555555555555,0.4948197286432581
