split_seed,representation,training_mode,accuracy,balanced_accuracy,cohort,coverage,curve_type,macro_f1,n_samples,prefix_index,time_ms
11,fixed250,whole,0.09014675052410902,0.08333333333333333,train,1.0,active,0.013862024500322373,477,1,250.0
11,fixed250,whole,0.09014675052410902,0.08333333333333333,train,1.0,endpoint_aware,0.013862024500322373,477,1,250.0
11,fixed250,whole,0.1320754716981132,0.12298493657505287,train,1.0,active,0.07261983105899512,477,2,500.0
11,fixed250,whole,0.1320754716981132,0.12298493657505287,train,1.0,endpoint_aware,0.07261983105899512,477,2,500.0
11,fixed250,whole,0.3249475890985325,0.3199036295693272,train,1.0,active,0.2851470536052161,477,3,750.0
11,fixed250,whole,0.3249475890985325,0.3199036295693272,train,1.0,endpoint_aware,0.2851470536052161,477,3,750.0
11,fixed250,whole,0.5191489361702127,0.5351453244174048,train,0.9853249475890985,active,0.47641982160833213,470,4,1000.0
11,fixed250,whole,0.5262054507337526,0.536629288155451,train,1.0,endpoint_aware,0.48035630884146885,477,4,1000.0
11,fixed250,whole,0.6564705882352941,0.6922222856565279,train,0.8909853249475891,active,0.6493969628767151,425,5,1250.0
11,fixed250,whole,0.6939203354297694,0.7001496815086932,train,1.0,endpoint_aware,0.6768775485467357,477,5,1250.0
11,fixed250,whole,0.749271137026239,0.8069022161929736,train,0.7190775681341719,active,0.7414432346558081,343,6,1500.0
11,fixed250,whole,0.8197064989517819,0.823862159690648,train,1.0,endpoint_aware,0.8155558633064405,477,6,1500.0
11,fixed250,whole,0.7894736842105263,0.8458260456138214,train,0.4779874213836478,active,0.688590523982707,228,7,1750.0
11,fixed250,whole,0.89937106918239,0.9023769106617944,train,1.0,endpoint_aware,0.8979794992185285,477,7,1750.0
11,fixed250,whole,0.8571428571428571,0.889891756244832,train,0.29350104821802936,active,0.7026544053617374,140,8,2000.0
11,fixed250,whole,0.9580712788259959,0.9597617834536439,train,1.0,endpoint_aware,0.9582067634106081,477,8,2000.0
