system,family,architecture,objective,variant,regularization,mean_test_ba,sd_test_ba,n
direct_snn:mid_long:timestep_ce:binary:reg=doc_sae_dense_on,direct_snn,mid_long,timestep_ce,binary,doc_sae_dense_on,0.06754148629148629,0.015364032389376971,5
direct_snn:mid_long:timestep_ce:binary:reg=off,direct_snn,mid_long,timestep_ce,binary,off,0.304034299034299,0.044997094508910235,5
direct_snn:mid_long:whole_count_ce:binary:reg=doc_sae_dense_on,direct_snn,mid_long,whole_count_ce,binary,doc_sae_dense_on,0.06754148629148629,0.015364032389376971,5
direct_snn:mid_long:whole_count_ce:binary:reg=off,direct_snn,mid_long,whole_count_ce,binary,off,0.4007899045399045,0.0306368736022209,5
direct_snn:short_mid:timestep_ce:binary:reg=doc_sae_dense_on,direct_snn,short_mid,timestep_ce,binary,doc_sae_dense_on,0.08333333333333333,0.0,5
direct_snn:short_mid:timestep_ce:binary:reg=off,direct_snn,short_mid,timestep_ce,binary,off,0.28146353646353645,0.0251649721244545,5
direct_snn:short_mid:whole_count_ce:binary:reg=doc_sae_dense_on,direct_snn,short_mid,whole_count_ce,binary,doc_sae_dense_on,0.08333333333333333,0.0,5
direct_snn:short_mid:whole_count_ce:binary:reg=off,direct_snn,short_mid,whole_count_ce,binary,off,0.4572102897102896,0.02698467670942381,5
direct_snn:short_mid_long:timestep_ce:binary:reg=doc_sae_dense_on,direct_snn,short_mid_long,timestep_ce,binary,doc_sae_dense_on,0.08538961038961038,0.007713649212643055,5
direct_snn:short_mid_long:timestep_ce:binary:reg=off,direct_snn,short_mid_long,timestep_ce,binary,off,0.13210456210456206,0.015681832788252182,5
direct_snn:short_mid_long:whole_count_ce:binary:reg=doc_sae_dense_on,direct_snn,short_mid_long,whole_count_ce,binary,doc_sae_dense_on,0.08538961038961038,0.007713649212643055,5
direct_snn:short_mid_long:whole_count_ce:binary:reg=off,direct_snn,short_mid_long,whole_count_ce,binary,off,0.21872308247308245,0.01572004141028019,5
snn_fixed250_linear:local_234x2:timestep_ce:binary:frozen_context,snn_fixed250_linear,local_234x2,timestep_ce,binary,not_applicable,0.5954369241869242,0.03205844044596807,5
Raw Fixed250 + Linear,raw_linear_baseline,fixed250,posthoc_linear,deterministic,not_applicable,0.548475135975136,,1
Raw Relative10 + Linear,raw_linear_baseline,relative10,posthoc_linear,deterministic,not_applicable,0.739481351981352,,1
