family,architecture,objective,variant,regularization,primary_readout,test_ba_mean,test_ba_std,test_ba_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,native_test_ba_mean,native_test_ba_std,native_test_ba_count,test_last_hidden_events_per_neuron_second_mean,test_last_hidden_events_per_neuron_second_std,test_last_hidden_events_per_neuron_second_count
direct_snn,mid_long,timestep_ce,binary,doc_sae_dense_on,output_whole_count,0.06754148629148629,0.015364032389376971,5,0.06301369863013698,0.014848961225122463,5,0.027964083046105436,0.020616891118168935,5,0.06754148629148629,0.015364032389376971,5,1.75938535453943,1.203635827242063,5
direct_snn,mid_long,timestep_ce,binary,off,output_whole_count,0.304034299034299,0.044997094508910235,5,0.3191780821917808,0.04809175255216975,5,0.24047667463581818,0.04524224384826945,5,0.304034299034299,0.044997094508910235,5,8.332745195493704,1.777455889101763,5
direct_snn,mid_long,whole_count_ce,binary,doc_sae_dense_on,output_whole_count,0.06754148629148629,0.015364032389376971,5,0.06301369863013698,0.014848961225122463,5,0.027979644826373096,0.020601762816718747,5,0.06754148629148629,0.015364032389376971,5,1.7594516235917825,1.2035275974489508,5
direct_snn,mid_long,whole_count_ce,binary,off,output_whole_count,0.4007899045399045,0.0306368736022209,5,0.41369863013698627,0.03445144202728572,5,0.38111260300777505,0.03067497778057107,5,0.4007899045399045,0.0306368736022209,5,11.645352882703778,0.866013032118293,5
direct_snn,short_mid,timestep_ce,binary,doc_sae_dense_on,output_whole_count,0.08333333333333333,0.0,5,0.07534246575342465,0.0,5,0.011784241526355441,0.00016811497888010325,5,0.08333333333333333,0.0,5,0.042586149768058315,0.01858675073180165,5
direct_snn,short_mid,timestep_ce,binary,off,output_whole_count,0.28146353646353645,0.0251649721244545,5,0.3,0.025351719894961284,5,0.22171685672284674,0.031169667317996193,5,0.28146353646353645,0.0251649721244545,5,3.6394797879390324,0.9188306844144388,5
direct_snn,short_mid,whole_count_ce,binary,doc_sae_dense_on,output_whole_count,0.08333333333333333,0.0,5,0.07534246575342465,0.0,5,0.011784241526355441,0.00016811497888010325,5,0.08333333333333333,0.0,5,0.042586149768058315,0.01858675073180165,5
direct_snn,short_mid,whole_count_ce,binary,off,output_whole_count,0.4572102897102896,0.02698467670942381,5,0.4726027397260274,0.03175896745032776,5,0.4358815874975087,0.040385863215967883,5,0.4572102897102896,0.02698467670942381,5,9.917577866136515,0.8742927475240453,5
direct_snn,short_mid_long,timestep_ce,binary,doc_sae_dense_on,output_whole_count,0.08538961038961038,0.007713649212643055,5,0.07808219178082192,0.007809420719857106,5,0.021313945964952678,0.009752734847957101,5,0.08538961038961038,0.007713649212643055,5,0.32958913187541417,0.30924124142228804,5
direct_snn,short_mid_long,timestep_ce,binary,off,output_whole_count,0.13210456210456206,0.015681832788252182,5,0.13698630136986298,0.0199690133385113,5,0.0929414637912318,0.016806935103807662,5,0.13210456210456206,0.015681832788252182,5,2.007074221338635,0.48007749933679783,5
direct_snn,short_mid_long,whole_count_ce,binary,doc_sae_dense_on,output_whole_count,0.08538961038961038,0.007713649212643055,5,0.07808219178082192,0.007809420719857106,5,0.021313945964952678,0.009752734847957101,5,0.08538961038961038,0.007713649212643055,5,0.32958913187541417,0.30924124142228804,5
direct_snn,short_mid_long,whole_count_ce,binary,off,output_whole_count,0.21872308247308245,0.01572004141028019,5,0.22602739726027393,0.01606306767062818,5,0.19370239965894953,0.03363374125849328,5,0.21872308247308245,0.01572004141028019,5,4.768928098078197,0.735349063816526,5
