comparison,candidate,baseline,objective,seed,interaction_doc_reg_delta_candidate_minus_baseline
add_long_layer,short_mid_long,short_mid,whole_count_ce,11,0.2199661449661448
add_long_layer,short_mid_long,short_mid,whole_count_ce,23,0.25382950382950376
add_long_layer,short_mid_long,short_mid,whole_count_ce,37,0.24493492618492624
add_long_layer,short_mid_long,short_mid,whole_count_ce,53,0.2283355533355534
add_long_layer,short_mid_long,short_mid,whole_count_ce,71,0.2556512931512932
add_long_layer,short_mid_long,short_mid,timestep_ce,11,0.15914085914085924
add_long_layer,short_mid_long,short_mid,timestep_ce,23,0.1787296037296037
add_long_layer,short_mid_long,short_mid,timestep_ce,37,0.10175657675657672
add_long_layer,short_mid_long,short_mid,timestep_ce,53,0.15909090909090917
add_long_layer,short_mid_long,short_mid,timestep_ce,71,0.15835830835830833
shift_coverage_longer,mid_long,short_mid,whole_count_ce,11,0.0027257464757463046
shift_coverage_longer,mid_long,short_mid,whole_count_ce,23,0.06979409479409487
shift_coverage_longer,mid_long,short_mid,whole_count_ce,37,0.042703823953824105
shift_coverage_longer,mid_long,short_mid,whole_count_ce,53,0.03005466755466757
shift_coverage_longer,mid_long,short_mid,whole_count_ce,71,0.05786435786435795
shift_coverage_longer,mid_long,short_mid,timestep_ce,11,-0.09599775224775214
shift_coverage_longer,mid_long,short_mid,timestep_ce,23,-0.015032190032190085
shift_coverage_longer,mid_long,short_mid,timestep_ce,37,-0.02054473304473306
shift_coverage_longer,mid_long,short_mid,timestep_ce,53,-0.008874458874458785
shift_coverage_longer,mid_long,short_mid,timestep_ce,71,-0.051363913863913924
