architecture,seed,interaction_doc_reg_delta_timestep_minus_whole_count
short_mid_long,11,0.12371933621933628
short_mid_long,23,0.09867909867909871
short_mid_long,37,0.0713633588633588
short_mid_long,53,0.059433621933621894
short_mid_long,71,0.07989718614718612
short_mid,11,0.18454462204462185
short_mid,23,0.17377899877899877
short_mid,37,0.21454170829170832
short_mid,53,0.1286782661782661
short_mid,71,0.17719017094017098
mid_long,11,0.0858211233211234
mid_long,23,0.08895271395271381
mid_long,37,0.15129315129315116
mid_long,53,0.08974913974913976
mid_long,71,0.0679618992118991
