family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,11,l2_fixed250_ordered_linear,100,0.9649021010150745,0.553409090909091,0.6292069042069043,0.6506849315068494,0.6346539856090774,0.4791784604284604,18.159294234592444
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,23,l2_fixed250_ordered_linear,73,0.9514268788023382,0.546007696007696,0.6027368464868464,0.6164383561643836,0.6000562040224174,0.5060973748473748,15.83395460569914
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,37,l2_fixed250_ordered_linear,93,0.9810297793099756,0.5053030303030303,0.6051198801198802,0.6164383561643836,0.6024789301486768,0.5446005383505383,15.924908880053016
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,53,l2_fixed250_ordered_linear,88,0.9841755532890832,0.52252886002886,0.5977695915195914,0.6164383561643836,0.5909458012790509,0.4993783993783993,16.29916335321405
snn_fixed250_linear,local_234x2,timestep_ce,binary,1,,71,l2_fixed250_ordered_linear,59,0.9900083794201442,0.5608585858585858,0.5423513986013985,0.5547945205479452,0.5269805536795948,0.4616078366078366,15.527708747514913
