epoch,train_ba,val_ba,train_loss,val_loss
1.0,0.08427515907723086,0.06527777777777778,2.483886401952852,2.4782257080078125
2.0,0.11740763994949159,0.10714285714285714,2.474548533943557,2.4721412658691406
3.0,0.13272716990091205,0.157473544973545,2.4639178233384675,2.4620940685272217
4.0,0.13764931507462952,0.13465608465608464,2.4502434533557467,2.4521431922912598
5.0,0.12823853455535844,0.13128306878306878,2.4341601168227074,2.4389312267303467
6.0,0.1237466067300973,0.09656084656084657,2.419414429163974,2.4258127212524414
7.0,0.12883329749681952,0.13624338624338625,2.4036980204656078,2.4124808311462402
8.0,0.15951099956996184,0.15211640211640212,2.385052050657814,2.3977532386779785
9.0,0.20011945877905,0.1560846560846561,2.3630729780344875,2.378354787826538
10.0,0.22629833449802006,0.1541005291005291,2.335601662604616,2.3571667671203613
11.0,0.24318471259115915,0.13293650793650794,2.3038084876311626,2.3351337909698486
12.0,0.2845488406887778,0.1859126984126984,2.265840681817979,2.3096516132354736
13.0,0.28346625320288843,0.18591269841269842,2.2270661967962004,2.2709808349609375
14.0,0.31037036641781374,0.20251322751322753,2.1815520383404783,2.2301135063171387
15.0,0.33030398915734654,0.25992063492063494,2.138669338981379,2.194387912750244
16.0,0.3483879971921037,0.2765873015873016,2.087530572730375,2.1535820960998535
17.0,0.38123413781631804,0.32103174603174606,2.0393098118793533,2.1080570220947266
18.0,0.3838206737320699,0.3084054834054834,1.9898227972335947,2.074535846710205
19.0,0.4087163782779318,0.3479256854256854,1.9396370337464928,2.0264596939086914
20.0,0.41935914699644955,0.38050144300144306,1.8939334753253168,1.985655426979065
21.0,0.4301087441416735,0.3481240981240981,1.8465700014117663,1.9539661407470703
22.0,0.48288432776174134,0.4030483405483405,1.801917435585324,1.9033427238464355
23.0,0.5052887051307041,0.40582611832611826,1.7570134965565036,1.8765908479690552
24.0,0.501056119615143,0.3857864357864358,1.7168261910469724,1.8407609462738037
25.0,0.5489020591902246,0.4188251563251564,1.673693235277514,1.8216944932937622
26.0,0.56160703306289,0.4268578643578644,1.6359928942793618,1.7804009914398193
27.0,0.5726800369588699,0.45989658489658486,1.6050798396440464,1.7463865280151367
28.0,0.5920989893040586,0.41184463684463685,1.5723816490829914,1.7544817924499512
29.0,0.5873754547905207,0.47748917748917746,1.5503140433519924,1.7012525796890259
30.0,0.5997931348502173,0.456024531024531,1.5114359256527716,1.6888036727905273
31.0,0.6160448338333274,0.4722282347282347,1.4717790272067623,1.6462675333023071
32.0,0.6429126831695512,0.5061928811928812,1.4428847769656814,1.6492626667022705
33.0,0.630337383458654,0.4677308802308802,1.4069510080728187,1.6174335479736328
34.0,0.639456674292296,0.49633838383838375,1.3816388258630354,1.6063342094421387
35.0,0.6570416550044994,0.5213383838383838,1.3470784097448274,1.5787004232406616
36.0,0.6881634388048856,0.48800505050505044,1.3253921619175633,1.5688753128051758
37.0,0.6687250587298922,0.4913780663780663,1.3026354159012103,1.536604642868042
38.0,0.6750723889929134,0.5145262145262146,1.2747233416660722,1.5674711465835571
39.0,0.6529574450875976,0.5381373256373257,1.2538893382848848,1.5136172771453857
40.0,0.6723985905497413,0.5282467532467533,1.2300016960055404,1.5284490585327148
41.0,0.7031544816102073,0.5007635882635884,1.2121616320848054,1.493096113204956
42.0,0.6976676121394729,0.5301406926406925,1.1871328840157251,1.4976266622543335
43.0,0.7161904080255702,0.5213443963443963,1.157366007207388,1.4776065349578857
44.0,0.7267685531012642,0.5145262145262146,1.1458301455962268,1.4739333391189575
45.0,0.7215472290316698,0.4963023088023088,1.1269671401961125,1.4481607675552368
46.0,0.7245479348732902,0.5290464165464166,1.0989316273063883,1.4487218856811523
47.0,0.7297195787693204,0.533044733044733,1.079788206571556,1.4319347143173218
48.0,0.7300745405012616,0.5421356421356421,1.0654890401843493,1.431152105331421
49.0,0.7489118758747263,0.5436928811928813,1.043451860726598,1.410699486732483
50.0,0.7381228637493704,0.5298039923039923,1.0234659087432232,1.4286327362060547
51.0,0.7419756510906352,0.5512686387686387,1.0101359454777072,1.3879210948944092
52.0,0.7742621542095169,0.5526575276575276,0.9943875222115837,1.394396424293518
53.0,0.7731515093725915,0.5596019721019722,0.9804587271866002,1.3711000680923462
54.0,0.7554358748383234,0.5586760461760462,0.9723344744790646,1.39372718334198
55.0,0.7887476767466891,0.5582130832130833,0.9615824013281608,1.3535802364349365
56.0,0.7730380973889904,0.5534151034151035,0.9334479012300554,1.37522292137146
57.0,0.7845612619593738,0.5665464165464166,0.9212367514119502,1.3473304510116577
58.0,0.7787105482780913,0.5582130832130833,0.9113044953182109,1.3740804195404053
59.0,0.7867574261229757,0.5651575276575277,0.8940513832638883,1.3454684019088745
60.0,0.7991434898518576,0.589399951899952,0.8825710496886051,1.312425136566162
61.0,0.8016498179800903,0.5505110630110631,0.8642545190612544,1.3448359966278076
62.0,0.8021278242887445,0.5513949013949014,0.8514785200306142,1.3338996171951294
63.0,0.8029779697793806,0.5477332852332852,0.8303384763443532,1.3418763875961304
64.0,0.8228215856421449,0.5824555074555074,0.8181010894028538,1.3107209205627441
65.0,0.8234678991027374,0.5949555074555075,0.8115212541849396,1.2959057092666626
66.0,0.8283771267474932,0.5685666185666186,0.7894491516374269,1.296440839767456
67.0,0.834458018629071,0.5824555074555074,0.7803208872086005,1.2976762056350708
68.0,0.8268386736454026,0.6032888407888409,0.771984302238425,1.291483998298645
69.0,0.8395529827556666,0.5685666185666186,0.7590303929865668,1.2830909490585327
70.0,0.8498503810247632,0.5810666185666186,0.7580419650586665,1.2949748039245605
71.0,0.8506613085893425,0.5677729677729678,0.7534694988633187,1.2554341554641724
72.0,0.8562505834483655,0.5673039923039923,0.7342337913644499,1.3062127828598022
73.0,0.8570781335750293,0.5679353054353055,0.7253309814531914,1.2375314235687256
74.0,0.8614802981795154,0.551899951899952,0.7035654241575021,1.2933287620544434
75.0,0.8522603957170537,0.5546416546416547,0.6934384894453105,1.235889196395874
76.0,0.8736124027683809,0.5824555074555074,0.6796928937586983,1.266958236694336
77.0,0.8644606287189944,0.5748797498797499,0.6746709515018431,1.239532232284546
78.0,0.8708240275699072,0.5748797498797499,0.6650212542530591,1.2326914072036743
79.0,0.8822971850095387,0.560990860990861,0.6526457432420242,1.2553623914718628
80.0,0.8771375570557932,0.5742484367484368,0.6362269738249853,1.226237177848816
81.0,0.8857795323644351,0.5742484367484367,0.6289839193660913,1.2408115863800049
82.0,0.8933150750715463,0.5748797498797499,0.6219118490892105,1.2286205291748047
83.0,0.8891892943098517,0.57487974987975,0.6148602612662849,1.23771333694458
84.0,0.8968240955963828,0.5553992303992304,0.6071363930652967,1.2113627195358276
85.0,0.8961670311816431,0.5742484367484368,0.6000915968890034,1.238006591796875
86.0,0.8979708397071496,0.5566618566618566,0.5900858545262309,1.2133417129516602
87.0,0.9000476921225599,0.5887686387686388,0.5849752448717206,1.2061141729354858
88.0,0.9097657101845028,0.5685666185666186,0.571895798594529,1.2247990369796753
89.0,0.9094986497641403,0.575511063011063,0.563620374965996,1.2063583135604858
90.0,0.9094926807448066,0.5755110630110631,0.5525621433779213,1.2345720529556274
91.0,0.9093651027555935,0.5907888407888408,0.5472147061061531,1.194962501525879
92.0,0.9321773251309878,0.575511063011063,0.5380534541996744,1.2022135257720947
93.0,0.9257100359204951,0.5887686387686388,0.5326008133962109,1.211718201637268
94.0,0.926248921610788,0.5810666185666186,0.5265092054660883,1.1961883306503296
95.0,0.9249021563933685,0.5824555074555074,0.522536307727203,1.198093295097351
96.0,0.9327339979425626,0.5804353054353055,0.5120631397898965,1.1965047121047974
97.0,0.9354405506491154,0.5679353054353055,0.5050633845661675,1.1844627857208252
98.0,0.937396832342032,0.5741221741221741,0.4923544370163739,1.1978756189346313
