representation,variant,hidden_cap,output_cap,seed,split,dt_ms,state_beta,output_beta,valid_count_loss,valid_count_accuracy,valid_count_balanced_accuracy,valid_count_macro_f1,full_count_balanced_accuracy,hidden_count_linear_balanced_accuracy,hidden_count_linear_macro_f1,uend_linear_balanced_accuracy,uend_linear_macro_f1,state_tail_event_fraction,output_tail_event_fraction,mean_valid_steps,mean_valid_duration_s,mean_theoretical_output_count_levels,local_fraction_at_cap,local_fraction_ge4,local_fraction_gt1,local_fraction_one,local_fraction_zero,local_mean_events_per_neuron_second,local_mean_events_per_neuron_step,local_pre_reset_membrane_max,local_pre_reset_membrane_mean,state_fraction_at_cap,state_fraction_ge4,state_fraction_gt1,state_fraction_one,state_fraction_zero,state_mean_events_per_neuron_second,state_mean_events_per_neuron_step,state_pre_reset_membrane_max,state_pre_reset_membrane_mean,output_fraction_at_cap,output_fraction_ge4,output_fraction_gt1,output_fraction_one,output_fraction_zero,output_mean_events_per_neuron_second,output_mean_events_per_neuron_step,output_pre_reset_membrane_max,output_pre_reset_membrane_mean
fixed250,binary,1,1,11,train,250.0,0.36787944117144233,0.36787944117144233,0.626539824956871,0.8450946643717728,0.8334732557945416,0.8365503768996233,0.783847381710009,0.9983974358974358,0.9983818770226538,0.9720043948477634,0.9721151298207609,0.20499265927455923,0.19349188866693265,6.895008605851979,1.7237521514629948,7.895008605851979,0.20208380213600427,0.0,0.0,0.20208380213600427,0.7979162026600666,0.8083352085440171,0.20208380213600427,5.311190189469907,-0.001005840805165226,0.24922689908342804,0.0,0.0,0.24922689908342804,0.7507730940943536,0.9969075963337122,0.24922689908342804,3.2731527888220886,0.11382961078272834,0.13206891143588725,0.0,0.0,0.13206891143588725,0.8679310819983688,0.528275645743549,0.13206891143588725,1.909902690404869,0.02192796529839761
fixed250,binary,1,1,11,val,250.0,0.36787944117144233,0.36787944117144233,1.9620798826217651,0.3888888888888889,0.37064694564694567,0.35362281304310295,0.3335738335738336,0.3745610870610871,0.3672271571376431,0.33761423761423764,0.33481204867129555,0.210126131772995,0.17586460709571838,6.134920634920635,1.5337301587301588,7.134920634920635,0.17657463252544403,0.0,0.0,0.17657463252544403,0.8234253525733948,0.7062985301017761,0.17657463252544403,3.6297543048858643,0.0030822926200926304,0.22152934968471527,0.0,0.0,0.22152934968471527,0.7784706354141235,0.8861173987388611,0.22152934968471527,3.8898890018463135,0.10770652443170547,0.12074170261621475,0.0,0.0,0.12074170261621475,0.8792582750320435,0.482966810464859,0.12074170261621475,1.5510671138763428,0.03806481510400772
fixed250,binary,1,1,11,test,250.0,0.36787944117144233,0.36787944117144233,2.0369819223064267,0.3698630136986301,0.35209582084582086,0.3300878528989474,0.32078685203685203,0.3104291541791541,0.3164152213065256,0.3751817626817626,0.37764950427993904,0.22900901898129344,0.20286225088655133,5.6438356164383565,1.4109589041095891,6.6438356164383565,0.20957893929252885,0.0,0.0,0.20957893929252885,0.7904210849984051,0.8383157571701154,0.20957893929252885,3.8670637052353114,0.00976042589810613,0.2554759740421217,0.0,0.0,0.2554759740421217,0.7445239979926854,1.0219038961684868,0.2554759740421217,3.2283458415776085,0.11453419444087433,0.13276246332958952,0.0,0.0,0.13276246332958952,0.8672375123794764,0.5310498533183581,0.13276246332958952,1.5448235404001522,0.044037570283837514
fixed250,binary,1,1,23,train,250.0,0.36787944117144233,0.36787944117144233,0.6190454594136926,0.8433734939759037,0.8337037900649419,0.836217827275417,0.7088810573228499,0.9983974358974358,0.9983818770226538,0.9653068317043529,0.9644833404089316,0.2918358501591904,0.2483737229685365,6.895008605851979,1.7237521514629948,7.895008605851979,0.2072102260004838,0.0,0.0,0.2072102260004838,0.792789775512715,0.8288409040019352,0.2072102260004838,6.754564829414354,0.005758906018129981,0.23273061926311553,0.0,0.0,0.23273061926311553,0.7672693774540125,0.9309224770524621,0.23273061926311553,2.9707302037697034,0.10012333436184619,0.1419025022222335,0.0,0.0,0.1419025022222335,0.8580975058567093,0.567610008888934,0.1419025022222335,2.0374370950840017,-0.013659054682735938
fixed250,binary,1,1,23,val,250.0,0.36787944117144233,0.36787944117144233,1.8699284791946411,0.42063492063492064,0.39178090428090423,0.3774840394811659,0.3507094757094757,0.4554773929773929,0.4445504187170854,0.3803751803751804,0.3682355799228864,0.3020460903644562,0.2419753074645996,6.134920634920635,1.5337301587301588,7.134920634920635,0.18008166551589966,0.0,0.0,0.18008166551589966,0.8199183344841003,0.7203266620635986,0.18008166551589966,4.208658695220947,0.005912179127335548,0.20719800889492035,0.0,0.0,0.20719800889492035,0.7928019762039185,0.8287920355796814,0.20719800889492035,3.049253463745117,0.0867241695523262,0.13238464295864105,0.0,0.0,0.13238464295864105,0.8676153421401978,0.5295385718345642,0.13238464295864105,1.8367846012115479,0.005840522702783346
fixed250,binary,1,1,23,test,250.0,0.36787944117144233,0.36787944117144233,2.0996193853143144,0.3424657534246575,0.32380883005883004,0.3006620142585055,0.3012681762681762,0.3631299256299256,0.36718349527274013,0.3571164946164946,0.3439097496706192,0.30348966423779317,0.2563410054330956,5.6438356164383565,1.4109589041095891,6.6438356164383565,0.21106340868832313,0.0,0.0,0.21106340868832313,0.7889365651836134,0.8442536347532925,0.21106340868832313,5.29412960352963,0.006318492776624961,0.22369669683992047,0.0,0.0,0.22369669683992047,0.7763033125498523,0.8947867873596819,0.22369669683992047,2.8543034449015576,0.09397483229228895,0.13559544913164556,0.0,0.0,0.13559544913164556,0.8644045648509509,0.5423817965265822,0.13559544913164556,1.659032650189857,0.008639423814538407
fixed250,binary,1,1,37,train,250.0,0.36787944117144233,0.36787944117144233,0.7435619036014642,0.8364888123924269,0.8269390736849385,0.8299066162101741,0.6725162026985642,0.9983974358974358,0.9983818770226538,0.9535257470859116,0.9525051500575187,0.3378825219485928,0.2786873755992587,6.895008605851979,1.7237521514629948,7.895008605851979,0.25036490414926393,0.0,0.0,0.25036490414926393,0.7496351188308401,1.0014596165970557,0.25036490414926393,5.8714751376547625,0.07330860091107232,0.24129917730357683,0.0,0.0,0.24129917730357683,0.7587008194135512,0.9651967092143073,0.24129917730357683,3.0054528372628346,0.03563138520066176,0.12188736589147794,0.0,0.0,0.12188736589147794,0.8781126322106116,0.4875494635659118,0.12188736589147794,1.7154098379837666,0.010316763372960374
fixed250,binary,1,1,37,val,250.0,0.36787944117144233,0.36787944117144233,1.9435491561889648,0.4126984126984127,0.41376262626262633,0.3919202556702557,0.364351851851852,0.3964405964405964,0.39020002820441424,0.3815656565656565,0.38138631422412334,0.36586934328079224,0.3081967234611511,6.134920634920635,1.5337301587301588,7.134920634920635,0.22545075416564941,0.0,0.0,0.22545075416564941,0.7745492458343506,0.9018030166625977,0.22545075416564941,4.557199478149414,0.06893032789230347,0.21943725645542145,0.0,0.0,0.21943725645542145,0.7805627584457397,0.8777490258216858,0.21943725645542145,3.13485050201416,0.03418400138616562,0.11373437196016312,0.0,0.0,0.11373437196016312,0.8862656354904175,0.45493748784065247,0.11373437196016312,1.6894418001174927,0.022083574905991554
fixed250,binary,1,1,37,test,250.0,0.36787944117144233,0.36787944117144233,2.147541963890807,0.3082191780821918,0.29987443112443113,0.3044226705638647,0.29233682983682985,0.32771534021534016,0.322289698605488,0.36439532689532683,0.3568097186882551,0.3854625012776623,0.30210644986531504,5.6438356164383565,1.4109589041095891,6.6438356164383565,0.2627279664555641,0.0,0.0,0.2627279664555641,0.7372720372186948,1.0509118658222565,0.2627279664555641,4.70934717295921,0.08264250491988169,0.24062736924380473,0.0,0.0,0.24062736924380473,0.7593726009538729,0.9625094769752189,0.24062736924380473,3.0347872302956778,0.03266825621360785,0.1258963190325319,0.0,0.0,0.1258963190325319,0.8741036669848716,0.5035852761301276,0.1258963190325319,1.663023001527133,0.02889898097882532
fixed250,binary,1,1,53,train,250.0,0.36787944117144233,0.36787944117144233,0.7556953854897347,0.802065404475043,0.7891406369984533,0.7913082787728024,0.3513058037676144,0.996545584045584,0.9966520448207478,0.9630364291338208,0.9606257025674099,0.46917064849562984,0.4211094004972461,6.895008605851979,1.7237521514629948,7.895008605851979,0.23534115995064045,0.0,0.0,0.23534115995064045,0.7646588332271412,0.9413646398025618,0.23534115995064045,5.368265215993543,0.06465377198234072,0.24876754963049175,0.0,0.0,0.24876754963049175,0.7512324372380202,0.995070198521967,0.24876754963049175,4.009494085114917,0.07495771757553038,0.16663030631160572,0.0,0.0,0.16663030631160572,0.8333696775305086,0.6665212252464229,0.16663030631160572,1.832878917096609,0.10255082687699651
