representation,variant,hidden_cap,output_cap,valid_count_balanced_accuracy_mean,valid_count_balanced_accuracy_std,hidden_count_linear_balanced_accuracy_mean,hidden_count_linear_balanced_accuracy_std,uend_linear_balanced_accuracy_mean,uend_linear_balanced_accuracy_std,state_tail_event_fraction_mean,state_tail_event_fraction_std,output_tail_event_fraction_mean,output_tail_event_fraction_std,state_mean_events_per_neuron_second_mean,state_mean_events_per_neuron_second_std,output_mean_events_per_neuron_second_mean,output_mean_events_per_neuron_second_std,state_fraction_at_cap_mean,state_fraction_at_cap_std,output_fraction_at_cap_mean,output_fraction_at_cap_std
fixed250,binary,1,1,0.3256915306915307,0.0333504043875541,0.33630106005106,0.04265145708581225,0.3783706571206571,0.04207020896921131,0.39075761082237714,0.1298062598861679,0.3493439537205108,0.135506200459707,0.9812125398688121,0.054381673251877885,0.5562440058956407,0.07810057592563269,0.24530313496720302,0.013595418312969471,0.13906100147391018,0.01952514398140816
fixed250,multi_h,31,1,0.24427364302364304,0.0795866801539146,0.3537309912309912,0.04573522631630086,0.3791557054057054,0.010949938144654905,0.8632573549061606,0.03242746458422484,0.40820198146855996,0.378341724697205,8.800476581103181,6.172617312242964,0.2973843689038329,0.20308296265391154,0.01869271923070263,0.03172712350315038,0.07434609222595823,0.050770740663477885
fixed250,multi_ho,31,31,0.43710456210456206,0.03360451234659741,0.4729881229881229,0.029186370322876003,0.5013415750915751,0.013663715246538309,0.7634095786369011,0.038478747770051724,0.7840984909501794,0.022412191474054766,25.05765615489385,1.9322138802983213,22.074192263982066,5.37237594908905,0.06558815213813357,0.01207197690703644,0.04236704243780816,0.005605638295817202
raw64,binary,1,1,0.20190739815739814,0.029776443751799303,0.21502331002331002,0.017745400205823162,0.22210539460539458,0.028766470738018628,0.006637401368520031,0.0028589903503712217,0.006300152695342285,0.0031114307104784457,1.5746297245156273,0.09219681230816677,1.879179888882049,0.5166212558492501,0.024603589445556677,0.0014405751923151058,0.029362185763782016,0.008072207122644533
raw64,multi_h,31,1,0.19046231546231546,0.035924195815668636,0.20830724830724828,0.038349928159444976,0.21533799533799533,0.016176554962984976,0.14401473353986874,0.31070770998170094,0.09908206136259315,0.2123601548519241,2.968859740152751,3.2807952945624312,1.3631755847841092,0.9165519339342514,0.00023026566981172112,0.0005148896905835296,0.021299618512251706,0.014321123967722678
raw64,multi_ho,31,31,0.289546842046842,0.037988162900406394,0.3060968198468198,0.013581046934858142,0.3361870074370074,0.03899771629005032,0.17988641528438215,0.10209752598816192,0.1720195360226582,0.09715004452944387,23.59672720660902,7.196227540066548,115.86936628785853,46.722167326002356,3.474849804100414e-06,4.7635699985239486e-06,0.0007305836547819948,0.0007072374146649105
repeat4,binary,1,1,0.13513278388278388,0.04011605624996303,0.15549034299034298,0.01058047083288472,0.17679265179265177,0.03435915926733162,0.03504900311260191,0.010826522273065894,0.02217196022504813,0.007067876910817594,0.7060334262578454,0.18890984030361901,0.40824007400094653,0.11417743618023896,0.044127089141115336,0.011806865018976185,0.025515004625059158,0.007136089761264935
repeat4,multi_h,31,1,0.1319609557109557,0.02706073410141309,0.1657253857253857,0.032488277725716115,0.17932969807969806,0.029040108892399958,0.8685242274036146,0.036132859027516874,0.005837318290994592,0.006616526158526688,30.39167926719744,12.104204812520498,0.2468062901333587,0.050255188708672925,0.036945090078898665,0.018323475740967807,0.015425393133334919,0.003140949294292058
repeat4,multi_ho,31,31,0.2222186147186147,0.01780444024371363,0.21587024087024087,0.028130170553945708,0.23393120768120768,0.012152540214109723,0.7654961915865337,0.061119550090704786,0.7961410558387024,0.0296437929999347,65.33644255807954,31.18226453564406,157.28263334509444,43.64455235694475,0.07653984299554706,0.06360251850718716,0.22971832166387607,0.10231187070394768
