effect,representation,variant,readout,mean,std,count
multi_h_minus_binary,fixed250,,hidden_whole_count_linear,0.0174299311799312,0.07411545985278427,5
multi_h_minus_binary,fixed250,,output_whole_count,-0.08141788766788766,0.053773115368476086,5
multi_h_minus_binary,fixed250,,uend_linear,0.0007850482850483397,0.04371725696629722,5
multi_h_minus_binary,raw64,,hidden_whole_count_linear,-0.006716061716061728,0.03350232472545222,5
multi_h_minus_binary,raw64,,output_whole_count,-0.01144508269508267,0.03898674537220485,5
multi_h_minus_binary,raw64,,uend_linear,-0.00676739926739926,0.03342398421539817,5
multi_h_minus_binary,repeat4,,hidden_whole_count_linear,0.010235042735042735,0.030055100558825473,5
multi_h_minus_binary,repeat4,,output_whole_count,-0.0031718281718281756,0.03944063224958557,5
multi_h_minus_binary,repeat4,,uend_linear,0.0025370462870462963,0.05062477574017007,5
multi_ho_minus_binary,fixed250,,hidden_whole_count_linear,0.13668706293706295,0.029792671751217935,5
multi_ho_minus_binary,fixed250,,output_whole_count,0.11141303141303138,0.05195324916070376,5
multi_ho_minus_binary,fixed250,,uend_linear,0.12297091797091793,0.037231262683420766,5
multi_ho_minus_binary,raw64,,hidden_whole_count_linear,0.09107350982350981,0.02993513033820284,5
multi_ho_minus_binary,raw64,,output_whole_count,0.08763944388944389,0.050639106839333814,5
multi_ho_minus_binary,raw64,,uend_linear,0.11408161283161282,0.03249653347521593,5
multi_ho_minus_binary,repeat4,,hidden_whole_count_linear,0.06037989787989788,0.03391392243235314,5
multi_ho_minus_binary,repeat4,,output_whole_count,0.08708583083583084,0.05036807943034441,5
multi_ho_minus_binary,repeat4,,uend_linear,0.057138555888555875,0.03245095979028848,5
raw64_minus_fixed250,,binary,hidden_whole_count_linear,-0.12127775002774999,0.045987152720940574,5
raw64_minus_fixed250,,binary,output_whole_count,-0.12378413253413253,0.04540915386025321,5
raw64_minus_fixed250,,binary,uend_linear,-0.1562652625152625,0.06219714169959587,5
raw64_minus_fixed250,,multi_h,hidden_whole_count_linear,-0.1454237429237429,0.07092608274672076,5
raw64_minus_fixed250,,multi_h,output_whole_count,-0.05381132756132756,0.054045424040141676,5
raw64_minus_fixed250,,multi_h,uend_linear,-0.16381771006771012,0.025397229796932628,5
raw64_minus_fixed250,,multi_ho,hidden_whole_count_linear,-0.16689130314130313,0.024858826568730664,5
raw64_minus_fixed250,,multi_ho,output_whole_count,-0.14755772005772003,0.0469553784469161,5
raw64_minus_fixed250,,multi_ho,uend_linear,-0.1651545676545676,0.05045210693431136,5
raw64_minus_repeat4,,binary,hidden_whole_count_linear,0.059532967032967045,0.024930285424646606,5
raw64_minus_repeat4,,binary,output_whole_count,0.06677461427461426,0.044429091832062166,5
raw64_minus_repeat4,,binary,uend_linear,0.04531274281274279,0.04974562620585429,5
raw64_minus_repeat4,,multi_h,hidden_whole_count_linear,0.042581862581862584,0.05297662021067515,5
raw64_minus_repeat4,,multi_h,output_whole_count,0.05850135975135976,0.02795912843293763,5
raw64_minus_repeat4,,multi_h,uend_linear,0.03600829725829724,0.022547016036002763,5
raw64_minus_repeat4,,multi_ho,hidden_whole_count_linear,0.09022657897657897,0.041439603637810685,5
raw64_minus_repeat4,,multi_ho,output_whole_count,0.06732822732822732,0.03684293134501348,5
raw64_minus_repeat4,,multi_ho,uend_linear,0.10225579975579975,0.04085457066868213,5
repeat4_minus_fixed250,,binary,hidden_whole_count_linear,-0.18081071706071702,0.05130652900780423,5
repeat4_minus_fixed250,,binary,output_whole_count,-0.1905587468087468,0.04708710046024882,5
repeat4_minus_fixed250,,binary,uend_linear,-0.20157800532800527,0.054980432924985556,5
repeat4_minus_fixed250,,multi_h,hidden_whole_count_linear,-0.1880056055056055,0.03212514907230958,5
repeat4_minus_fixed250,,multi_h,output_whole_count,-0.11231268731268733,0.06142751601454735,5
repeat4_minus_fixed250,,multi_h,uend_linear,-0.19982600732600733,0.03349848066153795,5
repeat4_minus_fixed250,,multi_ho,hidden_whole_count_linear,-0.2571178821178821,0.049652242992481915,5
repeat4_minus_fixed250,,multi_ho,output_whole_count,-0.21488594738594738,0.023384500680132713,5
repeat4_minus_fixed250,,multi_ho,uend_linear,-0.26741036741036733,0.02163999468741113,5
