effect,variant,seed,readout,delta_balanced_accuracy,representation
repeat4_minus_fixed250,binary,11,output_whole_count,-0.1834311521811522,
raw64_minus_repeat4,binary,11,output_whole_count,0.029829198579198524,
raw64_minus_fixed250,binary,11,output_whole_count,-0.15360195360195367,
repeat4_minus_fixed250,binary,11,hidden_whole_count_linear,-0.15250374625374621,
raw64_minus_repeat4,binary,11,hidden_whole_count_linear,0.04727841602841604,
raw64_minus_fixed250,binary,11,hidden_whole_count_linear,-0.10522533022533018,
repeat4_minus_fixed250,binary,11,uend_linear,-0.18368853368853366,
raw64_minus_repeat4,binary,11,uend_linear,0.013041125541125576,
raw64_minus_fixed250,binary,11,uend_linear,-0.1706474081474081,
repeat4_minus_fixed250,binary,23,output_whole_count,-0.13644619269619268,
raw64_minus_repeat4,binary,23,output_whole_count,0.03544857919857916,
raw64_minus_fixed250,binary,23,output_whole_count,-0.10099761349761352,
repeat4_minus_fixed250,binary,23,hidden_whole_count_linear,-0.2163517038517038,
raw64_minus_repeat4,binary,23,hidden_whole_count_linear,0.0720356032856033,
raw64_minus_fixed250,binary,23,hidden_whole_count_linear,-0.1443161005661005,
repeat4_minus_fixed250,binary,23,uend_linear,-0.2180222555222555,
raw64_minus_repeat4,binary,23,uend_linear,0.07260794760794759,
raw64_minus_fixed250,binary,23,uend_linear,-0.1454143079143079,
repeat4_minus_fixed250,binary,37,output_whole_count,-0.1846528471528472,
raw64_minus_repeat4,binary,37,output_whole_count,0.03994200244200245,
raw64_minus_fixed250,binary,37,output_whole_count,-0.14471084471084472,
repeat4_minus_fixed250,binary,37,hidden_whole_count_linear,-0.1783577533577533,
raw64_minus_repeat4,binary,37,hidden_whole_count_linear,0.09520202020202018,
raw64_minus_fixed250,binary,37,hidden_whole_count_linear,-0.08315573315573313,
repeat4_minus_fixed250,binary,37,uend_linear,-0.21630036630036623,
raw64_minus_repeat4,binary,37,uend_linear,0.12029498279498271,
raw64_minus_fixed250,binary,37,uend_linear,-0.09600538350538351,
repeat4_minus_fixed250,binary,53,output_whole_count,-0.18170163170163173,
raw64_minus_repeat4,binary,53,output_whole_count,0.12671842046842047,
raw64_minus_fixed250,binary,53,output_whole_count,-0.05498321123321126,
repeat4_minus_fixed250,binary,53,hidden_whole_count_linear,-0.11342962592962594,
raw64_minus_repeat4,binary,53,hidden_whole_count_linear,0.030122655122655162,
raw64_minus_fixed250,binary,53,hidden_whole_count_linear,-0.08330697080697078,
repeat4_minus_fixed250,binary,53,uend_linear,-0.12011946386946387,
raw64_minus_repeat4,binary,53,uend_linear,0.005878149628149615,
raw64_minus_fixed250,binary,53,uend_linear,-0.11424131424131426,
repeat4_minus_fixed250,binary,71,output_whole_count,-0.2665619103119103,
raw64_minus_repeat4,binary,71,output_whole_count,0.1019348706848707,
raw64_minus_fixed250,binary,71,output_whole_count,-0.1646270396270396,
repeat4_minus_fixed250,binary,71,hidden_whole_count_linear,-0.2434107559107559,
raw64_minus_repeat4,binary,71,hidden_whole_count_linear,0.05302614052614055,
raw64_minus_fixed250,binary,71,hidden_whole_count_linear,-0.19038461538461535,
repeat4_minus_fixed250,binary,71,uend_linear,-0.2697594072594072,
raw64_minus_repeat4,binary,71,uend_linear,0.014741508491508487,
raw64_minus_fixed250,binary,71,uend_linear,-0.2550178987678987,
repeat4_minus_fixed250,multi_h,11,output_whole_count,-0.1732448107448108,
raw64_minus_repeat4,multi_h,11,output_whole_count,0.09821914196914198,
raw64_minus_fixed250,multi_h,11,output_whole_count,-0.0750256687756688,
repeat4_minus_fixed250,multi_h,11,hidden_whole_count_linear,-0.24056984681984683,
raw64_minus_repeat4,multi_h,11,hidden_whole_count_linear,0.03161768786768787,
raw64_minus_fixed250,multi_h,11,hidden_whole_count_linear,-0.20895215895215896,
repeat4_minus_fixed250,multi_h,11,uend_linear,-0.23012681762681764,
raw64_minus_repeat4,multi_h,11,uend_linear,0.032853951603951576,
raw64_minus_fixed250,multi_h,11,uend_linear,-0.19727286602286606,
repeat4_minus_fixed250,multi_h,23,output_whole_count,-0.12568265068265064,
raw64_minus_repeat4,multi_h,23,output_whole_count,0.06721264846264843,
raw64_minus_fixed250,multi_h,23,output_whole_count,-0.058470002220002204,
repeat4_minus_fixed250,multi_h,23,hidden_whole_count_linear,-0.1599400599400599,
raw64_minus_repeat4,multi_h,23,hidden_whole_count_linear,0.07879551004551,
raw64_minus_fixed250,multi_h,23,hidden_whole_count_linear,-0.08114454989454989,
repeat4_minus_fixed250,multi_h,23,uend_linear,-0.15865939615939614,
raw64_minus_repeat4,multi_h,23,uend_linear,0.030143467643467592,
raw64_minus_fixed250,multi_h,23,uend_linear,-0.12851592851592855,
