transition,count,fraction
reference_wrong -> query_wrong,77,0.6111111111111112
reference_correct -> query_wrong,28,0.2222222222222222
reference_correct -> query_correct,14,0.1111111111111111
reference_wrong -> query_correct,7,0.05555555555555555
