label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9619469311820441,0.038053068817955886,0.36363636363636365
1,B,9,0.9684792929629847,0.03152070703701525,0.3333333333333333
2,C,12,0.9739629460495154,0.026037053950484574,0.3333333333333333
3,D,11,0.9586880786567786,0.04131192134322142,0.6363636363636364
4,E,12,0.9778412636816003,0.022158736318399635,0.6666666666666666
5,G,12,0.9753655243191579,0.024634475680842104,0.3333333333333333
6,H,12,0.97402058579766,0.02597941420233991,0.5833333333333334
7,I,11,0.9618672580025623,0.03813274199743763,0.2727272727272727
8,J,12,0.964194716221197,0.03580528377880298,0.5833333333333334
9,K,12,0.9755180580558139,0.024481941944185986,0.5
10,L,6,0.9436479619732125,0.056352038026787475,0.16666666666666666
11,X,7,0.9731519153620963,0.026848084637903495,0.42857142857142855
