condition,architecture_family,beta,tau_mem_ms,shift_syn,tau_syn_ms,seed,probe_type,probe_C,val_ba,test_ba,test_accuracy,test_macro_f1
direct,direct,,,[],[],11,phase_contextual,0.1,0.35396825396825393,0.36917808219178083,0.36917808219178083,0.3540564859962845
direct,direct,,,[],[],11,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],11,phase_membrane,0.1,0.35396825396825393,0.36917808219178083,0.36917808219178083,0.3540564859962845
direct,direct,,,[],[],11,phase_spike,0.1,0.35396825396825393,0.36917808219178083,0.36917808219178083,0.3540564859962845
direct,direct,,,[],[],11,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],23,phase_contextual,0.1,0.36031746031746026,0.37123287671232874,0.37123287671232874,0.3549336953917944
direct,direct,,,[],[],23,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],23,phase_membrane,0.1,0.36031746031746026,0.37123287671232874,0.37123287671232874,0.3549336953917944
direct,direct,,,[],[],23,phase_spike,0.1,0.36031746031746026,0.37123287671232874,0.37123287671232874,0.3549336953917944
direct,direct,,,[],[],23,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],37,phase_contextual,0.01,0.36984126984126975,0.36986301369863017,0.3698630136986301,0.35271972408133434
direct,direct,,,[],[],37,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],37,phase_membrane,0.01,0.36984126984126975,0.36986301369863017,0.3698630136986301,0.35271972408133434
direct,direct,,,[],[],37,phase_spike,0.01,0.36984126984126975,0.36986301369863017,0.3698630136986301,0.35271972408133434
direct,direct,,,[],[],37,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],53,phase_contextual,0.1,0.3634920634920634,0.35821917808219184,0.3582191780821918,0.34397944035519623
direct,direct,,,[],[],53,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],53,phase_membrane,0.1,0.3634920634920634,0.35821917808219184,0.3582191780821918,0.34397944035519623
direct,direct,,,[],[],53,phase_spike,0.1,0.3634920634920634,0.35821917808219184,0.3582191780821918,0.34397944035519623
direct,direct,,,[],[],53,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],71,phase_contextual,10.0,0.35238095238095235,0.3643835616438357,0.3643835616438356,0.34481060385894724
direct,direct,,,[],[],71,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
direct,direct,,,[],[],71,phase_membrane,10.0,0.35238095238095235,0.3643835616438357,0.3643835616438356,0.34481060385894724
direct,direct,,,[],[],71,phase_spike,10.0,0.35238095238095235,0.3643835616438357,0.3643835616438356,0.34481060385894724
direct,direct,,,[],[],71,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,phase_contextual,0.01,0.3166666666666667,0.3321917808219178,0.3321917808219178,0.3090024088305566
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,phase_membrane,10.0,0.33095238095238094,0.3171232876712328,0.3171232876712329,0.2954522587865932
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,phase_spike,0.01,0.3166666666666667,0.3321917808219178,0.3321917808219178,0.3090024088305566
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,phase_contextual,0.1,0.3388888888888889,0.336986301369863,0.336986301369863,0.3157778320120309
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,phase_membrane,1.0,0.33571428571428574,0.33287671232876714,0.33287671232876714,0.3097736756204398
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,phase_spike,0.1,0.3388888888888889,0.336986301369863,0.336986301369863,0.3157778320120309
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,phase_contextual,0.1,0.3412698412698413,0.33493150684931505,0.33493150684931505,0.3138370163618171
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,phase_membrane,0.1,0.33174603174603173,0.3328767123287671,0.33287671232876714,0.3100744687146909
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,phase_spike,0.1,0.3412698412698413,0.33493150684931505,0.33493150684931505,0.3138370163618171
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,phase_contextual,1.0,0.32380952380952377,0.3431506849315068,0.34315068493150686,0.3239795896843139
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,phase_membrane,1.0,0.3206349206349206,0.3335616438356165,0.33356164383561643,0.3116558130390912
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,phase_spike,1.0,0.32380952380952377,0.3431506849315068,0.34315068493150686,0.3239795896843139
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,phase_contextual,0.1,0.3373015873015873,0.3554794520547945,0.35547945205479453,0.3316525431649163
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,phase_membrane,10.0,0.3103174603174603,0.32671232876712325,0.3267123287671233,0.30422315071507144
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,phase_spike,0.1,0.3373015873015873,0.3554794520547945,0.35547945205479453,0.3316525431649163
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_beta050,lif,0.5,22.542110013890053,[],[],11,phase_contextual,0.1,0.33015873015873015,0.34246575342465746,0.3424657534246575,0.32304724906080656
lif_beta050,lif,0.5,22.542110013890053,[],[],11,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_beta050,lif,0.5,22.542110013890053,[],[],11,phase_membrane,0.01,0.32619047619047625,0.34931506849315064,0.3493150684931507,0.3295542563214356
lif_beta050,lif,0.5,22.542110013890053,[],[],11,phase_spike,0.1,0.33015873015873015,0.34246575342465746,0.3424657534246575,0.32304724906080656
lif_beta050,lif,0.5,22.542110013890053,[],[],11,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
lif_beta050,lif,0.5,22.542110013890053,[],[],23,phase_contextual,0.1,0.326984126984127,0.33972602739726027,0.33972602739726027,0.32028456108242664
lif_beta050,lif,0.5,22.542110013890053,[],[],23,phase_synaptic_state,0.001,0.1,0.1,0.1,0.01818181818181818
lif_beta050,lif,0.5,22.542110013890053,[],[],23,phase_membrane,0.1,0.35079365079365077,0.3506849315068494,0.3506849315068493,0.3328603633568781
lif_beta050,lif,0.5,22.542110013890053,[],[],23,phase_spike,0.1,0.326984126984127,0.33972602739726027,0.33972602739726027,0.32028456108242664
lif_beta050,lif,0.5,22.542110013890053,[],[],23,phase_gate,0.001,0.1,0.1,0.1,0.01818181818181818
