condition,architecture_family,beta,tau_mem_ms,shift_syn,tau_syn_ms,seed,best_epoch,trainable_parameters,native_train_accumulator_l2_mean,native_train_accuracy,native_train_balanced_accuracy,native_train_evidence_abs_per_valid_step,native_train_hidden_events_per_neuron_second,native_train_hidden_tail_event_fraction,native_train_hidden_tail_events_per_neuron_second,native_train_loss,native_train_macro_f1,native_val_accumulator_l2_mean,native_val_accuracy,native_val_balanced_accuracy,native_val_evidence_abs_per_valid_step,native_val_hidden_events_per_neuron_second,native_val_hidden_tail_event_fraction,native_val_hidden_tail_events_per_neuron_second,native_val_loss,native_val_macro_f1,native_test_accumulator_l2_mean,native_test_accuracy,native_test_balanced_accuracy,native_test_evidence_abs_per_valid_step,native_test_hidden_events_per_neuron_second,native_test_hidden_tail_event_fraction,native_test_hidden_tail_events_per_neuron_second,native_test_loss,native_test_macro_f1
direct,direct,,,[],[],11,97,1536,265.21189557336487,0.8881239242685026,0.8907266774591015,0.7909433645761803,15.561617565779557,0.0,0.0,0.43951269763677336,0.8881574241826312,218.95152839781747,0.5079365079365079,0.5108886483886483,0.7094214319418839,13.716003862698622,0.0,0.0,1.3346147537231445,0.5114746140001895,222.96466315282535,0.541095890410959,0.5331654456654457,0.8106605659553962,16.54945328031809,0.0,0.0,1.5812676704093203,0.5189718369139108
direct,direct,,,[],[],23,88,1536,257.1661736230637,0.9036144578313253,0.907432483744452,0.7654114790072074,16.220485035255496,0.0,0.0,0.4286889094288706,0.9051759235028977,209.49483816964286,0.5,0.5093314093314093,0.6901025091995142,14.593933807391801,0.0,0.0,1.4349652528762817,0.4963896375203629,218.33380043343323,0.5616438356164384,0.545929070929071,0.7864697260232011,17.41956593770709,0.0,0.0,1.574053604308873,0.5364893777819474
direct,direct,,,[],[],37,46,1536,175.11816910499138,0.8261617900172117,0.8225266109065473,0.5407616503822835,16.853065804679517,0.0,0.0,0.6590582975114274,0.8230995868601263,142.19385540674602,0.5079365079365079,0.5088383838383839,0.48951897788458726,15.285532437889563,0.0,0.0,1.4291366338729858,0.5009688345034841,147.82389434396404,0.541095890410959,0.5245705683205683,0.5587168652041743,18.248011928429424,0.0,0.0,1.527395292504193,0.5276605203886365
direct,direct,,,[],[],53,92,1536,236.2316688629518,0.8760757314974182,0.8751793233736386,0.7323853358902641,16.165123017401644,0.0,0.0,0.47517818643386106,0.8762602753302579,190.77286396329364,0.48412698412698413,0.48320707070707064,0.6533173690669535,14.381441488894742,0.0,0.0,1.4186023473739624,0.4710944082935719,200.44276741759418,0.547945205479452,0.5311702186702186,0.7559145857278206,17.62731941683234,0.0,0.0,1.6292512759770432,0.5257422072362649
direct,direct,,,[],[],71,76,1536,199.21684225742254,0.8519793459552496,0.8505014092267055,0.6515238008193484,14.86560202321336,0.0,0.0,0.5890647982873933,0.8509202298757668,158.32691592261904,0.5476190476190477,0.5458754208754208,0.5675707635596816,13.007988763058554,0.0,0.0,1.3587770462036133,0.5407127292215298,167.29084673319778,0.5205479452054794,0.504285298035298,0.6656156269846201,16.267147117296222,0.0,0.0,1.6209920073208743,0.4997109945198361
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,90,17920,395.2210661843804,0.9776247848537005,0.9786609712960065,1.1476455139786792,21.317198988393322,0.03094566825360449,0.5465388339070568,0.14088037847292814,0.978000275223862,312.4778645833333,0.5079365079365079,0.5088744588744588,1.0226546039636555,19.183609867439205,0.03230941937369501,0.4523809523809524,1.6858649253845215,0.5119480120481265,311.9846525845462,0.5547945205479452,0.5494352869352869,1.128186178070466,21.550985752153743,0.0387243020351458,0.560814426369863,2.072655200958252,0.5329300350826353
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,43,17920,260.5231954604131,0.9363166953528399,0.9392100367535069,0.7862612881969451,21.024101026680288,0.0242722087814926,0.4198916200516351,0.27184567341449545,0.9374965044496207,210.99505518353175,0.5396825396825397,0.5431337181337182,0.7182777933236766,19.180273900447723,0.025221350477724412,0.35050843253968256,1.552526831626892,0.5352504550425985,210.09029524293663,0.5616438356164384,0.5468448218448217,0.7807459307738638,21.673666335321403,0.031247685905125812,0.4515999571917808,1.6942960758731789,0.5328987860652946
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,61,17920,281.3292108164802,0.9604130808950087,0.959557252961893,0.8583554814203807,20.93943758688261,0.027795252629327943,0.4806368330464716,0.219371367316443,0.9595001834829544,223.1444072420635,0.5158730158730159,0.5257034632034631,0.7825543694949229,19.09217803529102,0.029386758664396478,0.40826512896825395,1.5741182565689087,0.5170914460783284,222.35017792166096,0.5068493150684932,0.4955010267510267,0.8424064580615267,21.36046222664016,0.03719586073768181,0.5330693493150684,1.8119608278143895,0.49327053665288956
lif_tau242,lif,0.9375,242.10347130039656,[],[],53,77,17920,337.6455128549914,0.9621342512908778,0.9642200894226421,1.0048022705322102,20.071725258344916,0.026706986965882595,0.4421861553356282,0.18700645569064325,0.963678348115209,267.5902157738095,0.5158730158730159,0.5100589225589226,0.9099006571342872,18.181766306733387,0.02685781007355826,0.35441468253968256,1.5963150262832642,0.50032021413951,273.684001765839,0.547945205479452,0.5312444499944499,1.0068644394483792,20.56867130550033,0.033900349391871386,0.4662350171232877,2.0098226429664927,0.5279849999619283
lif_tau242,lif,0.9375,242.10347130039656,[],[],71,45,17920,241.4668641082186,0.9225473321858864,0.9198533059167002,0.7623447344078863,19.216498902976202,0.02523775217362493,0.39945272160068845,0.34925658116036973,0.9217032686142473,187.62437996031747,0.5396825396825397,0.5404882154882155,0.6653478371996898,16.803134053199894,0.02683017975762845,0.32719494047619047,1.4727617502212524,0.5357613983808626,201.25848137842465,0.4931506849315068,0.4822725885225885,0.7725536025384153,20.091078528827037,0.03111124427000629,0.4167380136986301,1.8495408998776788,0.47985782182776954
lif_beta050,lif,0.5,22.542110013890053,[],[],11,96,17920,436.20837255271084,0.9776247848537005,0.9789696132713152,1.277401682643995,21.00010049072973,0.0018202596128853523,0.0307457508605852,0.13717491198940243,0.9781948297189501,343.009269593254,0.5396825396825397,0.5392977392977393,1.1262672193690926,18.566324291107016,0.0016474853425730983,0.02163938492063492,1.5880615711212158,0.543186390576034,354.436931453339,0.5205479452054794,0.5118360805860805,1.2934021710664831,21.726557322730287,0.0019881623482004753,0.02795911815068493,2.029789976877709,0.5016647130520128
lif_beta050,lif,0.5,22.542110013890053,[],[],23,69,17920,346.79549671901896,0.9672977624784854,0.9685387714189045,1.038361899916816,20.210385716917614,0.0016509513964211046,0.026832777538726333,0.17890869357371494,0.9678995459077182,280.26255580357144,0.5634920634920635,0.5695586820586821,0.9382044806938226,18.23593187604249,0.0015981120649049784,0.020616319444444444,1.6032413244247437,0.5632698704380626,282.98604385166954,0.6027397260273972,0.5878871128871127,1.0454016083619808,21.160536779324055,0.001996397888740863,0.02734375,1.7560926757446707,0.5818371413518576
lif_beta050,lif,0.5,22.542110013890053,[],[],37,40,17920,260.33034369621345,0.9363166953528399,0.9347655684662207,0.8075416940573691,19.81112767347212,0.0012230734903781648,0.01947746342512909,0.3123889827584646,0.9356102578730984,210.31662326388889,0.5396825396825397,0.5423340548340548,0.7364460909380213,17.746115354227022,0.0011019474326601406,0.01382688492063492,1.426766276359558,0.5326086398707208,213.02520668343323,0.5205479452054794,0.5076312576312575,0.8201211365164051,21.05280815109344,0.0014831432421707716,0.020200128424657533,1.6773153249531576,0.5019603775853776
lif_beta050,lif,0.5,22.542110013890053,[],[],53,77,17920,373.16763258390705,0.9621342512908778,0.9642200894226421,1.1178512447591293,20.267062488485436,0.0015750896559349073,0.025669642857142856,0.18535217505570328,0.9631734655077103,289.83782862103175,0.5634920634920635,0.564592352092352,0.9862894317150968,17.83276270740058,0.00123902942694889,0.015625,1.515721321105957,0.5477018124472358,313.61318760702056,0.5684931506849316,0.559525197025197,1.1533085018534626,21.521040424121935,0.001684979855172427,0.0234642551369863,1.9762012240004867,0.5540110088245608
lif_beta050,lif,0.5,22.542110013890053,[],[],71,49,17920,271.003573445568,0.9311531841652324,0.9281391868309109,0.8581225514107782,18.452534878657445,0.0012912787693646491,0.019154743975903613,0.33032802904021513,0.9302156505772804,212.27053881448413,0.5555555555555556,0.5550084175084175,0.744445427493928,15.931437099464489,0.001158595485055219,0.013051835317460318,1.4396520853042603,0.5532019988573136,231.25254842679794,0.5068493150684932,0.49133644133644133,0.8909787396497749,19.633656394963552,0.0013672253541303267,0.017364083904109588,1.8357589506123164,0.4887876841919557
syn_single_s4,syn,0.5,22.542110013890053,[4],[242.10347130039656],11,61,17920,253.8608709391136,0.9879518072289156,0.9884954066021399,0.7190449298239737,23.935242098916376,0.27404817661371844,7.254309649311532,0.11030865136194147,0.9884739214316096,203.28340463789684,0.4603174603174603,0.45900673400673403,0.658512499817107,21.875340180844525,0.3017442243322727,6.676680307539683,1.955152988433838,0.47295979986197373,191.57001484910103,0.4794520547945205,0.4668845043845043,0.6802779851382158,23.453818754141817,0.3375723381829795,7.720729880136986,1.9105719507557073,0.45057200556104055
syn_single_s4,syn,0.5,22.542110013890053,[4],[242.10347130039656],23,95,17920,272.0307827291308,0.9948364888123924,0.9949115971174795,0.7721199494248999,26.08483092434723,0.2639320081610624,7.509331970740103,0.06352838612900544,0.9949500299435753,217.8840525793651,0.47619047619047616,0.48214886964886966,0.7180460336925351,24.17772803090159,0.29656954143062203,7.199497767857143,2.0609753131866455,0.46861053600184027,204.66957907480736,0.4589041095890411,0.44472541347541344,0.7313882277084024,25.17900927766733,0.3260265832369731,7.868016909246576,2.129670051679219,0.4341588664172445
syn_single_s4,syn,0.5,22.542110013890053,[4],[242.10347130039656],37,15,17920,136.37548407917384,0.8674698795180723,0.8658098246312654,0.3928387973641072,23.696568241579715,0.2860437638185896,7.622290501290878,0.5938246898519808,0.8628150491610866,112.37291511656746,0.48412698412698413,0.4761002886002885,0.3692256987881515,22.19366166271618,0.3158799851165308,7.237692212301587,1.5270880460739136,0.46800264550264553,108.41835168289812,0.4520547945205479,0.44231948606948607,0.38533803351225115,23.21777667329357,0.3516101309688083,8.133213827054794,1.690217568449778,0.44487553303342775
syn_single_s4,syn,0.5,22.542110013890053,[4],[242.10347130039656],53,82,17920,252.8338129302926,0.9913941480206541,0.9916109435227082,0.7293405409262453,22.345227527760564,0.2743745592878663,6.783522482788296,0.08188843230192715,0.9916484718966142,200.60286458333334,0.48412698412698413,0.4744107744107744,0.6718693989041056,20.290141339654113,0.3039409964824363,6.257626488095238,1.9482592344284058,0.4619230781329202,188.80312566887844,0.4931506849315068,0.48239885114885106,0.6927523805733309,22.07061795891319,0.3346049196028655,7.169413527397261,2.0744141977127284,0.4715952412950271
