condition,architecture_family,beta,tau_mem_ms,shift_syn,tau_syn_ms,seed,probe_type,probe_C,val_ba,test_ba,test_accuracy,test_macro_f1
direct,direct,,,[],[],11,hidden_whole_count,1.0,0.5423340548340548,0.5139554889554888,0.5273972602739726,0.5018936867962301
direct,direct,,,[],[],11,hidden_fixed250_ordered,0.01,0.5880411255411254,0.642110667110667,0.6575342465753424,0.6354867189266167
direct,direct,,,[],[],11,hidden_relative10_ordered,0.01,0.6473063973063974,0.7153339715839716,0.7397260273972602,0.7174285682496636
direct,direct,,,[],[],11,hidden_uend,0.01,0.4270021645021646,0.45398767898767894,0.4589041095890411,0.4340103214998025
direct,direct,,,[],[],23,hidden_whole_count,10.0,0.5326899951899952,0.5378399378399378,0.547945205479452,0.5225037677699504
direct,direct,,,[],[],23,hidden_fixed250_ordered,1.0,0.5996572871572871,0.5990842490842491,0.6164383561643836,0.5986990634587889
direct,direct,,,[],[],23,hidden_relative10_ordered,1.0,0.6194023569023569,0.6447621822621822,0.6575342465753424,0.6585637373574261
direct,direct,,,[],[],23,hidden_uend,0.01,0.4299422799422799,0.36490453990453986,0.3767123287671233,0.36970179333764874
direct,direct,,,[],[],37,hidden_whole_count,0.1,0.5340007215007215,0.5637758075258075,0.5753424657534246,0.5644624413507618
direct,direct,,,[],[],37,hidden_fixed250_ordered,0.01,0.5673340548340549,0.6261002886002885,0.636986301369863,0.6243858700327176
direct,direct,,,[],[],37,hidden_relative10_ordered,0.01,0.6205808080808081,0.7174152236652236,0.7397260273972602,0.7191265840089827
direct,direct,,,[],[],37,hidden_uend,0.01,0.4038059163059163,0.3992139804639805,0.4178082191780822,0.39490046247035787
direct,direct,,,[],[],53,hidden_whole_count,10.0,0.5505411255411256,0.5228098290598291,0.5342465753424658,0.5157559911316305
direct,direct,,,[],[],53,hidden_fixed250_ordered,0.01,0.5443241943241944,0.6574966699966699,0.6712328767123288,0.653556891785736
direct,direct,,,[],[],53,hidden_relative10_ordered,0.01,0.6444925444925445,0.7077200577200577,0.726027397260274,0.7103824155235446
direct,direct,,,[],[],53,hidden_uend,0.01,0.4069264069264069,0.46551365301365294,0.4726027397260274,0.46865260386765756
direct,direct,,,[],[],71,hidden_whole_count,0.01,0.5045695045695046,0.5810987623487623,0.6027397260273972,0.5653630647476149
direct,direct,,,[],[],71,hidden_fixed250_ordered,1.0,0.5429713804713804,0.6004821567321567,0.6164383561643836,0.6021233087899754
direct,direct,,,[],[],71,hidden_relative10_ordered,1.0,0.630940355940356,0.6622655122655122,0.678082191780822,0.6608761397443701
direct,direct,,,[],[],71,hidden_uend,0.01,0.3437590187590187,0.41665903540903537,0.4383561643835616,0.4110200530424108
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,hidden_whole_count,0.1,0.5068542568542568,0.5360042735042735,0.541095890410959,0.524753276958119
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,hidden_fixed250_ordered,0.01,0.5621151996151995,0.5557310744810745,0.5753424657534246,0.5500042456731052
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,hidden_relative10_ordered,0.01,0.5925444925444926,0.5937763625263625,0.6164383561643836,0.5776349885423712
lif_tau242,lif,0.9375,242.10347130039656,[],[],11,hidden_uend,0.01,0.5288780663780663,0.5691731879231878,0.5821917808219178,0.572267258788998
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,hidden_whole_count,0.01,0.5264309764309764,0.5644209956709957,0.589041095890411,0.5666364030992513
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,hidden_fixed250_ordered,10.0,0.572540885040885,0.5407190032190031,0.5547945205479452,0.5502013587643102
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,hidden_relative10_ordered,0.1,0.5752465127465127,0.6161588411588411,0.6301369863013698,0.6182689518495145
lif_tau242,lif,0.9375,242.10347130039656,[],[],23,hidden_uend,0.01,0.5225348725348725,0.5148101898101898,0.5273972602739726,0.5258950042973566
lif_tau242,lif,0.9375,242.10347130039656,[],[],37,hidden_whole_count,0.001,0.5064574314574314,0.5033730158730158,0.5273972602739726,0.4863897941487076
