architecture,seed,sample_index,label,length,routing_disagreement_rate,mean_abs_bin_error,within1_bin_accuracy
gru64_progress,71,0,8,57,0.8421052631578947,1.1403508771929824,0.7192982456140351
gru64_progress,71,1,1,102,0.7647058823529411,0.9509803921568627,0.8235294117647058
gru64_progress,71,2,11,70,0.6142857142857143,0.9714285714285714,0.6857142857142857
gru64_progress,71,3,4,114,0.7543859649122807,1.1666666666666667,0.6491228070175439
gru64_progress,71,4,5,109,0.5779816513761468,0.7522935779816514,0.8348623853211009
gru64_progress,71,5,2,72,0.4305555555555556,0.4583333333333333,0.9861111111111112
gru64_progress,71,6,7,93,0.23655913978494625,0.25806451612903225,0.989247311827957
gru64_progress,71,7,3,95,0.3894736842105263,0.4421052631578947,0.9578947368421052
gru64_progress,71,8,6,102,0.5588235294117647,0.5784313725490197,0.9901960784313726
gru64_progress,71,9,0,109,0.7064220183486238,1.0091743119266054,0.7155963302752294
gru64_progress,71,10,9,108,0.5925925925925926,0.6203703703703703,0.9814814814814815
gru64_progress,71,11,0,104,0.49038461538461536,0.5480769230769231,0.9519230769230769
gru64_progress,71,12,5,114,0.6842105263157895,1.1140350877192982,0.6228070175438597
gru64_progress,71,13,6,102,0.29411764705882354,0.3137254901960784,0.9901960784313726
gru64_progress,71,14,4,115,0.782608695652174,1.2956521739130435,0.6173913043478261
gru64_progress,71,15,3,95,0.3894736842105263,0.4105263157894737,0.9894736842105263
gru64_progress,71,16,8,58,0.7241379310344828,1.3448275862068966,0.5517241379310345
gru64_progress,71,17,7,91,0.2967032967032967,0.31868131868131866,0.989010989010989
gru64_progress,71,18,1,119,0.7478991596638656,0.9915966386554622,0.7647058823529411
gru64_progress,71,19,11,86,0.37209302325581395,0.4883720930232558,0.8953488372093024
gru64_progress,71,20,9,103,0.4368932038834951,0.4563106796116505,0.9902912621359223
gru64_progress,71,21,2,70,0.7142857142857143,0.8571428571428571,0.8714285714285714
gru64_progress,71,22,10,61,0.8688524590163934,1.7540983606557377,0.36065573770491804
gru64_progress,71,23,9,108,0.5277777777777778,0.5648148148148148,0.9722222222222222
gru64_progress,71,24,11,94,0.574468085106383,0.5957446808510638,0.9893617021276596
gru64_progress,71,25,2,76,0.4473684210526316,0.47368421052631576,0.9868421052631579
gru64_progress,71,26,0,119,0.7310924369747899,0.8991596638655462,0.8487394957983193
gru64_progress,71,27,10,77,0.3116883116883117,0.33766233766233766,0.987012987012987
gru64_progress,71,28,6,110,0.5,0.5272727272727272,0.9818181818181818
gru64_progress,71,29,1,126,0.4365079365079365,0.4523809523809524,0.9920634920634921
gru64_progress,71,30,7,98,0.4489795918367347,0.46938775510204084,0.9897959183673469
gru64_progress,71,31,5,113,0.6902654867256637,1.3097345132743363,0.6283185840707964
gru64_progress,71,32,4,125,0.64,1.136,0.696
gru64_progress,71,33,8,46,0.9347826086956522,2.3043478260869565,0.2826086956521739
gru64_progress,71,34,1,77,0.2727272727272727,0.2987012987012987,0.987012987012987
gru64_progress,71,35,11,58,0.8620689655172413,1.2413793103448276,0.6379310344827587
gru64_progress,71,36,4,88,0.4772727272727273,0.5795454545454546,0.9090909090909091
gru64_progress,71,37,5,112,0.8125,1.7142857142857142,0.44642857142857145
gru64_progress,71,38,2,60,0.9,1.8,0.4
gru64_progress,71,39,7,49,0.9387755102040817,1.7959183673469388,0.3673469387755102
gru64_progress,71,40,3,83,0.5662650602409639,0.6867469879518072,0.891566265060241
gru64_progress,71,41,6,87,0.5402298850574713,0.5747126436781609,0.9770114942528736
gru64_progress,71,42,0,84,0.38095238095238093,0.40476190476190477,0.9880952380952381
gru64_progress,71,43,9,71,0.4647887323943662,0.5070422535211268,0.971830985915493
gru64_progress,71,44,5,113,0.7168141592920354,1.3185840707964602,0.5221238938053098
gru64_progress,71,45,8,52,0.9038461538461539,2.0384615384615383,0.34615384615384615
gru64_progress,71,46,3,78,0.6025641025641025,0.6794871794871795,0.9358974358974359
gru64_progress,71,47,4,94,0.26595744680851063,0.2872340425531915,0.9893617021276596
gru64_progress,71,48,6,87,0.5057471264367817,0.5517241379310345,0.9655172413793104
gru64_progress,71,49,1,102,0.5490196078431373,0.5686274509803921,0.9901960784313726
gru64_progress,71,50,10,55,0.8909090909090909,1.4363636363636363,0.4909090909090909
gru64_progress,71,51,0,131,0.7633587786259542,1.2366412213740459,0.6335877862595419
gru64_progress,71,52,9,80,0.6375,0.8,0.85
gru64_progress,71,53,7,62,0.8387096774193549,1.6451612903225807,0.45161290322580644
