architecture,seed,sample_index,label,length,routing_disagreement_rate,mean_abs_bin_error,within1_bin_accuracy
gru64_progress,23,0,8,57,0.5964912280701754,0.9298245614035088,0.7017543859649122
gru64_progress,23,1,1,102,0.39215686274509803,0.4117647058823529,0.9901960784313726
gru64_progress,23,2,11,70,0.8428571428571429,1.5571428571428572,0.38571428571428573
gru64_progress,23,3,4,114,0.7631578947368421,1.263157894736842,0.5877192982456141
gru64_progress,23,4,5,109,0.44036697247706424,0.46788990825688076,0.981651376146789
gru64_progress,23,5,2,72,0.2777777777777778,0.3055555555555556,0.9861111111111112
gru64_progress,23,6,7,93,0.5913978494623656,0.7204301075268817,0.8817204301075269
gru64_progress,23,7,3,95,0.5368421052631579,0.6210526315789474,0.9263157894736842
gru64_progress,23,8,6,102,0.5882352941176471,0.6078431372549019,0.9901960784313726
gru64_progress,23,9,0,109,0.6238532110091743,0.6605504587155964,0.9724770642201835
gru64_progress,23,10,9,108,0.49074074074074076,0.5092592592592593,0.9907407407407407
gru64_progress,23,11,0,104,0.5384615384615384,0.5576923076923077,0.9903846153846154
gru64_progress,23,12,5,114,0.6491228070175439,0.8771929824561403,0.7894736842105263
gru64_progress,23,13,6,102,0.17647058823529413,0.19607843137254902,0.9901960784313726
gru64_progress,23,14,4,115,0.782608695652174,1.373913043478261,0.591304347826087
gru64_progress,23,15,3,95,0.5789473684210527,0.6421052631578947,0.9473684210526315
gru64_progress,23,16,8,58,0.8793103448275862,1.5517241379310345,0.5517241379310345
gru64_progress,23,17,7,91,0.7142857142857143,1.4395604395604396,0.5274725274725275
gru64_progress,23,18,1,119,0.773109243697479,1.3445378151260505,0.5462184873949579
gru64_progress,23,19,11,86,0.3023255813953488,0.3372093023255814,0.9767441860465116
gru64_progress,23,20,9,103,0.5048543689320388,0.5339805825242718,0.9805825242718447
gru64_progress,23,21,2,70,0.2857142857142857,0.3142857142857143,0.9857142857142858
gru64_progress,23,22,10,61,0.7540983606557377,1.2459016393442623,0.6229508196721312
gru64_progress,23,23,9,108,0.6203703703703703,0.7037037037037037,0.9259259259259259
gru64_progress,23,24,11,94,0.7340425531914894,0.8617021276595744,0.8829787234042553
gru64_progress,23,25,2,76,0.40789473684210525,0.4473684210526316,0.9736842105263158
gru64_progress,23,26,0,119,0.7058823529411765,1.134453781512605,0.6470588235294118
gru64_progress,23,27,10,77,0.5584415584415584,0.6233766233766234,0.948051948051948
gru64_progress,23,28,6,110,0.6363636363636364,0.9181818181818182,0.7272727272727273
gru64_progress,23,29,1,126,0.7301587301587301,0.8809523809523809,0.8571428571428571
gru64_progress,23,30,7,98,0.7244897959183674,1.3265306122448979,0.5306122448979592
gru64_progress,23,31,5,113,0.831858407079646,1.4424778761061947,0.504424778761062
gru64_progress,23,32,4,125,0.816,1.688,0.448
gru64_progress,23,33,8,46,0.9347826086956522,2.760869565217391,0.2826086956521739
gru64_progress,23,34,1,77,0.2857142857142857,0.3116883116883117,0.987012987012987
gru64_progress,23,35,11,58,0.896551724137931,1.7413793103448276,0.39655172413793105
gru64_progress,23,36,4,88,0.7272727272727273,1.3522727272727273,0.5
gru64_progress,23,37,5,112,0.7053571428571429,0.8928571428571429,0.8214285714285714
gru64_progress,23,38,2,60,0.8833333333333333,1.1666666666666667,0.7333333333333333
gru64_progress,23,39,7,49,0.9387755102040817,2.2244897959183674,0.2857142857142857
gru64_progress,23,40,3,83,0.5421686746987951,0.6626506024096386,0.891566265060241
gru64_progress,23,41,6,87,0.632183908045977,0.8735632183908046,0.7701149425287356
gru64_progress,23,42,0,84,0.7380952380952381,0.9166666666666666,0.8333333333333334
gru64_progress,23,43,9,71,0.7746478873239436,0.9577464788732394,0.8309859154929577
gru64_progress,23,44,5,113,0.7964601769911505,1.345132743362832,0.5752212389380531
gru64_progress,23,45,8,52,0.9038461538461539,2.0384615384615383,0.40384615384615385
gru64_progress,23,46,3,78,0.782051282051282,1.064102564102564,0.7307692307692307
gru64_progress,23,47,4,94,0.23404255319148937,0.2553191489361702,0.9893617021276596
gru64_progress,23,48,6,87,0.5057471264367817,0.5287356321839081,0.9885057471264368
gru64_progress,23,49,1,102,0.3235294117647059,0.3431372549019608,0.9901960784313726
gru64_progress,23,50,10,55,0.8909090909090909,2.2,0.38181818181818183
gru64_progress,23,51,0,131,0.7175572519083969,0.8549618320610687,0.8702290076335878
gru64_progress,23,52,9,80,0.75,1.1,0.6625
gru64_progress,23,53,7,62,0.8709677419354839,1.403225806451613,0.5
gru64_progress,23,54,6,75,0.4666666666666667,0.52,0.96
gru64_progress,23,55,4,94,0.3191489361702128,0.35106382978723405,0.9787234042553191
gru64_progress,23,56,3,79,0.3670886075949367,0.4050632911392405,0.9746835443037974
gru64_progress,23,57,8,57,0.8947368421052632,1.5964912280701755,0.40350877192982454
gru64_progress,23,58,7,50,0.92,2.14,0.46
gru64_progress,23,59,1,124,0.7419354838709677,0.8548387096774194,0.8951612903225806
gru64_progress,23,60,11,62,0.7258064516129032,1.2741935483870968,0.5967741935483871
gru64_progress,23,61,9,86,0.27906976744186046,0.3023255813953488,0.9883720930232558
gru64_progress,23,62,2,54,0.7222222222222222,0.7962962962962963,0.9444444444444444
gru64_progress,23,63,10,54,0.9074074074074074,1.9444444444444444,0.4444444444444444
gru64_progress,23,64,8,54,0.9074074074074074,2.074074074074074,0.3888888888888889
gru64_progress,23,65,1,81,0.30864197530864196,0.3333333333333333,0.9876543209876543
gru64_progress,23,66,11,68,0.5735294117647058,0.6029411764705882,0.9852941176470589
gru64_progress,23,67,4,83,0.4578313253012048,0.4939759036144578,0.9759036144578314
gru64_progress,23,68,5,74,0.3108108108108108,0.33783783783783783,0.9864864864864865
gru64_progress,23,69,2,57,0.8947368421052632,2.4035087719298245,0.38596491228070173
gru64_progress,23,70,7,48,0.9375,2.5,0.3333333333333333
gru64_progress,23,71,3,68,0.8088235294117647,1.0147058823529411,0.8088235294117647
