epoch,train_total_loss,val_total_loss,train_wholecount_ce,val_wholecount_ce,train_hce_loss,val_hce_loss,train_cg_loss,val_cg_loss,train_orig_margin,val_orig_margin,train_rev_margin,val_rev_margin,train_mid_gain,val_mid_gain,train_long_gain,val_long_gain,train_accuracy,val_accuracy,train_ba,val_ba
1,3.161910167864801,3.1798057556152344,2.470528840608318,2.4876396656036377,0.6913813070463026,0.6921661496162415,0.0,0.0,-2.3886687755584717,-2.390336036682129,-2.3923730850219727,-2.3923821449279785,,,,,0.08261617900172118,0.05555555555555555,0.08344907407407408,0.08333333333333333
2,3.1553756341261217,3.17445969581604,2.465120558894645,2.482145309448242,0.690255021679627,0.6923144459724426,0.0,0.0,-2.384793281555176,-2.3862569332122803,-2.3907177448272705,-2.3880221843719482,,,,,0.0774526678141136,0.047619047619047616,0.07833867521367521,0.07142857142857142
3,3.1444434106042176,3.1668858528137207,2.455500436116414,2.4744515419006348,0.6889429815664965,0.6924341917037964,0.0,0.0,-2.380731725692749,-2.38218355178833,-2.389389705657959,-2.383732318878174,,,,,0.08605851979345955,0.047619047619047616,0.08759793447293446,0.07142857142857142
4,3.125978743147727,3.136167287826538,2.4383227583052984,2.443795680999756,0.6876559181590909,0.6923715472221375,0.0,0.0,-2.376768779754639,-2.376936197280884,-2.388090944290161,-2.3786399364471436,,,,,0.08777969018932874,0.0873015873015873,0.09002314814814816,0.10119047619047618
5,3.108555398996849,3.09867525100708,2.42201340547322,2.406419038772583,0.6865420137338096,0.6922562122344971,0.0,0.0,-2.3722157001495363,-2.3703091144561768,-2.385874605178833,-2.372265577316284,,,,,0.11359724612736662,0.12698412698412698,0.11345679012345677,0.13095238095238096
6,3.0895225689866663,3.083376884460449,2.4042486249887594,2.391850471496582,0.685273950050702,0.6915263533592224,0.0,0.0,-2.367538022994995,-2.366445541381836,-2.3837533473968504,-2.369882822036743,,,,,0.11703958691910499,0.12698412698412698,0.11445216049382717,0.1359126984126984
7,3.065527945500438,3.0700461864471436,2.3814529428793927,2.379551887512207,0.684075015752533,0.6904942989349365,0.0,0.0,-2.3642560482025146,-2.3633065223693848,-2.3828738212585447,-2.3688483238220215,,,,,0.1549053356282272,0.15079365079365079,0.14883250237416903,0.15178571428571427
8,3.0417324474879672,3.0490529537200928,2.3588945918977773,2.3591794967651367,0.68283792124763,0.6898735165596008,0.0,0.0,-2.359346055984497,-2.358917713165283,-2.3805404186248778,-2.365724563598633,,,,,0.16523235800344235,0.14285714285714285,0.1583386752136752,0.14484126984126985
9,3.0157624546714166,3.019730567932129,2.3340211390628256,2.3302228450775146,0.6817413297659763,0.6895077228546143,0.0,0.0,-2.3542922496795655,-2.353200912475586,-2.377837562561035,-2.360764503479004,,,,,0.1703958691910499,0.15873015873015872,0.16562262583095919,0.15376984126984125
10,2.986819188073662,3.0099124908447266,2.3063976670296387,2.321150779724121,0.6804214947810476,0.6887616515159607,0.0,0.0,-2.348328876495361,-2.34932804107666,-2.374626636505127,-2.3583920001983643,,,,,0.18588640275387264,0.15873015873015872,0.17998434392302318,0.15376984126984128
11,2.96574693579682,3.002120018005371,2.286767361291304,2.3142011165618896,0.6789795947156962,0.6879187822341919,0.0,0.0,-2.342677879333496,-2.344730854034424,-2.3720863819122315,-2.3555188179016113,,,,,0.1944922547332186,0.1746031746031746,0.18844196276586211,0.16765873015873015
12,2.9337352204445923,2.9802603721618652,2.256293213100729,2.2927653789520264,0.6774419881595802,0.6874949336051941,0.0,0.0,-2.337560749053955,-2.337829113006592,-2.3702484130859376,-2.349544048309326,,,,,0.22719449225473323,0.19047619047619047,0.22196136599831573,0.18293650793650795
