epoch,train_objective_loss,train_output_whole_count_ba,val_output_whole_count_loss,val_output_whole_count_ba
1,2.4943333217896613,0.06691965005644251,2.4848415851593018,0.08333333333333333
2,2.484635457729924,0.0892267488218746,2.4849069118499756,0.08333333333333333
3,2.480452620839498,0.08705975962658352,2.4840266704559326,0.09722222222222222
4,2.4769854529178903,0.09629237667759681,2.4836418628692627,0.09722222222222222
5,2.473423199891634,0.10395863570391874,2.4836275577545166,0.09722222222222222
6,2.4686745280037647,0.10779773423641348,2.4796783924102783,0.10416666666666667
7,2.4606081750019486,0.11075720313927863,2.479666233062744,0.09226190476190475
8,2.4532486973859355,0.12987407944955112,2.4644198417663574,0.12698412698412698
9,2.443476690893124,0.14618406081456395,2.425083875656128,0.14087301587301587
10,2.430004870009299,0.14871070302280995,2.403470277786255,0.1431878306878307
11,2.4202468477304953,0.15767263120643624,2.4008395671844482,0.1597222222222222
12,2.4008446872336933,0.168552361626261,2.3970654010772705,0.14781746031746032
13,2.390321408204491,0.18605644922861905,2.373994827270508,0.1550925925925926
14,2.3750570842197964,0.19129634109193858,2.375182628631592,0.1550925925925926
15,2.3580046660313303,0.2006690677130929,2.360790967941284,0.16898148148148148
16,2.345832142690373,0.2160690480030103,2.3658902645111084,0.17037037037037037
17,2.3311187375638243,0.2309622439929044,2.3557651042938232,0.19120370370370374
18,2.3142525649111776,0.2364869353509291,2.335296392440796,0.1955026455026455
19,2.300503707383463,0.2669316328907524,2.347621440887451,0.20601851851851852
20,2.291008222123637,0.26335009810245663,2.325949192047119,0.20105820105820107
21,2.273059578237353,0.27398773047357955,2.332925319671631,0.1960978835978836
22,2.258878537997116,0.2949287973265961,2.33127760887146,0.2080026455026455
23,2.2340318865291837,0.30498703166156,2.3328375816345215,0.23855820105820105
24,2.2218964748251255,0.3262869900016126,2.3114125728607178,0.20224867724867726
25,2.194302783365299,0.33845635204842567,2.3244800567626953,0.23855820105820105
26,2.1830382999577744,0.3374519724838814,2.2825136184692383,0.21970899470899471
27,2.1723765932959656,0.3365658824003719,2.283494710922241,0.21970899470899471
28,2.1614960114024386,0.3520622543486029,2.276865005493164,0.22804232804232805
29,2.141806164624974,0.35517630181406545,2.2595551013946533,0.2585978835978836
30,2.128560537725636,0.3653634316571331,2.2614023685455322,0.24054232804232809
31,2.1076743212911637,0.38412236707024916,2.253394365310669,0.24470899470899468
32,2.1010882296373428,0.39087806507594697,2.240784168243408,0.22645502645502646
33,2.0703022537461244,0.4034302967948455,2.2488205432891846,0.2619708994708995
34,2.057880122567208,0.41090836932794944,2.2495410442352295,0.22982804232804235
35,2.039556244769728,0.43464492207139266,2.2096848487854004,0.26752645502645506
