epoch,train_objective_loss,train_output_whole_count_ba,val_output_whole_count_loss,val_output_whole_count_ba
1,2.4871234692722917,0.07862895097564909,2.4854395389556885,0.07142857142857142
2,2.4781808147331934,0.0915349674783637,2.4859719276428223,0.08333333333333333
3,2.47093839202198,0.1062625315809278,2.4856791496276855,0.07837301587301587
4,2.4696930070341967,0.10530811562651186,2.4856014251708984,0.09027777777777778
5,2.4606423377990723,0.12367353383862817,2.4825944900512695,0.1111111111111111
6,2.4568681503532264,0.12840119873138742,2.479698896408081,0.10416666666666667
7,2.4471659229462404,0.13699450357469226,2.464125156402588,0.11805555555555554
8,2.4379736445651816,0.15833848351467664,2.4347259998321533,0.1388888888888889
9,2.4274608079414564,0.1656072036135854,2.4206948280334473,0.16805555555555554
10,2.4101665545248534,0.18260398188464222,2.406247138977051,0.15615079365079362
11,2.4008211289338526,0.1855045893135516,2.404172897338867,0.16805555555555554
12,2.3830934063292615,0.20393951784605688,2.391960382461548,0.15813492063492066
13,2.3692190712782684,0.21262558458313174,2.371701717376709,0.16646825396825396
14,2.35062091444938,0.2299713966648854,2.371784210205078,0.1680555555555556
15,2.3341080375054206,0.2471966873886038,2.364093065261841,0.17837301587301588
16,2.318944105387965,0.26297561641438816,2.34130597114563,0.2061507936507936
17,2.30082412348762,0.28979244927288766,2.344696283340454,0.20416666666666664
18,2.2845558709819223,0.29631125540578,2.344771146774292,0.18591269841269842
19,2.2658146022724406,0.32300367956675763,2.335444688796997,0.19087301587301586
20,2.2463298943695227,0.3313264971230657,2.3251795768737793,0.18888888888888888
21,2.2282348996390575,0.34492883948720054,2.3108725547790527,0.19067460317460316
22,2.213597486023238,0.3591995585257701,2.3080761432647705,0.16646825396825396
23,2.1944362218531808,0.3815606656843246,2.303421974182129,0.20119047619047617
24,2.1770226114177866,0.3756290098687434,2.298555850982666,0.18095238095238095
25,2.1630182249820993,0.3846191566719684,2.2821319103240967,0.1878968253968254
26,2.142092021935573,0.4190465524219686,2.276512622833252,0.20873015873015874
27,2.118490282311497,0.4227017239998187,2.262204885482788,0.20813492063492064
28,2.1029609558709517,0.43085755460061786,2.264875888824463,0.2339285714285714
29,2.086674419409642,0.44071520129580616,2.250516891479492,0.22123015873015872
