epoch,train_objective_loss,train_output_whole_count_ba,val_output_whole_count_loss,val_output_whole_count_ba
1,2.4829587390623895,0.07678062678062679,2.486018419265747,0.10833333333333334
2,2.4782255873622665,0.08226495726495726,2.4865121841430664,0.08333333333333333
3,2.4738808080374475,0.08319978632478632,2.4871535301208496,0.08333333333333333
4,2.4689951201519333,0.08333333333333333,2.485867500305176,0.08333333333333333
5,2.461797173790595,0.08333333333333333,2.481950283050537,0.08333333333333333
6,2.453011877975858,0.08493589743589743,2.4717226028442383,0.08333333333333333
7,2.441178819603846,0.08701923076923075,2.4566123485565186,0.09166666666666667
8,2.4279209804206623,0.08868589743589743,2.4392290115356445,0.09861111111111111
9,2.4186907594257296,0.10945750237416906,2.4246480464935303,0.14583333333333334
10,2.407648618373116,0.13203713782723217,2.41519832611084,0.12341269841269842
11,2.3946152250450776,0.16401958017524057,2.409505605697632,0.10952380952380952
12,2.382015914802092,0.14770013573079613,2.4040119647979736,0.1263888888888889
13,2.366088921354888,0.14284291064165278,2.3867740631103516,0.14722222222222223
14,2.347663434975734,0.1779671625544267,2.358607530593872,0.1496031746031746
15,2.3252038327839206,0.19540407909118604,2.3369295597076416,0.14464285714285716
16,2.3020216823650106,0.22061680239746276,2.3149077892303467,0.19695767195767197
17,2.2773228417985822,0.2163662782884481,2.287151575088501,0.18373015873015874
18,2.25050481338304,0.26981945116379075,2.2459523677825928,0.2378306878306878
19,2.221449408391667,0.269745795928972,2.242417097091675,0.21468253968253967
20,2.186405437948782,0.2605057204035192,2.1989853382110596,0.2296957671957672
21,2.155437357454415,0.2961619429661882,2.156597852706909,0.29623015873015873
22,2.116175615028342,0.3412397417979179,2.140101671218872,0.2623677248677249
23,2.0894975506295026,0.2981539827805551,2.104712963104248,0.2653138528138528
24,2.0595148282699456,0.31755565858553275,2.078951835632324,0.2773809523809524
25,2.029998399304441,0.3379838028180148,2.0540146827697754,0.29894179894179895
26,2.007798809192677,0.37108638128153476,2.028172731399536,0.30264550264550266
27,1.9840304683284793,0.3565373726090984,2.041306972503662,0.3034752284752285
28,1.9651760874434716,0.36465181928278495,1.9952603578567505,0.3180916305916306
29,1.9411801737885468,0.3779424538051526,1.9663118124008179,0.33445767195767195
30,1.910684082881514,0.38983193531403854,1.969802737236023,0.3216630591630592
31,1.8890399452741298,0.4082242737308867,1.9507347345352173,0.40179773929773926
32,1.8709790985678643,0.42708736889369514,1.9321790933609009,0.3958092833092833
33,1.8499934238328786,0.40769312718905765,1.9001537561416626,0.3529761904761905
34,1.8344508401292943,0.42297107558553165,1.9245468378067017,0.3270863395863396
35,1.8127623716443009,0.43708272266332754,1.87782883644104,0.42792207792207787
36,1.7904713317982712,0.4510819557780819,1.9133723974227905,0.3633658008658009
37,1.7740065337458495,0.44912883024416805,1.8621153831481934,0.41648629148629146
38,1.7556943181459752,0.460635244453135,1.8412717580795288,0.4368506493506494
39,1.7395416309419065,0.47229421742573946,1.8798922300338745,0.37047258297258295
40,1.728059983294515,0.4836840082413101,1.8274708986282349,0.4084415584415584
41,1.7106488975928695,0.491559577626224,1.8412485122680664,0.43579846079846085
42,1.6971070569476654,0.4923665011658937,1.8266786336898804,0.4076839826839826
43,1.687465923583446,0.4979519414286862,1.8348971605300903,0.41697330447330455
44,1.6705497456089355,0.4912562056414765,1.7965388298034668,0.42371933621933616
45,1.6565666717834604,0.5138403555730182,1.8083888292312622,0.4501443001443002
46,1.6499712926795684,0.5288725382457035,1.8123106956481934,0.41558441558441567
47,1.6285416417195753,0.5474842006534689,1.7686179876327515,0.4425685425685426
48,1.6209851782416314,0.532812301511529,1.7789860963821411,0.4491822991822992
49,1.6169543867472322,0.5302498703051404,1.7600873708724976,0.4689574314574316
50,1.6038156089191797,0.5588156054919015,1.7586926221847534,0.46419552669552666
51,1.5849189762404372,0.5555563021850106,1.7569760084152222,0.438864838864839
52,1.5771205778171191,0.5624960318881053,1.7296720743179321,0.5036796536796537
53,1.5678978001189108,0.5858906992320955,1.7356212139129639,0.479040404040404
54,1.5618025934429465,0.5567209832104572,1.7504527568817139,0.4279521404521405
55,1.5435118619833468,0.5763020431649449,1.7148830890655518,0.45490019240019247
56,1.5279509939137916,0.6211625124743537,1.7389092445373535,0.43499278499278504
57,1.5171056873006377,0.611278282328012,1.7084404230117798,0.49554473304473307
58,1.5093054588813586,0.6036156010667381,1.7318446636199951,0.4293049543049543
59,1.4948774371007634,0.6243743415805596,1.701317548751831,0.45804473304473303
60,1.4880261224231293,0.6249148399139747,1.725264072418213,0.46019119769119765
61,1.4712651610989989,0.6166153274180645,1.7006102800369263,0.4577140452140452
62,1.4637739836861878,0.6455894361488355,1.692549228668213,0.4990800865800866
63,1.454560483999794,0.660149359679019,1.6953601837158203,0.5003427128427128
64,1.448294849486031,0.6420053781418618,1.6921395063400269,0.4907828282828283
65,1.4404074540441911,0.6474061503881343,1.6801960468292236,0.4884319384319385
66,1.421177578875202,0.6821936233921723,1.6858230829238892,0.47348484848484845
67,1.424930498850325,0.6526813398150503,1.68450129032135,0.49740259740259735
68,1.404824060129832,0.6601676303297336,1.679307222366333,0.49709595959595965
69,1.3939287248043513,0.682000636561377,1.6696381568908691,0.4788419913419913
70,1.3862395286560059,0.6916207839650506,1.6602517366409302,0.4718975468975468
71,1.3776806679116673,0.6837687619790093,1.671090841293335,0.4606541606541606
72,1.3680879487022886,0.6793374895996759,1.6435637474060059,0.5318181818181819
73,1.3659124331301953,0.6937791745008041,1.6527093648910522,0.466504329004329
74,1.3563194250280803,0.700280555787609,1.6578389406204224,0.46419552669552666
