metric,A_raw_reference,B_raw_to_reconstruction
CNN_test_balanced_accuracy,0.32860750360750357,0.1613997113997114
CNN_test_accuracy,0.3333333333333333,0.16666666666666666
CNN_test_macro_f1,0.33098555310887606,0.1341923110825666
kNN_selected_k,15.0,15.0
kNN_test_balanced_accuracy,0.3628607503607504,0.1829906204906205
kNN_test_accuracy,0.3492063492063492,0.19047619047619047
kNN_test_macro_f1,0.3366760139297634,0.17595794267984086
prototype_test_balanced_accuracy,0.2872925685425685,0.235551948051948
prototype_test_accuracy,0.2857142857142857,0.23809523809523808
prototype_test_macro_f1,0.28738795926295924,0.20848576374892167
linear_probe_test_balanced_accuracy,0.3231150793650793,0.1379148629148629
linear_probe_test_accuracy,0.3253968253968254,0.14285714285714285
linear_probe_test_macro_f1,0.3141768214044092,0.103056884635832
retrieval_macro_mAP,0.1620097883407113,0.13037718178519886
retrieval_micro_mAP,0.1630303169195102,0.13274160156716175
SameLabel_macro_at_1,0.20202922077922078,0.09558080808080809
SameLabel_micro_at_1,0.1984126984126984,0.10317460317460317
D_intra_macro,0.05068481429714133,0.037578881555940025
D_inter_centroids,0.020337797701358795,0.012892508879303932
D_inter_over_D_intra,0.4012601798583409,0.3430785682050976
NMI_arithmetic,0.371764613427743,0.3500829801346168
ARI,0.10798339104999496,0.0719949196139653
silhouette_macro,-0.19170568061341442,-0.259324749772303
silhouette_micro,-0.20532385285950047,-0.2672305838103439
