label_idx,label,test_samples,intra_cosine_distance
0,A,11,0.02866327908484978
1,B,9,0.0316423962216964
2,C,12,0.06490152117827952
3,D,11,0.04084800300938096
4,E,12,0.03632401262309315
5,G,12,0.03856676163992856
6,H,12,0.045268503869336785
7,I,11,0.03873645772747236
8,J,12,0.06726913467605777
9,K,12,0.040503327019594026
10,L,6,0.039417309952552215
11,X,7,0.07090589375814016
