objective,seed,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_hidden_1_firing_rate,train_hidden_2_firing_rate,train_output_firing_rate,train_output_full_window_firing_rate,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_hidden_1_firing_rate,val_hidden_2_firing_rate,val_output_firing_rate,val_output_full_window_firing_rate,val_silent_output_fraction
fixed_250ms_ce,11,1,2.48546937246536,0.08777969018932874,0.08333333333333333,0.013556618819776713,0.0002275434622406083,5.260061634314235e-05,6.2806706081364e-05,3.417688611589214e-05,2.4886562824249268,0.0873015873015873,0.08333333333333333,0.01338199513381995,5.006693881134229e-05,0.0,0.0,0.0,1.0
fixed_250ms_ce,11,2,2.482633611216192,0.09122203098106713,0.08650822447992258,0.019831073841136734,0.00023866548310918318,6.189077495101077e-05,0.0001172391846852128,6.163045037292025e-05,2.4883363246917725,0.0873015873015873,0.08333333333333333,0.01338199513381995,5.075278728820999e-05,0.0,0.0,0.0,1.0
fixed_250ms_ce,11,3,2.479717786874295,0.0963855421686747,0.09170709473382428,0.029879979365263185,0.00025292783928182623,7.392872694993887e-05,0.00018562870908492025,9.468678284566838e-05,2.4880542755126953,0.0873015873015873,0.08333333333333333,0.01338199513381995,5.486787814941621e-05,0.0,0.0,0.0,1.0
fixed_250ms_ce,11,4,2.475543301610241,0.09466437177280551,0.09016500474833807,0.0270041304927741,0.00027268578223658865,9.643446329576097e-05,0.00028891084797427437,0.00015407612593230062,2.487788438796997,0.0873015873015873,0.08333333333333333,0.01338199513381995,5.966881748749012e-05,0.0,0.0,0.0,1.0
fixed_250ms_ce,11,5,2.4711387354412504,0.0963855421686747,0.09170590896682274,0.0329098361302443,0.0002896959318002914,0.00011095851407707639,0.0003545089632148101,0.00019273522662076879,2.4875073432922363,0.0873015873015873,0.08333333333333333,0.01338199513381995,6.652730225616715e-05,0.0,0.0,0.0,1.0
fixed_250ms_ce,11,6,2.467120738940477,0.0981067125645439,0.09330847306938685,0.03597158389496171,0.00030788370710301975,0.0001317632354665282,0.00043127271509203275,0.00023139432730923695,2.4872567653656006,0.0873015873015873,0.08333333333333333,0.01338199513381995,6.927069616363796e-05,6.858484768677026e-07,0.0,0.0,1.0
fixed_250ms_ce,11,7,2.461740609495652,0.10327022375215146,0.09805569126000128,0.04495533338859259,0.00032620232971008426,0.00015662422329040145,0.0005610732409935184,0.0002924645008605852,2.487030029296875,0.0873015873015873,0.08333333333333333,0.01338199513381995,7.407163550171187e-05,2.057545430603108e-06,0.0,0.0,1.0
fixed_250ms_ce,11,8,2.456063472465476,0.10154905335628227,0.097817074138709,0.047117817109459025,0.0003468762037951999,0.0001856723248530323,0.0006811038348379029,0.0003546552280550775,2.486816883087158,0.0873015873015873,0.08333333333333333,0.01338199513381995,7.81867263629181e-05,4.115090861206216e-06,0.0,0.0,1.0
fixed_250ms_ce,11,9,2.4511213446237954,0.10327022375215146,0.09827355618374857,0.0476783602936575,0.00038102735022694156,0.00023460921667476175,0.0009253521362654295,0.0004683914228341939,2.486638069152832,0.0873015873015873,0.08333333333333333,0.01338199513381995,8.641690808533053e-05,6.1726362918093235e-06,0.0,0.0,1.0
fixed_250ms_ce,11,10,2.443575697798737,0.10843373493975904,0.10467904848819722,0.056340925605064034,0.0004153093439630194,0.00029388304553904903,0.0011947231201255017,0.0005944537076878944,2.4864680767059326,0.0873015873015873,0.08333333333333333,0.01338199513381995,9.944802914581688e-05,1.4402818014221754e-05,0.0,0.0,1.0
fixed_250ms_ce,11,11,2.4350857968584805,0.11187607573149742,0.10893836180823162,0.06603962218553773,0.0004706577536972214,0.00039018666153047384,0.0017222994512089594,0.0008381741250717155,2.486293315887451,0.0873015873015873,0.08333333333333333,0.013480392156862746,0.00012208102888245105,2.8119787551575806e-05,1.4631434173177655e-05,5.166997354497354e-06,0.9920634920634921
fixed_250ms_ce,11,12,2.4234943738697727,0.1153184165232358,0.11278276994185542,0.07490527238312865,0.0005246976903880617,0.000486751972130571,0.0022945383288391647,0.0010998234007458406,2.483546733856201,0.0873015873015873,0.08333333333333333,0.013580246913580249,0.00014265648318848213,5.143863576507769e-05,9.510432212565475e-05,3.35854828042328e-05,0.9841269841269841
fixed_250ms_ce,11,13,2.4091786624232174,0.12220309810671257,0.11955166158172376,0.08758785376516053,0.000574288818731472,0.000600458279598707,0.0029030655255386025,0.0013766001506024096,2.4817349910736084,0.0873015873015873,0.08333333333333333,0.013888888888888888,0.00016871872530945482,9.121784742340444e-05,0.0002633658151171978,9.300595238095238e-05,0.9603174603174603
fixed_250ms_ce,11,14,2.3963592208396136,0.1359724612736661,0.13241863868219142,0.10857752117959263,0.0006155057195973672,0.0007195293265446263,0.003538111109250172,0.0016657029905335627,2.478666067123413,0.0873015873015873,0.08333333333333333,0.013994910941475827,0.00018174984636994118,0.00011659424106750944,0.000512100196061218,0.0001808449074074074,0.9365079365079365
fixed_250ms_ce,11,15,2.3837531745536396,0.1342512908777969,0.13097985864671327,0.10687488612775213,0.0006322541745523976,0.0007960749995812886,0.003988923688456407,0.0018690834767641996,2.47464656829834,0.1111111111111111,0.10416666666666667,0.05073260073260074,0.0001906658765692213,0.0001282536651742604,0.0006291516694466392,0.00022218088624338623,0.9365079365079365
fixed_250ms_ce,11,16,2.3703882017152034,0.14457831325301204,0.14076384154321003,0.12067062190581489,0.0006711158239402415,0.0009006219957458924,0.004607220817212945,0.0021262505378657486,2.472304105758667,0.10317460317460317,0.09722222222222222,0.03791208791208791,0.00020232530067597226,0.0001584309981564393,0.0009364117870833699,0.00033068783068783067,0.9444444444444444
fixed_250ms_ce,11,17,2.3537676116890833,0.1514629948364888,0.14718551096085616,0.1307112684455319,0.0007166506858492304,0.0010415445425159529,0.005279950424573333,0.002428239744693058,2.4687812328338623,0.10317460317460317,0.09722222222222222,0.03791208791208791,0.00022015736107453254,0.00020849793696778158,0.0012802504901530448,0.0004521122685185185,0.9365079365079365
fixed_250ms_ce,11,18,2.3364645269364375,0.16006884681583478,0.15548022781550644,0.13823957244045318,0.0007559048771500829,0.0011773640444169026,0.005954075736513307,0.002722945352839931,2.4706621170043945,0.1111111111111111,0.10416666666666667,0.051065732168094374,0.00023524602756562198,0.0002565073303485208,0.0017411406666081408,0.0006148726851851852,0.9206349206349206
fixed_250ms_ce,11,19,2.3130691658814473,0.1738382099827883,0.16866168152368965,0.1581750067608604,0.000806019394710838,0.001357279087879143,0.006551437296576057,0.00298011241394148,2.4654767513275146,0.1111111111111111,0.10416666666666667,0.050952953296703296,0.0002496488455798437,0.0002969723904837152,0.001982559330465572,0.0007001281415343916,0.9285714285714286
fixed_250ms_ce,11,20,2.2933877076626645,0.18416523235800344,0.17838400453610703,0.17204619381758338,0.0008454044333160266,0.0015123331435175104,0.007295347837495325,0.0032899454962707973,2.4636623859405518,0.10317460317460317,0.09722222222222222,0.03824521934758155,0.0002647375120709332,0.00033332235975770344,0.0022751880139291253,0.0008034680886243387,0.9206349206349206
fixed_250ms_ce,11,21,2.270902128104704,0.18932874354561102,0.18322563086034527,0.17911294631137661,0.0008922477682683773,0.001693556660023113,0.008065776765426722,0.0036328349110728627,2.463740587234497,0.10317460317460317,0.09722222222222222,0.03654513888888889,0.00027914033008515494,0.0003833892985690457,0.0027946039270769323,0.0009868964947089948,0.9285714285714286
fixed_250ms_ce,11,22,2.2523064724139217,0.19104991394148021,0.18516064845712757,0.1866942259259106,0.0009358199206123235,0.0018599944311387274,0.008731527849889181,0.003921377474182444,2.4741549491882324,0.10317460317460317,0.09722222222222222,0.035383597883597885,0.0003093176630673339,0.00047597884294618557,0.0034091241623503935,0.0012039103835978836,0.9126984126984127
fixed_250ms_ce,11,23,2.2292311195662426,0.20137693631669534,0.19488303998052722,0.19988982265372726,0.0009736347915654781,0.0020171420436464736,0.009556389256424429,0.004304606820137694,2.47956919670105,0.10317460317460317,0.09722222222222222,0.03677248677248677,0.0003244063295584233,0.0005260457817575279,0.003687121411640769,0.0013020833333333333,0.9126984126984127
fixed_250ms_ce,11,24,2.201125536440982,0.22030981067125646,0.2139411193752696,0.2243272888379472,0.0010278055755606546,0.0022539756644949505,0.01107491583901385,0.004979180113310384,2.477734327316284,0.10317460317460317,0.09722222222222222,0.0355,0.00034772517777192523,0.0005843429022912826,0.004265063061481287,0.0015061797288359788,0.9047619047619048
fixed_250ms_ce,11,25,2.17371524016336,0.22375215146299485,0.21718657485736026,0.22746533365989952,0.0010760882308607032,0.0024702662585626475,0.011834179130308563,0.005339438109581182,2.461090564727783,0.10317460317460317,0.09722222222222222,0.035618279569892476,0.00036007045035554386,0.0006419541743481696,0.004543060310771662,0.0016043526785714285,0.8968253968253969
fixed_250ms_ce,11,26,2.15294476015022,0.23235800344234078,0.2261444154386286,0.23995042670174485,0.0011111553084227979,0.0025988891587251078,0.011863488926479865,0.005339998386402754,2.4563965797424316,0.10317460317460317,0.09722222222222222,0.0355,0.0003792742077078395,0.0006741890527609516,0.004265063061481287,0.0015061797288359788,0.8968253968253969
fixed_250ms_ce,11,27,2.121882140739034,0.24784853700516352,0.23978837427196031,0.25513444325071016,0.0011823362419816773,0.002954139589997823,0.013645803674611018,0.006086287112736661,2.4533133506774902,0.1111111111111111,0.10416666666666667,0.04684959349593496,0.00041905341936616627,0.0007900974453515934,0.005018581921399936,0.0017722800925925927,0.8888888888888888
fixed_250ms_ce,11,28,2.090008487389543,0.2633390705679862,0.2551261334147509,0.27130332558737047,0.0012768079957123956,0.0033974502570887836,0.015740756248569403,0.0069776875358577165,2.447505235671997,0.12698412698412698,0.11944444444444445,0.06954320189614308,0.00047186375208497936,0.0009725331401984023,0.005852573669271062,0.0020667989417989417,0.8492063492063492
fixed_250ms_ce,11,29,2.0587594505021167,0.2736660929432014,0.2657263067475361,0.284139499474292,0.00136696178840002,0.003767748128360159,0.016603301678753467,0.007345789407630522,2.438400983810425,0.12698412698412698,0.11944444444444445,0.06844729344729344,0.0005185014485119832,0.0011172471688174876,0.006225675240687092,0.002198557374338624,0.8333333333333334
fixed_250ms_ce,11,30,2.025677200438849,0.28399311531841653,0.27648555204109515,0.3003658057821884,0.0014577698176093255,0.004224797762406418,0.01911417421742844,0.008445612808376362,2.4367763996124268,0.1349206349206349,0.12638888888888888,0.0829427882059461,0.0005754268720920024,0.0013044838030023703,0.00754982003335967,0.002668754133597884,0.8174603174603174
fixed_250ms_ce,11,31,1.980813816779657,0.3098106712564544,0.3016085483583663,0.32490496694333876,0.0015897947476845261,0.004880211909826318,0.020996979695289776,0.009282106102983361,2.392451286315918,0.14285714285714285,0.13333333333333333,0.08932222461634226,0.0006597862347467299,0.0015808807391800544,0.008098498814853833,0.002865100033068783,0.7698412698412699
fixed_250ms_ce,11,32,1.9464229989585287,0.3253012048192771,0.31622745799554275,0.340238284412079,0.0016693499087209204,0.005254566047532115,0.020703881733576745,0.009154923264486518,2.365445613861084,0.16666666666666666,0.15416666666666667,0.11562909567496722,0.0007091673250812045,0.0017996664033008516,0.007974131624381821,0.0028185970568783067,0.7698412698412699
fixed_250ms_ce,11,33,1.9039809020579168,0.3407917383820998,0.33219734096297476,0.3586025380490854,0.001758718617582528,0.005828462324350579,0.023865152606338733,0.010529842584624211,2.3670551776885986,0.18253968253968253,0.16805555555555554,0.13401849447033162,0.0007743229303836362,0.0020445143095426214,0.009751850876422908,0.003448970734126984,0.753968253968254
fixed_250ms_ce,11,34,1.849551730845348,0.3459552495697074,0.33679456489797155,0.36087352100579034,0.001849134104878825,0.006396601319778251,0.026797527928048636,0.011824642319277108,2.357459306716919,0.18253968253968253,0.16805555555555554,0.13606397687280042,0.0008298766570099201,0.00231953954876657,0.01110525853744184,0.003932084986772486,0.7222222222222222
fixed_250ms_ce,11,35,1.80370745293655,0.3717728055077453,0.3628196808923347,0.3942544374668959,0.0019481855142613094,0.0070008541712027065,0.02742419928428269,0.012115986266494549,2.326246500015259,0.19047619047619047,0.17361111111111108,0.13311661506707947,0.0008909171714511457,0.002566445000438943,0.011536885845550581,0.004084511408730159,0.7063492063492064
fixed_250ms_ce,11,36,1.763173793966717,0.39759036144578314,0.38678272764949906,0.4235905762977768,0.0020529942050345855,0.007651165273753496,0.030299350718229576,0.013404062679288583,2.301548957824707,0.1984126984126984,0.18425925925925923,0.15784858387799564,0.000961559564568519,0.0029224003599332806,0.013241447926725778,0.004694217096560847,0.6984126984126984
fixed_250ms_ce,11,37,1.7400724409779664,0.3924268502581756,0.3821685637153666,0.41152353129477554,0.0021803086321536837,0.008539880164804796,0.035594653893178355,0.015734814257028114,2.2923636436462402,0.18253968253968253,0.16898148148148148,0.12875021803593234,0.0010328878061627602,0.003299617022210517,0.01547274163813537,0.005482184193121693,0.6825396825396826
fixed_250ms_ce,11,38,1.6896807525736535,0.42512908777969016,0.4148686751145638,0.45128189725167794,0.0022899586731873985,0.009267783718826939,0.0360147609716337,0.01596004553930006,2.2855937480926514,0.23809523809523808,0.2226851851851852,0.20610285182653607,0.00109255662365025,0.003608248836800983,0.01548005735522196,0.005497685185185185,0.6666666666666666
fixed_250ms_ce,11,39,1.6517621765038233,0.43717728055077454,0.42890712220281807,0.4697276586770347,0.0023566907983988477,0.009606024000535951,0.03614595720211477,0.01606649813539874,2.2466847896575928,0.24603174603174602,0.2345899470899471,0.23082872901951854,0.0011179330172943552,0.0037385600474058468,0.0156483188482135,0.005564856150793651,0.6746031746031746
fixed_250ms_ce,11,40,1.6156699833894557,0.45438898450946646,0.4453434233265037,0.48478634041015095,0.00240314159143819,0.009910898219639239,0.03947331691984748,0.017529380916523236,2.26204252243042,0.23015873015873015,0.21574074074074076,0.19982648930017355,0.001148110350276534,0.003865442015626372,0.017674772481198607,0.00630890376984127,0.6587301587301587
fixed_250ms_ce,11,41,1.582298524613635,0.45266781411359724,0.4438886525642504,0.47979477896851025,0.0024948655517778484,0.010629511615053511,0.04380558393488201,0.0194892292383821,2.2521884441375732,0.2222222222222222,0.2064814814814815,0.18472790507364975,0.0011913188043191994,0.004161042709156352,0.01985485617300208,0.007135623346560847,0.6507936507936508
fixed_250ms_ce,11,42,1.5554404841437808,0.4612736660929432,0.4507042455949734,0.485584066355316,0.0025860661229001624,0.011221464819870366,0.04510777630763562,0.020052307444061963,2.2496178150177,0.2222222222222222,0.21005291005291005,0.19546742879223153,0.001231098015977526,0.004394917039768238,0.020359640651976707,0.007311301256613756,0.6190476190476191
fixed_250ms_ce,11,43,1.5150283626352858,0.48709122203098104,0.47677950837709115,0.5149853220241788,0.0026097494849850102,0.011415380524896579,0.04473931029862495,0.019831558376362593,2.2612314224243164,0.2222222222222222,0.20773809523809525,0.19457091111502875,0.0012599036520059695,0.004601357431305416,0.020996108038509934,0.007548983134920635,0.6031746031746031
fixed_250ms_ce,11,44,1.4864155487021153,0.4939759036144578,0.48396968063478085,0.5223562914249408,0.0026474335086338284,0.011757153683822668,0.04747070416087449,0.021035593265920825,2.3016605377197266,0.2619047619047619,0.24999398749398752,0.26152404462082984,0.0012852800456500746,0.004772819550522342,0.022868931612676675,0.008205191798941799,0.5714285714285714
