stage,gain,balanced_accuracy
fine,1.4142135623730951,0.39861712361712365
fine,0.8408964152537145,0.38796897546897546
coarse,1.0,0.38796897546897546
fine,1.189207115002721,0.3824134199134199
fine,0.7071067811865476,0.37408008658008657
coarse,0.5,0.3648208273208273
coarse,2.0,0.3583032708032708
coarse,0.25,0.3542087542087542
coarse,0.125,0.3217953342953343
coarse,0.0625,0.2771825396825397
coarse,4.0,0.2685846560846561
coarse,8.0,0.22321428571428573
coarse,16.0,0.20006613756613756
