stage,gain,balanced_accuracy
fine,1.4142135623730951,0.39594757094757105
coarse,1.0,0.38774050024050033
fine,0.8408964152537145,0.3807960557960559
fine,1.189207115002721,0.38079605579605585
coarse,0.25,0.3767917267917269
coarse,0.5,0.37258898508898514
fine,0.7071067811865476,0.36627585377585387
coarse,2.0,0.35963804713804715
coarse,0.125,0.3553270803270803
coarse,0.0625,0.26782708032708036
coarse,4.0,0.2352994227994228
coarse,8.0,0.19430014430014428
coarse,16.0,0.19092712842712842
