method,head,seed,architecture,best_epoch,stopped_epoch,head_trainable_parameters,train_ba,val_ba,test_ba,test_objective_loss,l2_wholecount_probe_test_ba,l2_fixed250_probe_test_ba,test_latent_rms_mean,test_softmax_entropy_mean,test_softmax_entropy_normalized_mean,test_softmax_max_prob_mean,test_softmax_effective_states_mean,test_magnitude_rms_mean,test_evidence_rms_mean
A_a2_direct_linear,direct,11,234x234,94,100,1536,0.9316703490044639,0.5236531986531987,0.5306318681318681,1.3928822899517947,0.5758297258297258,0.5716290653790653,,,,,,,3.827512741088867
B_two_linear,two_linear,11,234x234,56,86,17920,0.8878833609366291,0.5137987012987012,0.502145770895771,1.7262279497434014,0.5342483904983905,0.5484980297480297,0.9353529810905457,,,,,,7.011802673339844
C_latent_softmax,softmax,11,234x234,92,100,17920,0.3949833103294535,0.31215728715728713,0.3253690753690754,2.257826991277198,0.5181540681540682,0.5174887612387612,5.954582214355469,0.9676218628883362,0.19942618906497955,0.7670744061470032,20.861080169677734,,0.43206551671028137
D_latent_softmax_rms,softmax_rms,11,234x234,84,100,17920,0.8704975785830317,0.5365800865800866,0.4830128205128205,1.7738454586839023,0.5155254467754468,0.5204406704406704,30.00099754333496,1.7648875713348389,0.3637421131134033,0.49818843603134155,24.525531768798828,30.00099754333496,6.370021820068359
A_a2_direct_linear,direct,23,234x234,89,100,1536,0.9174331048696077,0.5722643097643098,0.5961822899322898,1.343819404301578,0.5878697691197691,0.6055305805305805,,,,,,,3.818098783493042
B_two_linear,two_linear,23,234x234,65,95,17920,0.9328740033437101,0.556559644059644,0.5255584693084693,1.9233337820392766,0.5617056554556554,0.5641767954267953,1.059820532798767,,,,,,8.402543067932129
C_latent_softmax,softmax,23,234x234,37,67,17920,0.1954523463957426,0.2763888888888889,0.1971112221112221,2.409839336186239,0.48044455544455533,0.5192994505494505,3.9482357501983643,1.2367299795150757,0.25488919019699097,0.7108150124549866,24.12322425842285,,0.168452650308609
D_latent_softmax_rms,softmax_rms,23,234x234,66,96,17920,0.5994367962472846,0.3807599807599807,0.30260156510156505,1.7841211100147194,0.407340576090576,0.4588217338217338,25.187631607055664,1.60092031955719,0.3299485445022583,0.5454021096229553,24.340190887451172,25.187631607055664,5.1246185302734375
A_a2_direct_linear,direct,37,234x234,90,100,1536,0.9174871329830127,0.566576479076479,0.5666909479409479,1.3496832276043826,0.5951208513708514,0.5845980408480408,,,,,,,3.6694462299346924
B_two_linear,two_linear,37,234x234,70,100,17920,0.9386597800889268,0.5614478114478114,0.5057192807192806,1.9880677886205176,0.4805340492840493,0.5568674381174381,0.9874396920204163,,,,,,7.699495792388916
C_latent_softmax,softmax,37,234x234,80,100,17920,0.3399761318277781,0.30126262626262623,0.2497016872016872,2.3084331538579237,0.43530081030081025,0.5032911532911533,6.1273698806762695,0.9178138375282288,0.1891607642173767,0.7769826650619507,19.41080665588379,,0.3617197275161743
D_latent_softmax_rms,softmax_rms,37,234x234,89,100,17920,0.7780705916123926,0.3620490620490621,0.39228410478410475,1.8806186849123812,0.4783161283161283,0.5389672827172827,35.14952087402344,1.2265840768814087,0.2527981102466583,0.6389389038085938,19.20897102355957,35.14952087402344,8.095001220703125
