method,head,architecture,head_trainable_parameters,test_ba_mean,test_ba_std,test_objective_loss_mean,test_objective_loss_std,l2_wholecount_probe_test_ba_mean,l2_wholecount_probe_test_ba_std,l2_fixed250_probe_test_ba_mean,l2_fixed250_probe_test_ba_std,best_epoch_mean,best_epoch_std,test_latent_rms_mean_mean,test_latent_rms_mean_std,test_softmax_entropy_mean_mean,test_softmax_entropy_mean_std,test_softmax_entropy_normalized_mean_mean,test_softmax_entropy_normalized_mean_std,test_softmax_max_prob_mean_mean,test_softmax_max_prob_mean_std,test_softmax_effective_states_mean_mean,test_softmax_effective_states_mean_std,test_magnitude_rms_mean_mean,test_magnitude_rms_mean_std,test_evidence_rms_mean_mean,test_evidence_rms_mean_std
A_a2_direct_linear,direct,234x234,1536,0.5645017020017019,0.032830002252363294,1.3621283072859185,0.026794620603609876,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,91.0,2.6457513110645907,,,,,,,,,,,,,3.7716859181722007,0.08866719256625392
B_two_linear,two_linear,234x234,17920,0.5111411736411736,0.012612941920239968,1.8792098401343986,0.13638261250143768,0.5254960317460317,0.0412875314098224,0.5565140877640877,0.007845353125039626,63.666666666666664,7.0945988845975885,0.9942044019699097,0.06250891002557375,,,,,,,,,,,7.70461384455363,0.6953843233285798
C_latent_softmax,softmax,234x234,17920,0.2573939948939949,0.06447400971556763,2.325366493773787,0.07740795664346097,0.4779664779664779,0.04148217973076061,0.5133597883597883,0.008766567632430156,69.66666666666667,28.919428302325294,5.343395948410034,1.2113289720029266,1.0407218933105469,0.171565110791034,0.21449204782644907,0.03535946224993839,0.7516240278879801,0.03568718543313749,21.465037027994793,2.4135643414276657,,,0.32074596484502155,0.13649935074461145
D_latent_softmax_rms,softmax_rms,234x234,17920,0.3926328301328301,0.0902061332548566,1.8128617512036678,0.05890372485482874,0.46706071706071706,0.05496366775581741,0.5060765623265623,0.04195918199128225,79.66666666666667,12.096831541082702,30.112716674804688,4.981884213335773,1.5307973225911458,0.27591772154542443,0.31549625595410663,0.056866461347910124,0.5608431498209635,0.07163443890110545,22.691564559936523,3.0174378395064876,30.112716674804688,4.981884213335773,6.529880523681641,1.4916297917854036
