split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
train,0.832572298325723,0.8247473019770447,0.8351641859880438,0.8356477046431788,0.8376224738640691
val,0.4251968503937008,0.40919011544011546,0.4056560549778096,0.41121245873545786,1.8091717958450317
test,0.33858267716535434,0.31556637806637805,0.2799051353143666,0.2968700262316743,2.1189959049224854
